date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:43,C,266,160
2019-03-26T13:10:43,C,266,162
2019-03-26T13:20:43,C,266,164
2019-03-26T13:31:14,C,266,165
2019-03-26T13:40:14,C,266,167
2019-03-26T13:50:14,C,266,164
2019-03-26T14:00:14,C,266,164
2019-03-26T14:10:44,C,266,162
2019-03-26T14:20:45,C,266,156
2019-03-26T14:30:45,C,266,153
2019-03-26T14:40:46,C,266,151
2019-03-26T14:51:16,C,266,149
2019-03-26T15:00:16,C,266,147
2019-03-26T15:11:16,C,266,141
2019-03-26T15:20:26,C,266,143
2019-03-26T15:31:47,C,266,150
2019-03-26T15:40:47,C,266,152
2019-03-26T15:51:47,C,266,154
2019-03-26T16:00:18,C,266,149
2019-03-26T16:10:21,C,266,150
2019-03-26T16:21:18,C,266,143
2019-03-26T16:31:19,C,266,143
2019-03-26T16:41:49,C,266,140
2019-03-26T16:51:50,C,266,145
2019-03-26T17:01:50,C,266,143
2019-03-26T17:10:50,C,266,147
2019-03-26T17:21:20,C,266,152
2019-03-26T17:31:21,C,266,150
2019-03-26T17:41:21,C,266,149
2019-03-26T17:51:51,C,266,145
2019-03-26T18:12:52,C,266,159
2019-03-26T18:32:22,C,266,165
2019-03-26T18:42:23,C,266,166
2019-03-26T18:52:23,C,266,167
2019-03-26T19:02:23,C,266,170
2019-03-26T19:13:54,C,266,168
2019-03-26T19:22:54,C,266,168
2019-03-26T19:33:54,C,266,171
2019-03-26T19:42:24,C,266,170
2019-03-26T19:53:25,C,266,168
2019-03-26T20:02:25,C,266,168
2019-03-26T20:13:25,C,266,167
2019-03-26T20:22:56,C,266,166
2019-03-26T20:33:56,C,266,166
2019-03-26T20:43:56,C,266,160
2019-03-26T20:52:56,C,266,165
2019-03-26T21:03:30,C,266,160
2019-03-26T21:13:27,C,266,157
2019-03-26T21:22:27,C,266,164
2019-03-26T21:33:58,C,266,157
2019-03-26T21:43:58,C,266,155
2019-03-26T21:53:58,C,266,152
2019-03-26T22:01:58,C,266,152
2019-03-26T22:13:29,C,266,150
2019-03-26T22:23:29,C,266,148
2019-03-26T22:33:29,C,266,145
2019-03-26T22:43:30,C,266,141
2019-03-26T22:54:00,C,266,142
2019-03-26T23:04:00,C,266,142
2019-03-26T23:14:01,C,266,144
2019-03-26T23:24:31,C,266,146
2019-03-26T23:34:31,C,266,146
2019-03-26T23:44:31,C,266,146
2019-03-26T23:54:32,C,266,144
2019-03-27T00:05:02,C,266,143
2019-03-27T00:14:02,C,266,143
2019-03-27T00:23:03,C,266,142
2019-03-27T00:30:03,C,266,142
2019-03-27T00:43:33,C,266,143
2019-03-27T00:54:33,C,266,142
2019-03-27T01:04:34,C,266,140
2019-03-27T01:14:34,C,266,142
2019-03-27T01:25:04,C,266,144
2019-03-27T01:35:05,C,266,144
2019-03-27T01:44:05,C,266,144
2019-03-27T01:54:35,C,266,143
2019-03-27T02:04:35,C,266,143
2019-03-27T02:14:36,C,266,143
2019-03-27T02:24:36,C,266,143
2019-03-27T02:35:06,C,266,143
2019-03-27T02:45:07,C,266,141
2019-03-27T02:55:07,C,266,141
2019-03-27T03:15:37,C,266,140
2019-03-27T03:25:38,C,266,140
2019-03-27T03:34:38,C,266,140
2019-03-27T03:46:09,C,266,140
2019-03-27T03:56:09,C,266,140
2019-03-27T04:05:09,C,266,134
2019-03-27T04:14:09,C,266,132
2019-03-27T04:24:39,C,266,134
2019-03-27T04:35:40,C,266,134
2019-03-27T04:44:40,C,266,133
2019-03-27T04:55:40,C,266,132
2019-03-27T05:05:59,C,266,132
2019-03-27T05:15:59,C,266,133
2019-03-27T05:25:29,C,266,132
2019-03-27T05:35:29,C,266,133
2019-03-27T05:45:30,C,266,133
2019-03-27T05:55:31,C,266,132
2019-03-27T06:06:00,C,266,132
2019-03-27T06:16:01,C,266,135
2019-03-27T06:26:01,C,266,136
2019-03-27T06:35:01,C,266,142
2019-03-27T06:45:32,C,266,147
2019-03-27T06:55:32,C,266,152
2019-03-27T07:05:32,C,266,158
2019-03-27T07:17:03,C,266,165
2019-03-27T07:26:03,C,266,165
2019-03-27T07:36:03,C,266,162
2019-03-27T07:45:04,C,266,169
2019-03-27T07:55:34,C,266,163
2019-03-27T08:06:13,C,266,159
2019-03-27T08:15:35,C,266,158
2019-03-27T08:25:35,C,266,156
2019-03-27T08:37:06,C,266,157
2019-03-27T08:45:06,C,266,155
2019-03-27T08:55:07,C,266,157
2019-03-27T09:06:38,C,266,155
2019-03-27T09:16:37,C,266,152
2019-03-27T09:25:37,C,266,150
2019-03-27T09:36:37,C,266,146
2019-03-27T09:46:08,C,266,147
2019-03-27T09:57:08,C,266,146
2019-03-27T10:06:08,C,266,150
2019-03-27T10:16:09,C,266,149
2019-03-27T10:26:39,C,266,145
2019-03-27T10:35:39,C,266,147
2019-03-27T10:46:40,C,266,143
2019-03-27T10:57:10,C,266,148
2019-03-27T11:07:10,C,266,140
2019-03-27T11:16:10,C,266,139
2019-03-27T11:26:11,C,266,140
2019-03-27T11:36:41,C,266,135
2019-03-27T11:46:42,C,266,135
2019-03-27T11:57:42,C,266,140
2019-03-27T12:06:42,C,266,146
2019-03-27T12:18:12,C,266,146
2019-03-27T12:27:12,C,266,141
2019-03-27T12:36:13,C,266,143
2019-03-27T12:47:43,C,266,139
2019-03-27T12:56:43,C,266,142
2019-03-27T13:07:43,C,266,151
2019-03-27T13:16:44,C,266,146
2019-03-27T13:28:14,C,266,146
2019-03-27T13:36:14,C,266,147
2019-03-27T13:47:15,C,266,144
2019-03-27T13:56:15,C,266,147
2019-03-27T14:07:45,C,266,146
2019-03-27T14:16:45,C,266,142
2019-03-27T14:27:46,C,266,137
2019-03-27T14:37:46,C,266,138
2019-03-27T14:47:16,C,266,131
2019-03-27T14:56:16,C,266,133
2019-03-27T15:07:17,C,266,125
2019-03-27T15:17:47,C,266,129
2019-03-27T15:26:47,C,266,131
2019-03-27T15:37:48,C,266,132
2019-03-27T15:47:48,C,266,131
2019-03-27T15:58:18,C,266,130
2019-03-27T16:07:19,C,266,134
2019-03-27T16:17:19,C,266,132
2019-03-27T16:28:19,C,266,131
2019-03-27T16:38:49,C,266,135
2019-03-27T16:48:50,C,266,135
2019-03-27T16:58:50,C,266,135
2019-03-27T17:08:50,C,266,130
2019-03-27T17:18:21,C,266,131
2019-03-27T17:27:21,C,266,133
2019-03-27T17:38:21,C,266,135
2019-03-27T17:47:52,C,266,139
2019-03-27T17:57:52,C,266,143
2019-03-27T18:08:52,C,266,147
2019-03-27T18:17:52,C,266,153
2019-03-27T18:27:23,C,266,155
2019-03-27T18:37:23,C,266,150
2019-03-27T18:48:23,C,266,161
2019-03-27T18:58:24,C,266,159
2019-03-27T19:08:54,C,266,154
2019-03-27T19:18:54,C,266,153
2019-03-27T19:28:55,C,266,150
2019-03-27T19:37:57,C,266,148
2019-03-27T19:48:31,C,266,149
2019-03-27T19:58:32,C,266,142
2019-03-27T20:08:34,C,266,147
2019-03-27T20:19:38,C,266,149
2019-03-27T20:29:43,C,266,149
2019-03-27T20:39:12,C,266,150
2019-03-27T20:48:14,C,266,150
2019-03-27T20:58:17,C,266,148
2019-03-27T21:08:20,C,266,156
2019-03-27T21:18:23,C,266,156
2019-03-27T21:28:27,C,266,157
2019-03-27T21:39:00,C,266,150
2019-03-27T21:49:02,C,266,147
2019-03-27T21:59:05,C,266,147
2019-03-27T22:08:07,C,266,149
2019-03-27T22:18:10,C,266,153
2019-03-27T22:29:42,C,266,153
2019-03-27T22:39:45,C,266,148
2019-03-27T22:48:47,C,266,144
2019-03-27T22:59:50,C,266,145
2019-03-27T23:09:54,C,266,141
2019-03-27T23:19:25,C,266,139
2019-03-27T23:28:27,C,266,137
2019-03-27T23:39:30,C,266,135
2019-03-27T23:49:32,C,266,135
2019-03-27T23:59:34,C,266,135
2019-03-28T00:10:05,C,266,135
2019-03-28T00:20:05,C,266,134
2019-03-28T00:29:05,C,266,134
2019-03-28T00:39:05,C,266,133
2019-03-28T00:49:39,C,266,132
2019-03-28T00:59:43,C,266,132
2019-03-28T01:10:36,C,266,133
2019-03-28T01:21:07,C,266,133
2019-03-28T01:31:07,C,266,131
2019-03-28T01:39:08,C,266,131
2019-03-28T01:49:08,C,266,131
2019-03-28T02:00:38,C,266,131
2019-03-28T02:09:38,C,266,131
2019-03-28T02:20:38,C,266,131
2019-03-28T02:30:39,C,266,131
2019-03-28T02:41:09,C,266,131
2019-03-28T02:50:09,C,266,130
2019-03-28T02:59:10,C,266,131
2019-03-28T03:10:10,C,266,131
2019-03-28T03:19:40,C,266,130
2019-03-28T03:30:40,C,266,131
2019-03-28T03:40:41,C,266,131
2019-03-28T03:51:11,C,266,131
2019-03-28T04:01:11,C,266,130
2019-03-28T04:10:12,C,266,130
2019-03-28T04:21:12,C,266,131
2019-03-28T04:30:42,C,266,132
2019-03-28T04:41:42,C,266,132
2019-03-28T04:50:43,C,266,132
2019-03-28T05:02:00,C,266,132
2019-03-28T05:11:00,C,266,132
2019-03-28T05:21:01,C,266,132
2019-03-28T05:31:31,C,266,132
2019-03-28T05:40:31,C,266,132
2019-03-28T05:51:31,C,266,133
2019-03-28T06:00:32,C,266,134
2019-03-28T06:12:02,C,266,136
2019-03-28T06:21:02,C,266,138
2019-03-28T06:30:03,C,266,141
2019-03-28T06:40:33,C,266,141
2019-03-28T06:51:33,C,266,147
2019-03-28T07:00:33,C,266,156
2019-03-28T07:11:34,C,266,165
2019-03-28T07:22:06,C,266,168
2019-03-28T07:32:06,C,266,168
2019-03-28T07:41:06,C,266,173
2019-03-28T07:51:37,C,266,169
2019-03-28T08:01:42,C,266,172
2019-03-28T08:11:37,C,266,174
2019-03-28T08:21:37,C,266,170
2019-03-28T08:32:09,C,266,172
2019-03-28T08:41:08,C,266,169
2019-03-28T08:51:08,C,266,168
2019-03-28T09:01:09,C,266,162
2019-03-28T09:12:39,C,266,155
2019-03-28T09:21:40,C,266,147
2019-03-28T09:31:41,C,266,147
2019-03-28T09:42:41,C,266,147
2019-03-28T09:53:12,C,266,146
2019-03-28T10:01:10,C,266,147
2019-03-28T10:11:11,C,266,145
2019-03-28T10:22:41,C,266,149
2019-03-28T10:32:41,C,266,148
2019-03-28T10:42:42,C,266,145
2019-03-28T10:51:42,C,266,147
2019-03-28T11:03:13,C,266,148
2019-03-28T11:11:13,C,266,151
2019-03-28T11:22:13,C,266,149
2019-03-28T11:32:14,C,266,148
2019-03-28T11:42:44,C,266,152
2019-03-28T11:52:44,C,266,152
2019-03-28T12:02:45,C,266,152
2019-03-28T12:12:45,C,266,142
2019-03-28T12:22:16,C,266,146
2019-03-28T12:32:16,C,266,147
2019-03-28T12:42:17,C,266,141
2019-03-28T12:52:47,C,266,137
2019-03-28T13:02:47,C,266,143
2019-03-28T13:12:47,C,266,144
2019-03-28T13:22:48,C,266,142
2019-03-28T13:33:18,C,266,146
2019-03-28T13:42:18,C,266,146
2019-03-28T13:52:19,C,266,146
2019-03-28T14:02:19,C,266,145
2019-03-28T14:13:50,C,266,140
2019-03-28T14:22:50,C,266,131
2019-03-28T14:32:51,C,266,132
2019-03-28T14:43:21,C,266,132
2019-03-28T14:52:21,C,266,127
2019-03-28T15:02:22,C,266,127
2019-03-28T15:12:22,C,266,124
2019-03-28T15:22:53,C,266,128
2019-03-28T15:32:53,C,266,129
2019-03-28T15:53:54,C,266,133
2019-03-28T16:03:24,C,266,138
2019-03-28T16:24:25,C,266,139
2019-03-28T16:44:56,C,266,137
2019-03-28T16:54:56,C,266,138
2019-03-28T17:04:56,C,266,137
2019-03-28T17:14:27,C,266,136
2019-03-28T17:23:27,C,266,138
2019-03-28T17:44:28,C,266,126
2019-03-28T17:54:59,C,266,131
2019-03-28T18:04:58,C,266,129
2019-03-28T18:14:59,C,266,135
2019-03-28T18:22:59,C,266,140
2019-03-28T18:34:30,C,266,153
2019-03-28T18:44:30,C,266,153
2019-03-28T18:54:30,C,266,156
2019-03-28T19:16:01,C,266,153
2019-03-28T19:26:02,C,266,153
2019-03-28T19:36:02,C,266,149
2019-03-28T19:45:32,C,266,147
2019-03-28T19:55:33,C,266,148
2019-03-28T20:05:33,C,266,152
2019-03-28T20:16:33,C,266,149
2019-03-28T20:26:04,C,266,149
2019-03-28T20:36:04,C,266,145
2019-03-28T20:46:05,C,266,143
2019-03-28T20:55:05,C,266,142
2019-03-28T21:06:35,C,266,143
2019-03-28T21:16:36,C,266,146
2019-03-28T21:26:36,C,266,148
2019-03-28T21:36:37,C,266,146
2019-03-28T21:47:07,C,266,146
2019-03-28T21:56:07,C,266,146
2019-03-28T22:06:08,C,266,146
2019-03-28T22:16:38,C,266,143
2019-03-28T22:26:38,C,266,140
2019-03-28T22:36:39,C,266,141
2019-03-28T22:46:39,C,266,137
2019-03-28T22:57:10,C,266,134
2019-03-28T23:07:10,C,266,135
2019-03-28T23:16:10,C,266,134
2019-03-28T23:26:11,C,266,132
2019-03-28T23:36:41,C,266,133
2019-03-28T23:46:42,C,266,133
2019-03-28T23:57:42,C,266,134
2019-03-29T00:06:42,C,266,135
2019-03-29T00:18:12,C,266,134
2019-03-29T00:26:13,C,266,135
2019-03-29T00:36:13,C,266,134
2019-03-29T00:46:14,C,266,135
2019-03-29T01:07:44,C,266,133
2019-03-29T01:17:45,C,266,133
2019-03-29T01:28:15,C,266,133
2019-03-29T01:37:16,C,266,132
2019-03-29T01:47:16,C,266,132
2019-03-29T01:57:16,C,266,131
2019-03-29T02:07:47,C,266,131
2019-03-29T02:17:47,C,266,131
2019-03-29T02:27:48,C,266,131
2019-03-29T02:37:48,C,266,131
2019-03-29T02:48:18,C,266,131
2019-03-29T02:57:19,C,266,130
2019-03-29T03:07:19,C,266,130
2019-03-29T03:17:20,C,266,130
2019-03-29T03:27:50,C,266,130
2019-03-29T03:37:50,C,266,129
2019-03-29T03:48:51,C,266,129
2019-03-29T03:59:22,C,266,129
2019-03-29T04:08:22,C,266,135
2019-03-29T04:17:22,C,266,136
2019-03-29T04:28:26,C,266,136
2019-03-29T04:37:53,C,266,134
2019-03-29T04:47:53,C,266,134
2019-03-29T04:58:54,C,266,134
2019-03-29T05:09:01,C,266,133
2019-03-29T05:18:01,C,266,133
2019-03-29T05:27:31,C,266,133
2019-03-29T05:37:32,C,266,133
2019-03-29T05:48:32,C,266,133
2019-03-29T05:58:32,C,266,132
2019-03-29T06:09:03,C,266,135
2019-03-29T06:18:03,C,266,137
2019-03-29T06:27:03,C,266,141
2019-03-29T06:38:34,C,266,145
2019-03-29T06:48:34,C,266,155
2019-03-29T06:58:34,C,266,161
2019-03-29T07:08:34,C,266,165
2019-03-29T07:19:05,C,266,165
2019-03-29T07:29:05,C,266,167
2019-03-29T07:38:06,C,266,167
2019-03-29T07:48:37,C,266,169
2019-03-29T07:58:40,C,266,166
2019-03-29T08:08:37,C,266,168
2019-03-29T08:18:37,C,266,168
2019-03-29T08:29:08,C,266,168
2019-03-29T08:39:08,C,266,165
2019-03-29T08:48:08,C,266,167
2019-03-29T08:59:39,C,266,158
2019-03-29T09:08:39,C,266,156
2019-03-29T09:19:39,C,266,157
2019-03-29T09:28:39,C,266,156
2019-03-29T09:39:10,C,266,154
2019-03-29T09:49:10,C,266,153
2019-03-29T09:59:10,C,266,151
2019-03-29T10:08:10,C,266,152
2019-03-29T10:19:41,C,266,149
2019-03-29T10:28:41,C,266,154
2019-03-29T10:39:42,C,266,158
2019-03-29T10:49:42,C,266,160
2019-03-29T10:59:12,C,266,158
2019-03-29T11:08:12,C,266,154
2019-03-29T11:19:12,C,266,150
2019-03-29T11:29:43,C,266,147
2019-03-29T11:38:43,C,266,153
2019-03-29T11:48:43,C,266,148
2019-03-29T11:59:44,C,266,148
2019-03-29T12:10:14,C,266,147
2019-03-29T12:18:14,C,266,149
2019-03-29T12:29:15,C,266,148
2019-03-29T12:38:15,C,266,145
2019-03-29T12:49:47,C,266,144
2019-03-29T12:59:45,C,266,146
2019-03-29T13:09:46,C,266,149
2019-03-29T13:18:46,C,266,155
2019-03-29T13:29:16,C,266,156
