date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:28,C,336,195
2019-03-26T13:09:28,C,336,209
2019-03-26T13:19:29,C,336,209
2019-03-26T13:29:29,C,336,216
2019-03-26T13:39:29,C,336,231
2019-03-26T13:49:29,C,336,236
2019-03-26T13:59:30,C,336,224
2019-03-26T14:09:30,C,336,218
2019-03-26T14:19:30,C,336,221
2019-03-26T14:29:31,C,336,214
2019-03-26T14:39:31,C,336,216
2019-03-26T14:50:31,C,336,227
2019-03-26T14:59:32,C,336,229
2019-03-26T15:10:32,C,336,235
2019-03-26T15:19:32,C,336,241
2019-03-26T15:30:32,C,336,233
2019-03-26T15:39:33,C,336,216
2019-03-26T15:50:33,C,336,224
2019-03-26T15:59:33,C,336,220
2019-03-26T16:09:34,C,336,215
2019-03-26T16:20:34,C,336,217
2019-03-26T16:30:34,C,336,214
2019-03-26T16:40:34,C,336,220
2019-03-26T16:50:35,C,336,231
2019-03-26T17:00:35,C,336,227
2019-03-26T17:10:35,C,336,227
2019-03-26T17:20:36,C,336,228
2019-03-26T17:30:36,C,336,234
2019-03-26T17:40:36,C,336,241
2019-03-26T17:50:36,C,336,235
2019-03-26T18:11:37,C,336,243
2019-03-26T18:31:38,C,336,245
2019-03-26T18:41:38,C,336,244
2019-03-26T18:51:38,C,336,237
2019-03-26T19:01:38,C,336,238
2019-03-26T19:12:39,C,336,239
2019-03-26T19:21:39,C,336,239
2019-03-26T19:32:39,C,336,239
2019-03-26T19:41:40,C,336,242
2019-03-26T19:52:40,C,336,241
2019-03-26T20:01:40,C,336,237
2019-03-26T20:12:41,C,336,231
2019-03-26T20:21:41,C,336,233
2019-03-26T20:32:41,C,336,226
2019-03-26T20:42:41,C,336,219
2019-03-26T20:52:42,C,336,229
2019-03-26T21:02:42,C,336,232
2019-03-26T21:12:42,C,336,226
2019-03-26T21:21:43,C,336,241
2019-03-26T21:32:43,C,336,245
2019-03-26T21:42:43,C,336,249
2019-03-26T21:52:43,C,336,252
2019-03-26T22:01:44,C,336,244
2019-03-26T22:11:44,C,336,249
2019-03-26T22:21:44,C,336,244
2019-03-26T22:31:45,C,336,243
2019-03-26T22:41:45,C,336,245
2019-03-26T22:51:45,C,336,246
2019-03-26T23:01:45,C,336,256
2019-03-26T23:12:46,C,336,257
2019-03-26T23:22:46,C,336,267
2019-03-26T23:32:46,C,336,265
2019-03-26T23:42:47,C,336,261
2019-03-26T23:52:47,C,336,259
2019-03-27T00:02:47,C,336,255
2019-03-27T00:12:17,C,336,249
2019-03-27T00:21:18,C,336,256
2019-03-27T00:28:18,C,336,258
2019-03-27T00:42:18,C,336,259
2019-03-27T00:53:19,C,336,264
2019-03-27T01:03:19,C,336,262
2019-03-27T01:13:19,C,336,265
2019-03-27T01:23:20,C,336,266
2019-03-27T01:33:20,C,336,264
2019-03-27T01:43:20,C,336,265
2019-03-27T01:53:20,C,336,269
2019-03-27T02:03:21,C,336,268
2019-03-27T02:13:21,C,336,272
2019-03-27T02:23:21,C,336,275
2019-03-27T02:33:22,C,336,273
2019-03-27T02:43:22,C,336,269
2019-03-27T02:54:12,C,336,273
2019-03-27T03:14:13,C,336,276
2019-03-27T03:24:13,C,336,279
2019-03-27T03:33:13,C,336,272
2019-03-27T03:44:14,C,336,278
2019-03-27T03:54:14,C,336,274
2019-03-27T04:04:14,C,336,275
2019-03-27T04:13:15,C,336,276
2019-03-27T04:23:15,C,336,273
2019-03-27T04:34:15,C,336,270
2019-03-27T04:43:15,C,336,268
2019-03-27T04:54:16,C,336,265
2019-03-27T05:04:16,C,336,267
2019-03-27T05:14:16,C,336,262
2019-03-27T05:24:17,C,336,262
2019-03-27T05:34:17,C,336,257
2019-03-27T05:44:17,C,336,254
2019-03-27T05:54:17,C,336,256
2019-03-27T06:04:18,C,336,254
2019-03-27T06:14:18,C,336,248
2019-03-27T06:24:18,C,336,247
2019-03-27T06:34:19,C,336,239
2019-03-27T06:44:19,C,336,232
