date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:31,C,508,299
2019-03-26T13:10:31,C,508,301
2019-03-26T13:20:31,C,508,299
2019-03-26T13:30:31,C,508,300
2019-03-26T13:40:31,C,508,299
2019-03-26T13:50:32,C,508,300
2019-03-26T14:00:32,C,508,298
2019-03-26T14:10:32,C,508,296
2019-03-26T14:20:32,C,508,295
2019-03-26T14:30:32,C,508,296
2019-03-26T14:40:32,C,508,299
2019-03-26T14:51:32,C,508,304
2019-03-26T15:00:33,C,508,303
2019-03-26T15:11:33,C,508,303
2019-03-26T15:19:33,C,508,303
2019-03-26T15:31:33,C,508,301
2019-03-26T15:40:33,C,508,301
2019-03-26T15:51:33,C,508,298
2019-03-26T16:00:33,C,508,295
2019-03-26T16:10:33,C,508,294
2019-03-26T16:21:34,C,508,295
2019-03-26T16:30:34,C,508,295
2019-03-26T16:41:34,C,508,297
2019-03-26T16:51:34,C,508,299
2019-03-26T17:01:34,C,508,295
2019-03-26T17:11:34,C,508,301
2019-03-26T17:21:34,C,508,300
2019-03-26T17:31:34,C,508,296
2019-03-26T17:40:35,C,508,291
2019-03-26T17:51:35,C,508,295
2019-03-26T18:12:35,C,508,284
2019-03-26T18:32:35,C,508,279
2019-03-26T18:42:35,C,508,270
2019-03-26T18:51:36,C,508,267
2019-03-26T19:01:36,C,508,259
2019-03-26T19:13:36,C,508,246
2019-03-26T19:22:36,C,508,242
2019-03-26T19:33:36,C,508,235
2019-03-26T19:42:36,C,508,230
2019-03-26T19:53:36,C,508,224
2019-03-26T20:02:37,C,508,214
2019-03-26T20:12:37,C,508,204
2019-03-26T20:22:37,C,508,198
2019-03-26T20:33:37,C,508,194
2019-03-26T20:43:37,C,508,183
2019-03-26T20:53:37,C,508,176
2019-03-26T21:03:37,C,508,170
2019-03-26T21:13:38,C,508,168
2019-03-26T21:21:38,C,508,167
2019-03-26T21:33:38,C,508,159
2019-03-26T21:43:38,C,508,153
2019-03-26T21:53:38,C,508,154
2019-03-26T22:02:38,C,508,151
2019-03-26T22:13:38,C,508,147
2019-03-26T22:23:38,C,508,145
2019-03-26T22:32:39,C,508,139
2019-03-26T22:42:39,C,508,134
2019-03-26T22:53:39,C,508,129
2019-03-26T23:03:39,C,508,124
2019-03-26T23:14:39,C,508,119
2019-03-26T23:24:39,C,508,119
2019-03-26T23:34:39,C,508,116
2019-03-26T23:43:40,C,508,116
2019-03-26T23:53:40,C,508,112
2019-03-27T00:04:40,C,508,111
2019-03-27T00:13:40,C,508,112
2019-03-27T00:22:40,C,508,110
2019-03-27T00:29:40,C,508,108
2019-03-27T00:43:40,C,508,107
2019-03-27T00:53:40,C,508,106
2019-03-27T01:03:41,C,508,106
2019-03-27T01:14:41,C,508,104
2019-03-27T01:24:41,C,508,104
2019-03-27T01:34:41,C,508,103
2019-03-27T01:44:41,C,508,103
2019-03-27T01:54:41,C,508,101
2019-03-27T02:04:41,C,508,99
2019-03-27T02:13:42,C,508,100
2019-03-27T02:23:42,C,508,100
2019-03-27T02:34:42,C,508,100
2019-03-27T02:44:42,C,508,99
2019-03-27T02:55:42,C,508,99
2019-03-27T03:16:24,C,508,98
2019-03-27T03:25:24,C,508,98
2019-03-27T03:34:24,C,508,94
2019-03-27T03:45:24,C,508,93
2019-03-27T03:55:24,C,508,93
2019-03-27T04:05:24,C,508,93
2019-03-27T04:14:24,C,508,92
2019-03-27T04:24:25,C,508,92
2019-03-27T04:35:25,C,508,93
2019-03-27T04:44:25,C,508,95
2019-03-27T04:55:25,C,508,95
2019-03-27T05:05:25,C,508,95
2019-03-27T05:15:25,C,508,94
2019-03-27T05:25:25,C,508,93
2019-03-27T05:35:25,C,508,92
2019-03-27T05:45:25,C,508,92
2019-03-27T05:55:26,C,508,92
2019-03-27T06:05:26,C,508,92
2019-03-27T06:15:26,C,508,96
2019-03-27T06:25:26,C,508,100
2019-03-27T06:35:26,C,508,105
2019-03-27T06:45:26,C,508,119
2019-03-27T06:54:26,C,508,128
2019-03-27T07:05:27,C,508,143
2019-03-27T07:16:27,C,508,162
2019-03-27T07:25:27,C,508,173
2019-03-27T07:35:27,C,508,174
2019-03-27T07:45:27,C,508,186
2019-03-27T07:55:27,C,508,200
2019-03-27T08:06:27,C,508,222
2019-03-27T08:15:27,C,508,229
2019-03-27T08:25:28,C,508,245
2019-03-27T08:36:28,C,508,246
2019-03-27T08:45:28,C,508,248
2019-03-27T08:55:28,C,508,251
2019-03-27T09:06:28,C,508,257
2019-03-27T09:16:28,C,508,264
2019-03-27T09:25:28,C,508,266
2019-03-27T09:36:29,C,508,271
2019-03-27T09:45:29,C,508,272
2019-03-27T09:56:29,C,508,275
2019-03-27T10:06:29,C,508,276
2019-03-27T10:16:29,C,508,278
2019-03-27T10:26:29,C,508,285
2019-03-27T10:34:29,C,508,283
2019-03-27T10:46:29,C,508,281
2019-03-27T10:56:30,C,508,287
2019-03-27T11:06:30,C,508,289
2019-03-27T11:16:30,C,508,293
2019-03-27T11:26:30,C,508,300
2019-03-27T11:36:30,C,508,301
2019-03-27T11:45:30,C,508,302
2019-03-27T11:57:30,C,508,302
2019-03-27T12:06:31,C,508,300
2019-03-27T12:17:31,C,508,301
2019-03-27T12:27:31,C,508,301
2019-03-27T12:36:31,C,508,300
2019-03-27T12:47:31,C,508,299
2019-03-27T12:56:31,C,508,297
2019-03-27T13:07:31,C,508,302
2019-03-27T13:16:31,C,508,300
2019-03-27T13:27:32,C,508,301
2019-03-27T13:36:32,C,508,302
2019-03-27T13:47:32,C,508,301
2019-03-27T13:56:32,C,508,299
2019-03-27T14:07:32,C,508,299
2019-03-27T14:15:32,C,508,298
2019-03-27T14:27:32,C,508,302
2019-03-27T14:37:33,C,508,305
2019-03-27T14:47:33,C,508,305
2019-03-27T14:56:33,C,508,304
2019-03-27T15:07:33,C,508,300
2019-03-27T15:17:33,C,508,292
2019-03-27T15:25:33,C,508,295
2019-03-27T15:37:33,C,508,292
2019-03-27T15:47:33,C,508,289
2019-03-27T15:57:34,C,508,285
2019-03-27T16:07:34,C,508,279
2019-03-27T16:17:34,C,508,279
2019-03-27T16:28:34,C,508,282
2019-03-27T16:37:34,C,508,284
2019-03-27T16:48:34,C,508,280
2019-03-27T16:58:34,C,508,277
2019-03-27T17:08:35,C,508,276
2019-03-27T17:18:35,C,508,277
2019-03-27T17:27:35,C,508,279
2019-03-27T17:38:35,C,508,276
2019-03-27T17:46:35,C,508,277
2019-03-27T17:56:35,C,508,271
2019-03-27T18:08:35,C,508,269
2019-03-27T18:17:35,C,508,267
2019-03-27T18:27:36,C,508,263
2019-03-27T18:37:36,C,508,265
2019-03-27T18:48:36,C,508,256
2019-03-27T18:58:36,C,508,252
2019-03-27T19:07:36,C,508,246
2019-03-27T19:18:36,C,508,234
2019-03-27T19:28:36,C,508,229
2019-03-27T19:38:37,C,508,229
2019-03-27T19:48:37,C,508,226
