2019-03-26T12:58:33,C,60,24
2019-03-26T13:09:03,C,60,23
2019-03-26T13:19:04,C,60,23
2019-03-26T13:29:04,C,60,19
2019-03-26T13:38:04,C,60,22
2019-03-26T13:48:34,C,60,26
2019-03-26T13:58:35,C,60,26
2019-03-26T14:08:35,C,60,29
2019-03-26T14:18:35,C,60,27
2019-03-26T14:29:06,C,60,29
2019-03-26T14:39:06,C,60,30
2019-03-26T14:49:09,C,60,32
2019-03-26T14:58:37,C,60,30
2019-03-26T15:09:37,C,60,29
2019-03-26T15:18:37,C,60,30
2019-03-26T15:29:37,C,60,28
2019-03-26T15:39:08,C,60,29
2019-03-26T15:50:08,C,60,26
2019-03-26T15:58:08,C,60,26
2019-03-26T16:08:08,C,60,23
2019-03-26T16:19:39,C,60,23
2019-03-26T16:29:39,C,60,21
2019-03-26T16:39:39,C,60,21
2019-03-26T16:49:40,C,60,23
2019-03-26T17:00:10,C,60,26
2019-03-26T17:10:10,C,60,26
2019-03-26T17:19:11,C,60,22
2019-03-26T17:29:41,C,60,20
2019-03-26T17:39:41,C,60,27
2019-03-26T17:49:41,C,60,29
2019-03-26T18:11:12,C,60,23
2019-03-26T18:30:12,C,60,22
2019-03-26T18:40:13,C,60,20
2019-03-26T18:50:43,C,60,21
2019-03-26T19:00:43,C,60,22
2019-03-26T19:11:43,C,60,21
2019-03-26T19:20:44,C,60,18
2019-03-26T19:32:14,C,60,15
2019-03-26T19:40:14,C,60,13
2019-03-26T19:51:15,C,60,11
2019-03-26T20:00:45,C,60,13
2019-03-26T20:11:45,C,60,16
2019-03-26T20:20:45,C,60,14
2019-03-26T20:31:46,C,60,15
2019-03-26T20:42:16,C,60,15
2019-03-26T20:51:16,C,60,14
2019-03-26T21:01:17,C,60,12
2019-03-26T21:11:17,C,60,14
2019-03-26T21:20:47,C,60,17
2019-03-26T21:31:47,C,60,18
2019-03-26T21:41:48,C,60,17
2019-03-26T21:52:18,C,60,17
2019-03-26T22:00:18,C,60,15
2019-03-26T22:11:18,C,60,18
2019-03-26T22:21:19,C,60,17
2019-03-26T22:31:49,C,60,18
2019-03-26T22:41:49,C,60,18
2019-03-26T22:51:50,C,60,15
2019-03-26T23:01:50,C,60,16
2019-03-26T23:12:20,C,60,15
2019-03-26T23:22:21,C,60,18
2019-03-26T23:32:24,C,60,18
2019-03-26T23:42:51,C,60,17
2019-03-26T23:52:51,C,60,18
2019-03-27T00:02:52,C,60,17
2019-03-27T00:11:52,C,60,17
2019-03-27T00:21:22,C,60,14
2019-03-27T00:27:22,C,60,14
2019-03-27T00:41:23,C,60,14
2019-03-27T00:52:23,C,60,13
2019-03-27T01:02:53,C,60,13
2019-03-27T01:12:57,C,60,12
2019-03-27T01:22:54,C,60,11
2019-03-27T01:32:54,C,60,12
2019-03-27T01:42:24,C,60,12
2019-03-27T01:52:25,C,60,12
2019-03-27T02:02:25,C,60,12
2019-03-27T02:12:55,C,60,12
2019-03-27T02:22:56,C,60,12
2019-03-27T02:32:56,C,60,12
2019-03-27T02:42:56,C,60,12
2019-03-27T02:53:26,C,60,12
2019-03-27T03:13:27,C,60,11
2019-03-27T03:23:27,C,60,11
2019-03-27T03:32:58,C,60,11
2019-03-27T03:43:58,C,60,11
2019-03-27T03:53:58,C,60,11
2019-03-27T04:02:58,C,60,19
2019-03-27T04:12:29,C,60,19
2019-03-27T04:22:29,C,60,19
2019-03-27T04:33:29,C,60,18
2019-03-27T04:42:59,C,60,19
2019-03-27T04:54:00,C,60,20
2019-03-27T05:04:16,C,60,20
2019-03-27T05:13:16,C,60,20
2019-03-27T05:23:16,C,60,20
2019-03-27T05:33:17,C,60,19
2019-03-27T05:43:47,C,60,18
2019-03-27T05:53:47,C,60,18
2019-03-27T06:03:48,C,60,19
2019-03-27T06:13:48,C,60,20
2019-03-27T06:24:18,C,60,21
2019-03-27T06:33:18,C,60,22
2019-03-27T06:43:18,C,60,22
2019-03-27T06:53:19,C,60,21
2019-03-27T07:03:49,C,60,21
2019-03-27T07:14:49,C,60,19
2019-03-27T07:23:50,C,60,22
2019-03-27T07:34:20,C,60,23
2019-03-27T07:43:20,C,60,24
2019-03-27T07:53:20,C,60,27
2019-03-27T08:04:21,C,60,25
2019-03-27T08:13:51,C,60,23
2019-03-27T08:23:51,C,60,23
2019-03-27T08:34:52,C,60,23
2019-03-27T08:43:52,C,60,22
2019-03-27T08:53:22,C,60,24
2019-03-27T09:04:23,C,60,26
2019-03-27T09:14:23,C,60,22
2019-03-27T09:23:23,C,60,22
2019-03-27T09:34:53,C,60,21
2019-03-27T09:43:57,C,60,19
2019-03-27T09:54:54,C,60,21
2019-03-27T10:04:24,C,60,22
2019-03-27T10:14:24,C,60,20
2019-03-27T10:24:25,C,60,21
2019-03-27T10:33:25,C,60,22
2019-03-27T10:44:56,C,60,18
2019-03-27T10:54:56,C,60,15
2019-03-27T11:04:56,C,60,14
2019-03-27T11:14:56,C,60,15
2019-03-27T11:24:27,C,60,17
2019-03-27T11:34:27,C,60,17
2019-03-27T11:44:27,C,60,18
2019-03-27T11:55:57,C,60,17
2019-03-27T12:04:58,C,60,19
2019-03-27T12:15:58,C,60,16
2019-03-27T12:25:58,C,60,14
2019-03-27T12:34:28,C,60,12
2019-03-27T12:45:29,C,60,11
2019-03-27T12:54:29,C,60,14
2019-03-27T13:05:29,C,60,17
2019-03-27T13:14:59,C,60,15
2019-03-27T13:26:00,C,60,13
2019-03-27T13:35:00,C,60,14
2019-03-27T13:45:00,C,60,19
2019-03-27T13:54:31,C,60,20
2019-03-27T14:05:31,C,60,20
2019-03-27T14:14:31,C,60,16
2019-03-27T14:26:01,C,60,16
2019-03-27T14:36:02,C,60,20
2019-03-27T14:46:02,C,60,18
2019-03-27T14:54:02,C,60,21
2019-03-27T15:05:33,C,60,21
2019-03-27T15:15:33,C,60,20
2019-03-27T15:24:33,C,60,20
2019-03-27T15:35:33,C,60,19
2019-03-27T15:46:04,C,60,23
2019-03-27T15:56:04,C,60,25
2019-03-27T16:06:04,C,60,27
2019-03-27T16:15:04,C,60,26
2019-03-27T16:26:35,C,60,24
2019-03-27T16:36:35,C,60,25
2019-03-27T16:46:35,C,60,22
2019-03-27T16:57:06,C,60,23
2019-03-27T17:07:06,C,60,23
2019-03-27T17:16:06,C,60,23
2019-03-27T17:25:09,C,60,26
2019-03-27T17:36:37,C,60,21
2019-03-27T17:45:37,C,60,23
2019-03-27T17:55:37,C,60,26
2019-03-27T18:06:38,C,60,22
2019-03-27T18:16:08,C,60,23
2019-03-27T18:26:08,C,60,22
2019-03-27T18:35:08,C,60,20
2019-03-27T18:46:39,C,60,19
2019-03-27T18:56:39,C,60,15
2019-03-27T19:06:39,C,60,14
2019-03-27T19:16:40,C,60,16
2019-03-27T19:27:10,C,60,15
2019-03-27T19:37:10,C,60,17
2019-03-27T19:46:10,C,60,16
2019-03-27T19:56:14,C,60,15
2019-03-27T20:06:41,C,60,20
2019-03-27T20:17:41,C,60,20
2019-03-27T20:27:41,C,60,21
2019-03-27T20:36:42,C,60,21
2019-03-27T20:47:12,C,60,19
2019-03-27T20:56:12,C,60,21
2019-03-27T21:06:13,C,60,17
2019-03-27T21:16:43,C,60,18
2019-03-27T21:26:43,C,60,17
2019-03-27T21:36:43,C,60,17
2019-03-27T21:46:44,C,60,17
2019-03-27T21:58:14,C,60,19
2019-03-27T22:06:14,C,60,19
2019-03-27T22:16:15,C,60,20
2019-03-27T22:27:15,C,60,20
2019-03-27T22:37:45,C,60,17
2019-03-27T22:46:45,C,60,17
2019-03-27T22:57:46,C,60,18
2019-03-27T23:08:16,C,60,17
2019-03-27T23:18:17,C,60,16
2019-03-27T23:26:16,C,60,18
2019-03-27T23:37:17,C,60,18
2019-03-27T23:47:47,C,60,18
2019-03-27T23:57:47,C,60,17
2019-03-28T00:07:48,C,60,17
2019-03-28T00:17:48,C,60,15
2019-03-28T00:28:18,C,60,15
2019-03-28T00:37:18,C,60,14
2019-03-28T00:47:19,C,60,13
2019-03-28T00:57:19,C,60,13
2019-03-28T01:08:49,C,60,13
2019-03-28T01:18:50,C,60,13
2019-03-28T01:28:50,C,60,13
2019-03-28T01:38:20,C,60,13
2019-03-28T01:47:20,C,60,13
2019-03-28T01:58:21,C,60,13
2019-03-28T02:07:21,C,60,13
2019-03-28T02:18:51,C,60,11
2019-03-28T02:28:55,C,60,12
2019-03-28T02:38:52,C,60,11
2019-03-28T02:48:52,C,60,11
2019-03-28T02:57:22,C,60,11
2019-03-28T03:08:23,C,60,11
2019-03-28T03:17:23,C,60,11
2019-03-28T03:28:23,C,60,10
2019-03-28T03:38:54,C,60,9
2019-03-28T03:48:54,C,60,9
2019-03-28T03:58:54,C,60,9
2019-03-28T04:08:24,C,60,8
2019-03-28T04:19:25,C,60,8
2019-03-28T04:28:25,C,60,8
2019-03-28T04:39:25,C,60,8
2019-03-28T04:48:56,C,60,8
2019-03-28T04:58:56,C,60,6
2019-03-28T05:08:49,C,60,6
2019-03-28T05:20:19,C,60,7
2019-03-28T05:29:20,C,60,7
2019-03-28T05:38:20,C,60,5
2019-03-28T05:49:20,C,60,6
2019-03-28T05:58:51,C,60,5
2019-03-28T06:09:51,C,60,8
2019-03-28T06:18:51,C,60,8
2019-03-28T06:29:21,C,60,8
2019-03-28T06:38:22,C,60,10
2019-03-28T06:49:22,C,60,10
2019-03-28T06:58:22,C,60,9
2019-03-28T07:09:52,C,60,8
2019-03-28T07:19:53,C,60,7
2019-03-28T07:29:53,C,60,11
2019-03-28T07:39:53,C,60,12
2019-03-28T07:49:24,C,60,13
2019-03-28T07:59:24,C,60,14
2019-03-28T08:09:24,C,60,12
2019-03-28T08:19:24,C,60,12
2019-03-28T08:29:55,C,60,11
