date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:06,C,10,6
2019-03-26T13:09:06,C,10,7
2019-03-26T13:19:06,C,10,9
2019-03-26T13:29:06,C,10,9
2019-03-26T13:39:06,C,10,4
2019-03-26T13:49:06,C,10,4
2019-03-26T14:00:07,C,10,5
2019-03-26T14:10:07,C,10,7
2019-03-26T14:20:07,C,10,8
2019-03-26T14:30:07,C,10,4
2019-03-26T14:40:07,C,10,7
2019-03-26T14:50:07,C,10,8
2019-03-26T15:00:07,C,10,7
2019-03-26T15:10:08,C,10,10
2019-03-26T15:21:08,C,10,10
2019-03-26T15:31:08,C,10,6
2019-03-26T15:39:08,C,10,7
2019-03-26T15:51:08,C,10,4
2019-03-26T15:59:08,C,10,6
2019-03-26T16:09:08,C,10,4
2019-03-26T16:21:09,C,10,3
2019-03-26T16:32:09,C,10,2
2019-03-26T16:40:09,C,10,6
2019-03-26T16:50:09,C,10,5
2019-03-26T17:00:09,C,10,0
2019-03-26T17:10:09,C,10,2
2019-03-26T17:20:09,C,10,4
2019-03-26T17:30:10,C,10,6
2019-03-26T17:41:10,C,10,4
2019-03-26T17:51:10,C,10,9
2019-03-26T18:11:10,C,10,9
2019-03-26T18:31:10,C,10,5
2019-03-26T18:41:10,C,10,2
2019-03-26T18:51:11,C,10,8
2019-03-26T19:02:11,C,10,6
2019-03-26T19:12:11,C,10,5
2019-03-26T19:22:11,C,10,7
2019-03-26T19:32:11,C,10,10
2019-03-26T19:42:11,C,10,8
2019-03-26T19:52:12,C,10,10
2019-03-26T20:02:12,C,10,7
2019-03-26T20:13:12,C,10,9
2019-03-26T20:21:12,C,10,6
2019-03-26T20:33:12,C,10,9
2019-03-26T20:43:12,C,10,8
2019-03-26T20:53:12,C,10,6
2019-03-26T21:03:12,C,10,8
2019-03-26T21:13:13,C,10,9
2019-03-26T21:22:13,C,10,9
2019-03-26T21:32:13,C,10,7
2019-03-26T21:42:13,C,10,10
2019-03-26T21:52:13,C,10,7
2019-03-26T22:02:13,C,10,8
2019-03-26T22:12:13,C,10,5
2019-03-26T22:22:13,C,10,6
2019-03-26T22:32:14,C,10,9
2019-03-26T22:43:14,C,10,8
2019-03-26T22:53:14,C,10,8
2019-03-26T23:03:14,C,10,10
2019-03-26T23:13:14,C,10,10
2019-03-26T23:23:14,C,10,10
2019-03-26T23:33:14,C,10,9
2019-03-26T23:43:15,C,10,9
2019-03-26T23:54:15,C,10,10
2019-03-27T00:04:15,C,10,9
2019-03-27T00:12:15,C,10,9
2019-03-27T00:22:15,C,10,10
2019-03-27T00:28:15,C,10,10
2019-03-27T00:42:15,C,10,8
2019-03-27T00:54:16,C,10,9
2019-03-27T01:05:16,C,10,9
2019-03-27T01:13:16,C,10,8
2019-03-27T01:23:16,C,10,8
2019-03-27T01:33:16,C,10,9
2019-03-27T01:43:16,C,10,10
2019-03-27T01:53:16,C,10,10
2019-03-27T02:03:16,C,10,9
2019-03-27T02:13:17,C,10,10
2019-03-27T02:24:17,C,10,9
2019-03-27T02:34:17,C,10,10
2019-03-27T02:44:17,C,10,10
2019-03-27T02:54:17,C,10,10
2019-03-27T03:15:01,C,10,9
2019-03-27T03:25:01,C,10,10
2019-03-27T03:33:01,C,10,9
2019-03-27T03:45:01,C,10,10
2019-03-27T03:55:01,C,10,9
2019-03-27T04:05:01,C,10,9
2019-03-27T04:13:01,C,10,9
2019-03-27T04:24:02,C,10,10
2019-03-27T04:36:02,C,10,8
2019-03-27T04:44:02,C,10,7
2019-03-27T04:54:02,C,10,9
2019-03-27T05:04:02,C,10,9
2019-03-27T05:14:02,C,10,10
2019-03-27T05:24:02,C,10,8
2019-03-27T05:34:02,C,10,7
2019-03-27T05:45:03,C,10,2
2019-03-27T05:55:03,C,10,3
2019-03-27T06:05:03,C,10,1
2019-03-27T06:15:03,C,10,3
2019-03-27T06:25:03,C,10,10
2019-03-27T06:35:03,C,10,3
2019-03-27T06:45:03,C,10,2
2019-03-27T06:56:04,C,10,8
2019-03-27T07:06:04,C,10,6
2019-03-27T07:16:04,C,10,4
2019-03-27T07:24:04,C,10,3
2019-03-27T07:34:04,C,10,4
2019-03-27T07:44:04,C,10,5
2019-03-27T07:54:04,C,10,2
2019-03-27T08:07:05,C,10,4
2019-03-27T08:15:05,C,10,2
2019-03-27T08:25:05,C,10,2
2019-03-27T08:35:05,C,10,5
2019-03-27T08:45:05,C,10,7
2019-03-27T08:55:05,C,10,8
2019-03-27T09:05:05,C,10,6
2019-03-27T09:15:06,C,10,7
2019-03-27T09:26:06,C,10,8
2019-03-27T09:36:06,C,10,5
2019-03-27T09:44:06,C,10,9
2019-03-27T09:56:06,C,10,8
2019-03-27T10:06:06,C,10,9
2019-03-27T10:16:06,C,10,6
2019-03-27T10:26:06,C,10,6
2019-03-27T10:35:07,C,10,0
2019-03-27T10:45:07,C,10,2
2019-03-27T10:55:07,C,10,0
2019-03-27T11:05:07,C,10,0
2019-03-27T11:15:07,C,10,4
2019-03-27T11:25:07,C,10,1
2019-03-27T11:35:07,C,10,4
2019-03-27T11:46:08,C,10,4
2019-03-27T11:58:08,C,10,9
2019-03-27T12:06:08,C,10,10
2019-03-27T12:16:08,C,10,9
2019-03-27T12:26:08,C,10,7
2019-03-27T12:36:08,C,10,6
2019-03-27T12:46:08,C,10,7
2019-03-27T12:56:08,C,10,9
2019-03-27T13:07:09,C,10,4
2019-03-27T13:15:09,C,10,6
2019-03-27T13:27:09,C,10,7
2019-03-27T13:35:09,C,10,6
2019-03-27T13:47:09,C,10,6
2019-03-27T13:55:09,C,10,4
2019-03-27T14:07:09,C,10,8
2019-03-27T14:16:10,C,10,7
2019-03-27T14:26:10,C,10,10
2019-03-27T14:36:10,C,10,1
2019-03-27T14:46:10,C,10,5
2019-03-27T14:56:10,C,10,5
2019-03-27T15:06:10,C,10,8
2019-03-27T15:16:10,C,10,9
2019-03-27T15:27:11,C,10,8
2019-03-27T15:37:11,C,10,8
2019-03-27T15:47:11,C,10,7
2019-03-27T15:57:11,C,10,6
2019-03-27T16:07:11,C,10,7
2019-03-27T16:17:11,C,10,7
2019-03-27T16:27:11,C,10,4
2019-03-27T16:37:11,C,10,6
2019-03-27T16:48:12,C,10,5
2019-03-27T16:58:12,C,10,8
2019-03-27T17:08:12,C,10,7
2019-03-27T17:18:12,C,10,7
2019-03-27T17:26:12,C,10,5
2019-03-27T17:38:12,C,10,4
2019-03-27T17:46:12,C,10,6
2019-03-27T17:57:13,C,10,6
2019-03-27T18:07:13,C,10,6
2019-03-27T18:17:13,C,10,4
2019-03-27T18:27:13,C,10,8
2019-03-27T18:37:13,C,10,5
2019-03-27T18:47:13,C,10,9
2019-03-27T18:57:13,C,10,7
2019-03-27T19:08:13,C,10,8
2019-03-27T19:18:14,C,10,9
2019-03-27T19:28:14,C,10,8
2019-03-27T19:38:14,C,10,5
2019-03-27T19:48:14,C,10,8
2019-03-27T19:58:14,C,10,8
2019-03-27T20:08:14,C,10,9
2019-03-27T20:18:14,C,10,9
2019-03-27T20:29:15,C,10,6
2019-03-27T20:37:15,C,10,10
2019-03-27T20:47:15,C,10,10
2019-03-27T20:57:15,C,10,9
2019-03-27T21:07:15,C,10,9
2019-03-27T21:17:15,C,10,7
2019-03-27T21:27:15,C,10,3
2019-03-27T21:38:16,C,10,5
2019-03-27T21:48:16,C,10,5
2019-03-27T21:58:16,C,10,7
2019-03-27T22:08:16,C,10,9
2019-03-27T22:18:16,C,10,6
2019-03-27T22:28:16,C,10,8
2019-03-27T22:38:16,C,10,9
2019-03-27T22:49:17,C,10,9
2019-03-27T22:59:17,C,10,9
2019-03-27T23:09:17,C,10,8
2019-03-27T23:19:17,C,10,9
2019-03-27T23:27:17,C,10,8
2019-03-27T23:39:17,C,10,9
2019-03-27T23:49:17,C,10,10
2019-03-28T00:00:17,C,10,10
2019-03-28T00:08:18,C,10,10
2019-03-28T00:18:18,C,10,10
2019-03-28T00:28:18,C,10,10
2019-03-28T00:38:18,C,10,7
2019-03-28T00:48:18,C,10,8
2019-03-28T00:58:18,C,10,9
2019-03-28T01:10:18,C,10,9
2019-03-28T01:19:19,C,10,9
2019-03-28T01:29:19,C,10,9
2019-03-28T01:39:19,C,10,9
2019-03-28T01:49:19,C,10,8
2019-03-28T01:59:19,C,10,8
2019-03-28T02:09:19,C,10,9
2019-03-28T02:19:19,C,10,9
2019-03-28T02:30:20,C,10,9
