date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:24,C,197,0
2019-03-26T13:09:34,C,197,0
2019-03-26T13:19:58,C,197,2
2019-03-26T13:30:49,C,197,3
2019-03-26T13:39:22,C,197,10
2019-03-26T13:48:22,C,197,12
2019-03-26T14:00:09,C,197,13
2019-03-26T14:10:04,C,197,17
2019-03-26T14:20:02,C,197,24
2019-03-26T14:29:35,C,197,23
2019-03-26T14:39:11,C,197,23
2019-03-26T14:49:41,C,197,20
2019-03-26T14:59:07,C,197,8
2019-03-26T15:11:03,C,197,1
2019-03-26T15:19:17,C,197,2
2019-03-26T15:29:36,C,197,0
2019-03-26T15:40:01,C,197,5
2019-03-26T15:51:23,C,197,6
2019-03-26T16:00:19,C,197,2
2019-03-26T16:09:16,C,197,5
2019-03-26T16:20:50,C,197,6
2019-03-26T16:30:50,C,197,6
2019-03-26T16:41:31,C,197,14
2019-03-26T16:51:06,C,197,6
2019-03-26T17:00:56,C,197,9
2019-03-26T17:10:46,C,197,11
2019-03-26T17:20:58,C,197,11
2019-03-26T17:31:15,C,197,15
2019-03-26T17:40:27,C,197,18
2019-03-26T17:50:44,C,197,22
2019-03-26T18:12:23,C,197,33
2019-03-26T18:31:40,C,197,39
2019-03-26T18:42:13,C,197,52
2019-03-26T18:52:18,C,197,59
2019-03-26T19:02:23,C,197,71
2019-03-26T19:11:36,C,197,89
2019-03-26T19:21:39,C,197,99
2019-03-26T19:32:56,C,197,108
2019-03-26T19:42:09,C,197,114
2019-03-26T19:50:02,C,197,120
2019-03-26T19:58:37,C,197,122
2019-03-26T20:11:36,C,197,121
2019-03-26T20:21:40,C,197,123
2019-03-26T20:33:19,C,197,125
2019-03-26T20:43:15,C,197,127
2019-03-26T20:52:38,C,197,128
2019-03-26T21:01:41,C,197,130
2019-03-26T21:12:37,C,197,134
2019-03-26T21:21:46,C,197,134
2019-03-26T21:30:46,C,197,135
2019-03-26T21:42:27,C,197,140
2019-03-26T21:51:47,C,197,141
2019-03-26T22:01:41,C,197,138
2019-03-26T22:11:41,C,197,138
2019-03-26T22:21:42,C,197,140
2019-03-26T22:33:42,C,197,137
2019-03-26T22:41:42,C,197,138
2019-03-26T22:52:21,C,197,140
2019-03-26T23:01:42,C,197,144
2019-03-26T23:13:42,C,197,144
2019-03-26T23:22:46,C,197,144
2019-03-26T23:32:53,C,197,144
2019-03-26T23:41:43,C,197,144
2019-03-26T23:53:43,C,197,143
2019-03-27T00:02:11,C,197,143
2019-03-27T00:09:43,C,197,143
2019-03-27T00:17:43,C,197,143
2019-03-27T00:25:43,C,197,144
2019-03-27T00:41:44,C,197,144
2019-03-27T00:53:44,C,197,143
2019-03-27T01:01:44,C,197,143
2019-03-27T01:13:44,C,197,143
2019-03-27T01:21:44,C,197,144
2019-03-27T01:33:44,C,197,144
2019-03-27T01:41:44,C,197,144
2019-03-27T01:53:45,C,197,144
2019-03-27T02:01:45,C,197,143
2019-03-27T02:09:45,C,197,143
2019-03-27T02:21:45,C,197,143
2019-03-27T02:33:45,C,197,143
2019-03-27T02:41:45,C,197,143
2019-03-27T02:53:45,C,197,144
2019-03-27T03:13:46,C,197,144
2019-03-27T03:24:19,C,197,145
2019-03-27T03:29:46,C,197,145
2019-03-27T03:41:46,C,197,146
2019-03-27T03:53:46,C,197,146
2019-03-27T04:02:08,C,197,152
2019-03-27T04:09:46,C,197,152
2019-03-27T04:21:47,C,197,152
2019-03-27T04:33:47,C,197,152
2019-03-27T04:41:47,C,197,152
2019-03-27T04:53:47,C,197,152
2019-03-27T05:01:47,C,197,152
2019-03-27T05:13:47,C,197,152
2019-03-27T05:21:47,C,197,152
2019-03-27T05:33:48,C,197,152
2019-03-27T05:41:48,C,197,152
2019-03-27T05:53:48,C,197,152
2019-03-27T06:01:48,C,197,152
2019-03-27T06:13:48,C,197,153
2019-03-27T06:21:48,C,197,153
2019-03-27T06:33:48,C,197,153
2019-03-27T06:45:03,C,197,152
2019-03-27T06:54:03,C,197,152
2019-03-27T07:01:58,C,197,153
2019-03-27T07:15:49,C,197,154
2019-03-27T07:24:23,C,197,153
2019-03-27T07:34:28,C,197,154
2019-03-27T07:43:19,C,197,151
2019-03-27T07:53:49,C,197,147
2019-03-27T08:05:50,C,197,138
2019-03-27T08:13:50,C,197,138
2019-03-27T08:23:34,C,197,140
2019-03-27T08:36:08,C,197,135
2019-03-27T08:44:42,C,197,127
2019-03-27T08:55:16,C,197,124
2019-03-27T09:05:50,C,197,120
2019-03-27T09:15:44,C,197,119
2019-03-27T09:25:51,C,197,114
2019-03-27T09:35:58,C,197,106
2019-03-27T09:44:38,C,197,104
2019-03-27T09:56:17,C,197,97
2019-03-27T10:05:51,C,197,85
2019-03-27T10:15:30,C,197,76
2019-03-27T10:25:51,C,197,73
2019-03-27T10:34:40,C,197,69
2019-03-27T10:46:36,C,197,63
2019-03-27T10:56:38,C,197,56
2019-03-27T11:05:52,C,197,47
2019-03-27T11:16:08,C,197,43
2019-03-27T11:26:11,C,197,35
2019-03-27T11:36:00,C,197,30
2019-03-27T11:45:14,C,197,28
2019-03-27T11:56:27,C,197,31
2019-03-27T12:05:10,C,197,19
2019-03-27T12:16:39,C,197,15
2019-03-27T12:27:26,C,197,11
2019-03-27T12:35:12,C,197,20
2019-03-27T12:46:36,C,197,12
2019-03-27T12:56:24,C,197,17
2019-03-27T13:07:29,C,197,16
2019-03-27T13:16:07,C,197,17
2019-03-27T13:26:33,C,197,13
2019-03-27T13:35:11,C,197,9
2019-03-27T13:47:06,C,197,13
2019-03-27T13:55:23,C,197,12
2019-03-27T14:07:13,C,197,12
2019-03-27T14:16:37,C,197,11
2019-03-27T14:26:47,C,197,4
2019-03-27T14:36:02,C,197,7
2019-03-27T14:46:52,C,197,10
2019-03-27T14:56:26,C,197,12
2019-03-27T15:05:55,C,197,9
2019-03-27T15:16:58,C,197,0
2019-03-27T15:25:42,C,197,1
2019-03-27T15:36:00,C,197,7
2019-03-27T15:47:05,C,197,15
2019-03-27T15:55:00,C,197,18
2019-03-27T16:06:49,C,197,27
2019-03-27T16:16:17,C,197,31
2019-03-27T16:28:23,C,197,19
2019-03-27T16:38:36,C,197,24
2019-03-27T16:47:34,C,197,34
2019-03-27T16:57:16,C,197,35
2019-03-27T17:07:58,C,197,36
2019-03-27T17:18:28,C,197,36
2019-03-27T17:26:14,C,197,44
2019-03-27T17:36:45,C,197,41
2019-03-27T17:45:58,C,197,45
2019-03-27T17:56:03,C,197,47
2019-03-27T18:07:59,C,197,49
2019-03-27T18:17:07,C,197,45
2019-03-27T18:26:49,C,197,45
2019-03-27T18:36:13,C,197,52
2019-03-27T18:48:08,C,197,64
2019-03-27T18:57:59,C,197,71
2019-03-27T19:08:35,C,197,76
2019-03-27T19:17:12,C,197,74
2019-03-27T19:26:58,C,197,77
2019-03-27T19:36:46,C,197,80
2019-03-27T19:47:06,C,197,77
2019-03-27T19:58:15,C,197,75
2019-03-27T20:06:24,C,197,78
2019-03-27T20:19:03,C,197,79
2019-03-27T20:28:52,C,197,81
2019-03-27T20:37:27,C,197,80
2019-03-27T20:47:39,C,197,80
2019-03-27T20:57:16,C,197,84
2019-03-27T21:07:25,C,197,86
2019-03-27T21:18:00,C,197,95
2019-03-27T21:28:17,C,197,100
2019-03-27T21:38:34,C,197,108
2019-03-27T21:48:24,C,197,113
2019-03-27T21:58:01,C,197,122
2019-03-27T22:06:51,C,197,126
2019-03-27T22:18:01,C,197,131
2019-03-27T22:26:01,C,197,132
2019-03-27T22:39:37,C,197,134
