date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:44,C,426,359
2019-03-26T13:10:06,C,426,356
2019-03-26T13:19:54,C,426,353
2019-03-26T13:30:20,C,426,356
2019-03-26T13:40:41,C,426,361
2019-03-26T13:49:32,C,426,360
2019-03-26T14:00:24,C,426,362
2019-03-26T14:10:06,C,426,369
2019-03-26T14:19:58,C,426,369
2019-03-26T14:31:03,C,426,372
2019-03-26T14:40:10,C,426,368
2019-03-26T14:51:35,C,426,367
2019-03-26T14:58:59,C,426,366
2019-03-26T15:11:48,C,426,372
2019-03-26T15:19:42,C,426,368
2019-03-26T15:30:53,C,426,366
2019-03-26T15:39:46,C,426,366
2019-03-26T15:50:38,C,426,360
2019-03-26T15:59:44,C,426,358
2019-03-26T16:10:06,C,426,355
2019-03-26T16:21:14,C,426,358
2019-03-26T16:31:17,C,426,351
2019-03-26T16:41:01,C,426,358
2019-03-26T16:50:40,C,426,362
2019-03-26T17:00:47,C,426,365
2019-03-26T17:10:06,C,426,374
2019-03-26T17:19:19,C,426,371
2019-03-26T17:31:46,C,426,372
2019-03-26T17:41:38,C,426,370
2019-03-26T17:51:45,C,426,369
2019-03-26T18:12:18,C,426,377
2019-03-26T18:31:06,C,426,381
2019-03-26T18:42:06,C,426,382
2019-03-26T18:50:24,C,426,383
2019-03-26T19:01:46,C,426,384
2019-03-26T19:13:26,C,426,387
2019-03-26T19:20:23,C,426,391
2019-03-26T19:33:05,C,426,390
2019-03-26T19:38:59,C,426,391
2019-03-26T19:53:55,C,426,392
2019-03-26T20:02:30,C,426,394
2019-03-26T20:11:50,C,426,395
2019-03-26T20:22:06,C,426,401
2019-03-26T20:30:34,C,426,403
2019-03-26T20:42:37,C,426,403
2019-03-26T20:54:06,C,426,401
2019-03-26T21:02:24,C,426,401
2019-03-26T21:10:06,C,426,398
2019-03-26T21:19:35,C,426,399
2019-03-26T21:34:06,C,426,399
2019-03-26T21:42:06,C,426,399
2019-03-26T21:51:19,C,426,401
2019-03-26T22:02:06,C,426,400
2019-03-26T22:10:06,C,426,400
2019-03-26T22:22:06,C,426,400
2019-03-26T22:30:30,C,426,399
2019-03-26T22:42:06,C,426,399
2019-03-26T22:50:07,C,426,400
2019-03-26T23:02:18,C,426,399
2019-03-26T23:14:07,C,426,397
2019-03-26T23:23:58,C,426,399
2019-03-26T23:32:44,C,426,401
2019-03-26T23:42:07,C,426,402
2019-03-26T23:54:07,C,426,401
2019-03-27T00:02:07,C,426,401
2019-03-27T00:10:07,C,426,402
2019-03-27T00:22:07,C,426,402
2019-03-27T00:26:07,C,426,402
2019-03-27T00:42:07,C,426,402
2019-03-27T00:54:42,C,426,402
2019-03-27T01:02:07,C,426,402
2019-03-27T01:10:21,C,426,401
2019-03-27T01:22:50,C,426,400
2019-03-27T01:34:07,C,426,399
2019-03-27T01:42:07,C,426,399
2019-03-27T01:54:07,C,426,399
2019-03-27T02:02:07,C,426,399
2019-03-27T02:14:07,C,426,399
2019-03-27T02:22:07,C,426,399
2019-03-27T02:34:07,C,426,399
2019-03-27T02:42:07,C,426,399
2019-03-27T02:54:07,C,426,399
2019-03-27T03:14:07,C,426,399
2019-03-27T03:22:07,C,426,399
2019-03-27T03:34:07,C,426,399
2019-03-27T03:42:07,C,426,399
2019-03-27T03:54:07,C,426,399
2019-03-27T04:02:07,C,426,400
2019-03-27T04:14:07,C,426,400
2019-03-27T04:22:07,C,426,400
2019-03-27T04:34:07,C,426,400
2019-03-27T04:42:07,C,426,400
2019-03-27T04:54:07,C,426,400
2019-03-27T05:02:07,C,426,399
2019-03-27T05:14:07,C,426,399
2019-03-27T05:26:07,C,426,399
2019-03-27T05:34:07,C,426,399
2019-03-27T05:42:07,C,426,399
2019-03-27T05:54:07,C,426,399
2019-03-27T06:02:07,C,426,400
2019-03-27T06:14:07,C,426,400
2019-03-27T06:25:10,C,426,401
2019-03-27T06:34:07,C,426,402
2019-03-27T06:42:07,C,426,403
2019-03-27T06:54:07,C,426,402
2019-03-27T07:02:07,C,426,404
2019-03-27T07:14:32,C,426,402
2019-03-27T07:22:54,C,426,402
2019-03-27T07:34:07,C,426,405
2019-03-27T07:44:24,C,426,405
2019-03-27T07:54:07,C,426,405
2019-03-27T08:04:23,C,426,408
2019-03-27T08:14:58,C,426,408
2019-03-27T08:24:36,C,426,408
2019-03-27T08:34:07,C,426,407
2019-03-27T08:44:39,C,426,407
2019-03-27T08:54:07,C,426,408
2019-03-27T09:06:07,C,426,405
2019-03-27T09:16:21,C,426,400
2019-03-27T09:25:54,C,426,400
2019-03-27T09:35:58,C,426,389
2019-03-27T09:45:21,C,426,383
2019-03-27T09:55:03,C,426,380
2019-03-27T10:07:00,C,426,369
2019-03-27T10:17:08,C,426,368
2019-03-27T10:26:23,C,426,365
2019-03-27T10:33:30,C,426,356
2019-03-27T10:46:07,C,426,349
2019-03-27T10:56:55,C,426,346
2019-03-27T11:06:11,C,426,346
