date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:35,C,270,185
2019-03-26T13:09:59,C,270,180
2019-03-26T13:20:41,C,270,186
2019-03-26T13:29:48,C,270,186
2019-03-26T13:39:29,C,270,185
2019-03-26T13:49:48,C,270,182
2019-03-26T14:00:01,C,270,180
2019-03-26T14:09:54,C,270,184
2019-03-26T14:20:48,C,270,182
2019-03-26T14:30:14,C,270,180
2019-03-26T14:39:08,C,270,185
2019-03-26T14:51:04,C,270,187
2019-03-26T15:00:55,C,270,181
2019-03-26T15:11:50,C,270,185
2019-03-26T15:20:12,C,270,183
2019-03-26T15:31:32,C,270,175
2019-03-26T15:40:31,C,270,177
2019-03-26T15:51:07,C,270,182
2019-03-26T15:59:48,C,270,178
2019-03-26T16:10:01,C,270,174
2019-03-26T16:21:48,C,270,177
2019-03-26T16:31:14,C,270,178
2019-03-26T16:41:13,C,270,176
2019-03-26T16:50:25,C,270,181
2019-03-26T17:01:48,C,270,177
2019-03-26T17:10:57,C,270,175
2019-03-26T17:21:01,C,270,170
2019-03-26T17:31:32,C,270,168
2019-03-26T17:41:49,C,270,170
2019-03-26T17:52:14,C,270,175
2019-03-26T18:12:21,C,270,172
2019-03-26T18:32:57,C,270,163
2019-03-26T18:42:29,C,270,145
2019-03-26T18:51:47,C,270,139
2019-03-26T19:01:49,C,270,139
2019-03-26T19:13:52,C,270,140
2019-03-26T19:21:01,C,270,136
2019-03-26T19:33:12,C,270,141
2019-03-26T19:41:04,C,270,137
2019-03-26T19:53:49,C,270,133
2019-03-26T20:02:51,C,270,132
2019-03-26T20:12:26,C,270,130
2019-03-26T20:21:49,C,270,133
2019-03-26T20:33:49,C,270,130
2019-03-26T20:43:46,C,270,124
2019-03-26T20:53:49,C,270,125
2019-03-26T21:03:01,C,270,120
2019-03-26T21:13:43,C,270,116
2019-03-26T21:21:49,C,270,112
2019-03-26T21:33:49,C,270,110
2019-03-26T21:42:07,C,270,104
2019-03-26T21:52:49,C,270,98
2019-03-26T22:02:05,C,270,97
2019-03-26T22:13:33,C,270,91
2019-03-26T22:23:45,C,270,90
2019-03-26T22:32:58,C,270,83
