date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:26,C,248,243
2019-03-26T13:10:55,C,248,241
2019-03-26T13:20:59,C,248,239
2019-03-26T13:29:56,C,248,236
2019-03-26T13:39:56,C,248,237
2019-03-26T13:50:26,C,248,240
2019-03-26T14:00:27,C,248,239
2019-03-26T14:10:27,C,248,236
2019-03-26T14:20:58,C,248,236
2019-03-26T14:30:58,C,248,237
2019-03-26T14:40:58,C,248,236
2019-03-26T14:51:00,C,248,236
2019-03-26T15:00:29,C,248,236
2019-03-26T15:11:29,C,248,234
2019-03-26T15:20:29,C,248,234
2019-03-26T15:31:30,C,248,232
2019-03-26T15:41:00,C,248,232
2019-03-26T15:52:01,C,248,233
2019-03-26T16:00:01,C,248,231
2019-03-26T16:10:01,C,248,232
2019-03-26T16:21:31,C,248,234
2019-03-26T16:31:33,C,248,234
2019-03-26T16:41:31,C,248,235
2019-03-26T16:52:02,C,248,235
2019-03-26T17:02:02,C,248,238
2019-03-26T17:11:02,C,248,238
2019-03-26T17:21:05,C,248,241
2019-03-26T17:31:35,C,248,243
2019-03-26T17:41:34,C,248,240
2019-03-26T17:51:34,C,248,240
2019-03-26T18:13:05,C,248,245
2019-03-26T18:32:05,C,248,240
2019-03-26T18:42:08,C,248,240
2019-03-26T18:52:36,C,248,238
2019-03-26T19:02:36,C,248,234
2019-03-26T19:13:37,C,248,229
2019-03-26T19:23:07,C,248,226
2019-03-26T19:33:08,C,248,226
2019-03-26T19:42:09,C,248,226
2019-03-26T19:53:11,C,248,226
2019-03-26T20:02:37,C,248,225
2019-03-26T20:13:38,C,248,221
2019-03-26T20:22:39,C,248,223
2019-03-26T20:33:40,C,248,219
2019-03-26T20:43:09,C,248,212
2019-03-26T20:53:10,C,248,210
2019-03-26T21:03:10,C,248,205
2019-03-26T21:13:41,C,248,202
2019-03-26T21:22:42,C,248,201
2019-03-26T21:33:42,C,248,197
2019-03-26T21:43:42,C,248,194
2019-03-26T21:54:14,C,248,193
2019-03-26T22:02:13,C,248,192
2019-03-26T22:13:13,C,248,188
2019-03-26T22:23:14,C,248,186
2019-03-26T22:33:44,C,248,186
2019-03-26T22:43:45,C,248,184
2019-03-26T22:53:45,C,248,184
2019-03-26T23:02:49,C,248,183
2019-03-26T23:14:15,C,248,180
2019-03-26T23:24:17,C,248,181
2019-03-26T23:34:16,C,248,179
2019-03-26T23:44:18,C,248,177
2019-03-26T23:54:48,C,248,175
2019-03-27T00:04:48,C,248,173
2019-03-27T00:13:48,C,248,172
2019-03-27T00:22:49,C,248,172
2019-03-27T00:30:21,C,248,172
2019-03-27T00:43:19,C,248,171
2019-03-27T00:54:23,C,248,170
2019-03-27T01:04:50,C,248,168
2019-03-27T01:14:51,C,248,167
2019-03-27T01:24:51,C,248,167
2019-03-27T01:34:52,C,248,167
