date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:52,C,231,119
2019-03-26T13:10:52,C,231,124
2019-03-26T13:20:52,C,231,128
2019-03-26T13:29:52,C,231,129
2019-03-26T13:40:23,C,231,134
2019-03-26T13:50:23,C,231,141
2019-03-26T14:00:23,C,231,146
2019-03-26T14:10:54,C,231,146
2019-03-26T14:20:54,C,231,145
2019-03-26T14:30:54,C,231,148
2019-03-26T14:40:54,C,231,148
2019-03-26T14:51:25,C,231,147
2019-03-26T15:00:25,C,231,144
2019-03-26T15:11:25,C,231,151
2019-03-26T15:20:25,C,231,154
2019-03-26T15:31:56,C,231,145
2019-03-26T15:40:56,C,231,142
2019-03-26T15:50:56,C,231,142
2019-03-26T15:59:57,C,231,142
2019-03-26T16:10:27,C,231,145
2019-03-26T16:21:27,C,231,156
2019-03-26T16:31:29,C,231,153
2019-03-26T16:41:58,C,231,153
2019-03-26T16:51:58,C,231,154
2019-03-26T17:00:58,C,231,154
2019-03-26T17:10:58,C,231,152
2019-03-26T17:21:30,C,231,154
2019-03-26T17:31:30,C,231,163
2019-03-26T17:41:30,C,231,177
2019-03-26T17:51:30,C,231,185
2019-03-26T18:12:00,C,231,187
2019-03-26T18:32:31,C,231,192
2019-03-26T18:42:32,C,231,197
2019-03-26T18:52:32,C,231,199
2019-03-26T19:02:32,C,231,202
2019-03-26T19:14:05,C,231,204
2019-03-26T19:22:02,C,231,207
2019-03-26T19:33:03,C,231,209
2019-03-26T19:42:04,C,231,211
2019-03-26T19:53:33,C,231,210
2019-03-26T20:02:33,C,231,210
2019-03-26T20:13:34,C,231,213
2019-03-26T20:23:05,C,231,211
2019-03-26T20:33:04,C,231,212
2019-03-26T20:43:05,C,231,213
2019-03-26T20:53:05,C,231,212
2019-03-26T21:03:35,C,231,215
2019-03-26T21:13:35,C,231,215
2019-03-26T21:22:36,C,231,215
2019-03-26T21:33:36,C,231,214
2019-03-26T21:43:06,C,231,215
2019-03-26T21:53:06,C,231,215
2019-03-26T22:02:07,C,231,217
2019-03-26T22:13:37,C,231,218
