date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:46,C,156,0
2019-03-26T13:08:46,C,156,0
2019-03-26T13:18:46,C,156,0
2019-03-26T13:29:17,C,156,0
2019-03-26T13:38:17,C,156,0
2019-03-26T13:48:17,C,156,0
2019-03-26T13:58:17,C,156,0
2019-03-26T14:08:48,C,156,0
2019-03-26T14:18:48,C,156,0
2019-03-26T14:28:48,C,156,0
2019-03-26T14:39:19,C,156,0
2019-03-26T14:49:19,C,156,1
2019-03-26T14:58:19,C,156,7
2019-03-26T15:09:19,C,156,8
2019-03-26T15:18:50,C,156,3
2019-03-26T15:29:50,C,156,8
2019-03-26T15:38:50,C,156,8
2019-03-26T15:49:53,C,156,7
2019-03-26T15:58:21,C,156,8
2019-03-26T16:08:21,C,156,8
2019-03-26T16:19:21,C,156,7
2019-03-26T16:29:51,C,156,7
2019-03-26T16:39:52,C,156,4
2019-03-26T16:49:52,C,156,7
2019-03-26T16:59:52,C,156,7
2019-03-26T17:10:23,C,156,8
2019-03-26T17:19:23,C,156,7
2019-03-26T17:29:23,C,156,5
2019-03-26T17:39:23,C,156,3
2019-03-26T17:49:54,C,156,0
2019-03-26T18:10:54,C,156,0
2019-03-26T18:30:25,C,156,0
2019-03-26T18:40:25,C,156,0
2019-03-26T18:50:25,C,156,0
2019-03-26T19:00:56,C,156,0
2019-03-26T19:11:56,C,156,0
2019-03-26T19:20:56,C,156,0
2019-03-26T19:31:57,C,156,0
2019-03-26T19:40:27,C,156,0
2019-03-26T19:51:27,C,156,0
2019-03-26T20:00:27,C,156,0
2019-03-26T20:11:28,C,156,0
2019-03-26T20:20:58,C,156,0
2019-03-26T20:31:58,C,156,0
2019-03-26T20:41:58,C,156,0
2019-03-26T20:51:29,C,156,0
2019-03-26T21:01:29,C,156,0
2019-03-26T21:11:29,C,156,0
2019-03-26T21:20:29,C,156,0
2019-03-26T21:32:00,C,156,0
2019-03-26T21:42:00,C,156,0
2019-03-26T21:52:00,C,156,0
2019-03-26T22:00:01,C,156,0
2019-03-26T22:11:31,C,156,0
2019-03-26T22:21:31,C,156,0
2019-03-26T22:31:31,C,156,0
2019-03-26T22:41:32,C,156,0
2019-03-26T22:52:02,C,156,0
2019-03-26T23:02:02,C,156,0
2019-03-26T23:12:03,C,156,0
2019-03-26T23:22:33,C,156,0
2019-03-26T23:32:33,C,156,0
2019-03-26T23:42:33,C,156,0
2019-03-26T23:52:34,C,156,0
2019-03-27T00:03:04,C,156,0
2019-03-27T00:12:04,C,156,0
2019-03-27T00:21:05,C,156,0
2019-03-27T00:27:05,C,156,0
2019-03-27T00:41:35,C,156,0
2019-03-27T00:52:35,C,156,0
2019-03-27T01:02:36,C,156,0
2019-03-27T01:13:06,C,156,0
2019-03-27T01:23:06,C,156,0
2019-03-27T01:33:06,C,156,0
2019-03-27T01:42:07,C,156,0
2019-03-27T01:52:37,C,156,0
2019-03-27T02:02:37,C,156,0
2019-03-27T02:12:38,C,156,0
2019-03-27T02:22:38,C,156,0
2019-03-27T02:33:08,C,156,0
2019-03-27T02:43:08,C,156,0
2019-03-27T02:53:09,C,156,0
2019-03-27T03:13:39,C,156,0
2019-03-27T03:23:40,C,156,0
2019-03-27T03:32:40,C,156,0
2019-03-27T03:44:10,C,156,0
2019-03-27T03:54:10,C,156,0
2019-03-27T04:03:11,C,156,0
2019-03-27T04:12:11,C,156,0
2019-03-27T04:22:41,C,156,0
2019-03-27T04:33:41,C,156,0
2019-03-27T04:42:42,C,156,0
2019-03-27T04:53:42,C,156,0
2019-03-27T05:04:06,C,156,0
2019-03-27T05:13:06,C,156,0
2019-03-27T05:23:06,C,156,0
2019-03-27T05:33:36,C,156,0
2019-03-27T05:43:37,C,156,0
2019-03-27T05:53:37,C,156,0
2019-03-27T06:04:07,C,156,0
2019-03-27T06:14:07,C,156,0
2019-03-27T06:24:08,C,156,0
2019-03-27T06:33:08,C,156,0
2019-03-27T06:43:38,C,156,0
2019-03-27T06:53:38,C,156,0
2019-03-27T07:03:39,C,156,0
2019-03-27T07:14:39,C,156,0
2019-03-27T07:24:09,C,156,0
2019-03-27T07:34:10,C,156,0
2019-03-27T07:43:10,C,156,0
2019-03-27T07:53:10,C,156,0
2019-03-27T08:04:41,C,156,0
2019-03-27T08:13:41,C,156,0
2019-03-27T08:23:41,C,156,0
2019-03-27T08:35:11,C,156,0
2019-03-27T08:44:12,C,156,0
2019-03-27T08:53:12,C,156,0
2019-03-27T09:04:12,C,156,0
2019-03-27T09:14:42,C,156,0
2019-03-27T09:23:43,C,156,0
2019-03-27T09:34:43,C,156,0
2019-03-27T09:43:43,C,156,0
2019-03-27T09:55:14,C,156,0
2019-03-27T10:04:14,C,156,0
2019-03-27T10:14:14,C,156,0
2019-03-27T10:24:18,C,156,0
2019-03-27T10:33:45,C,156,0
2019-03-27T10:44:45,C,156,0
2019-03-27T10:54:45,C,156,0
2019-03-27T11:04:45,C,156,0
2019-03-27T11:15:16,C,156,0
2019-03-27T11:24:16,C,156,0
2019-03-27T11:34:19,C,156,0
2019-03-27T11:44:46,C,156,0
2019-03-27T11:55:47,C,156,0
2019-03-27T12:04:48,C,156,0
2019-03-27T12:15:47,C,156,0
2019-03-27T12:26:18,C,156,0
2019-03-27T12:34:18,C,156,0
2019-03-27T12:45:18,C,156,0
2019-03-27T12:54:18,C,156,0
2019-03-27T13:05:49,C,156,0
2019-03-27T13:14:49,C,156,0
2019-03-27T13:25:49,C,156,0
2019-03-27T13:35:20,C,156,0
2019-03-27T13:45:21,C,156,0
2019-03-27T13:54:20,C,156,0
2019-03-27T14:05:20,C,156,0
2019-03-27T14:14:51,C,156,0
2019-03-27T14:25:51,C,156,0
2019-03-27T14:35:51,C,156,0
2019-03-27T14:45:51,C,156,0
2019-03-27T14:54:22,C,156,0
2019-03-27T15:05:22,C,156,0
2019-03-27T15:15:22,C,156,0
2019-03-27T15:24:23,C,156,0
2019-03-27T15:35:53,C,156,0
2019-03-27T15:45:53,C,156,0
2019-03-27T15:55:54,C,156,0
2019-03-27T16:05:54,C,156,0
2019-03-27T16:15:24,C,156,0
2019-03-27T16:26:24,C,156,0
2019-03-27T16:36:25,C,156,0
2019-03-27T16:46:55,C,156,0
2019-03-27T16:56:55,C,156,0
2019-03-27T17:06:55,C,156,0
2019-03-27T17:15:56,C,156,0
2019-03-27T17:25:26,C,156,0
2019-03-27T17:36:26,C,156,0
2019-03-27T17:45:26,C,156,0
2019-03-27T17:55:57,C,156,0
2019-03-27T18:06:57,C,156,0
2019-03-27T18:15:57,C,156,0
2019-03-27T18:25:58,C,156,0
2019-03-27T18:35:28,C,156,0
2019-03-27T18:46:31,C,156,0
2019-03-27T18:56:28,C,156,0
2019-03-27T19:06:29,C,156,0
2019-03-27T19:16:59,C,156,0
2019-03-27T19:26:59,C,156,0
2019-03-27T19:36:59,C,156,0
2019-03-27T19:46:00,C,156,0
2019-03-27T19:56:30,C,156,0
2019-03-27T20:06:30,C,156,0
2019-03-27T20:17:31,C,156,0
2019-03-27T20:28:01,C,156,0
2019-03-27T20:37:01,C,156,0
2019-03-27T20:47:01,C,156,0
2019-03-27T20:56:02,C,156,0
2019-03-27T21:06:32,C,156,0
2019-03-27T21:16:32,C,156,0
2019-03-27T21:26:33,C,156,0
2019-03-27T21:36:33,C,156,0
2019-03-27T21:47:03,C,156,0
2019-03-27T21:58:03,C,156,0
2019-03-27T22:06:04,C,156,0
2019-03-27T22:16:04,C,156,0
2019-03-27T22:27:34,C,156,0
2019-03-27T22:37:37,C,156,0
2019-03-27T22:46:35,C,156,0
2019-03-27T22:58:05,C,156,0
2019-03-27T23:08:05,C,156,0
2019-03-27T23:18:06,C,156,0
2019-03-27T23:26:06,C,156,0
2019-03-27T23:37:36,C,156,0
2019-03-27T23:47:36,C,156,0
2019-03-27T23:57:40,C,156,0
2019-03-28T00:07:37,C,156,0
2019-03-28T00:18:07,C,156,0
2019-03-28T00:28:07,C,156,0
2019-03-28T00:37:08,C,156,0
2019-03-28T00:47:38,C,156,0
2019-03-28T00:57:38,C,156,0
2019-03-28T01:08:39,C,156,0
2019-03-28T01:18:39,C,156,0
2019-03-28T01:29:09,C,156,0
2019-03-28T01:38:09,C,156,0
2019-03-28T01:47:10,C,156,0
2019-03-28T01:58:10,C,156,0
2019-03-28T02:07:40,C,156,0
2019-03-28T02:18:40,C,156,0
2019-03-28T02:28:41,C,156,0
2019-03-28T02:38:41,C,156,0
2019-03-28T02:49:11,C,156,0
2019-03-28T02:57:12,C,156,0
2019-03-28T03:08:12,C,156,0
2019-03-28T03:17:42,C,156,0
2019-03-28T03:28:42,C,156,0
2019-03-28T03:38:43,C,156,0
2019-03-28T03:48:43,C,156,0
2019-03-28T03:59:13,C,156,0
2019-03-28T04:08:14,C,156,0
2019-03-28T04:19:14,C,156,0
2019-03-28T04:28:14,C,156,0
2019-03-28T04:39:44,C,156,0
2019-03-28T04:48:45,C,156,0
2019-03-28T04:59:15,C,156,0
2019-03-28T05:08:49,C,156,0
2019-03-28T05:20:19,C,156,0
2019-03-28T05:29:19,C,156,0
2019-03-28T05:38:19,C,156,0
2019-03-28T05:49:20,C,156,0
2019-03-28T05:58:50,C,156,0
2019-03-28T06:09:50,C,156,0
2019-03-28T06:18:51,C,156,0
2019-03-28T06:29:21,C,156,0
2019-03-28T06:38:21,C,156,0
2019-03-28T06:49:21,C,156,0
2019-03-28T06:58:22,C,156,0
2019-03-28T07:09:52,C,156,0
2019-03-28T07:19:52,C,156,0
2019-03-28T07:29:53,C,156,0
2019-03-28T07:39:53,C,156,0
2019-03-28T07:49:23,C,156,0
2019-03-28T07:59:24,C,156,0
2019-03-28T08:09:24,C,156,0
2019-03-28T08:19:24,C,156,0
2019-03-28T08:29:54,C,156,0
2019-03-28T08:39:54,C,156,0
2019-03-28T08:49:55,C,156,0
2019-03-28T08:59:25,C,156,0
2019-03-28T09:10:25,C,156,0
2019-03-28T09:19:26,C,156,0
2019-03-28T09:29:26,C,156,0
2019-03-28T09:40:56,C,156,0
2019-03-28T09:50:56,C,156,0
2019-03-28T09:59:57,C,156,0
2019-03-28T10:08:57,C,156,0
2019-03-28T10:20:27,C,156,0
2019-03-28T10:30:28,C,156,0
2019-03-28T10:40:28,C,156,0
2019-03-28T10:49:28,C,156,0
2019-03-28T11:00:58,C,156,0
2019-03-28T11:09:59,C,156,0
2019-03-28T11:20:59,C,156,0
2019-03-28T11:30:29,C,156,0
2019-03-28T11:40:32,C,156,0
2019-03-28T11:50:30,C,156,0
2019-03-28T12:00:30,C,156,0
2019-03-28T12:11:01,C,156,0
2019-03-28T12:21:01,C,156,0
2019-03-28T12:31:01,C,156,0
2019-03-28T12:40:01,C,156,0
2019-03-28T12:50:31,C,156,0
2019-03-28T13:00:32,C,156,0
2019-03-28T13:10:32,C,156,0
2019-03-28T13:21:02,C,156,0
2019-03-28T13:31:06,C,156,0
2019-03-28T13:41:03,C,156,0
2019-03-28T13:50:03,C,156,0
2019-03-28T14:00:33,C,156,0
2019-03-28T14:11:34,C,156,0
2019-03-28T14:20:34,C,156,0
2019-03-28T14:30:34,C,156,85
2019-03-28T14:41:04,C,156,96
2019-03-28T14:51:05,C,156,94
2019-03-28T15:00:05,C,156,96
2019-03-28T15:10:05,C,156,91
2019-03-28T15:20:36,C,156,90
2019-03-28T15:30:36,C,156,94
2019-03-28T15:52:07,C,156,92
2019-03-28T16:02:07,C,156,93
2019-03-28T16:22:07,C,156,91
2019-03-28T16:42:38,C,156,82
2019-03-28T16:52:38,C,156,85
2019-03-28T17:02:38,C,156,85
2019-03-28T17:13:09,C,156,86
2019-03-28T17:22:09,C,156,89
2019-03-28T17:42:39,C,156,90
2019-03-28T17:52:40,C,156,85
2019-03-28T18:02:40,C,156,80
2019-03-28T18:12:40,C,156,77
2019-03-28T18:22:11,C,156,78
2019-03-28T18:33:11,C,156,71
2019-03-28T18:42:11,C,156,70
2019-03-28T18:52:11,C,156,72
2019-03-28T19:13:42,C,156,63
2019-03-28T19:23:42,C,156,64
2019-03-28T19:34:43,C,156,64
2019-03-28T19:44:13,C,156,62
2019-03-28T19:53:13,C,156,61
2019-03-28T20:03:13,C,156,55
2019-03-28T20:14:44,C,156,53
2019-03-28T20:23:44,C,156,52
2019-03-28T20:33:44,C,156,52
2019-03-28T20:44:44,C,156,49
2019-03-28T20:54:15,C,156,46
2019-03-28T21:04:16,C,156,43
2019-03-28T21:14:15,C,156,41
2019-03-28T21:24:16,C,156,37
2019-03-28T21:34:46,C,156,36
2019-03-28T21:44:46,C,156,35
2019-03-28T21:54:46,C,156,30
2019-03-28T22:05:17,C,156,30
2019-03-28T22:14:17,C,156,25
2019-03-28T22:24:17,C,156,23
2019-03-28T22:29:48,C,156,21
2019-03-28T22:29:48,C,156,21
2019-03-28T22:54:47,C,156,19
2019-03-28T23:04:48,C,156,19
2019-03-28T23:14:48,C,156,18
2019-03-28T23:24:18,C,156,20
2019-03-28T23:34:18,C,156,17
2019-03-28T23:44:19,C,156,18
2019-03-28T23:55:49,C,156,14
2019-03-29T00:04:49,C,156,14
2019-03-29T00:15:50,C,156,14
2019-03-29T00:24:50,C,156,13
2019-03-29T00:35:20,C,156,14
2019-03-29T00:44:20,C,156,14
2019-03-29T01:05:21,C,156,11
2019-03-29T01:15:51,C,156,12
2019-03-29T01:25:51,C,156,12
2019-03-29T01:35:52,C,156,12
2019-03-29T01:45:52,C,156,10
2019-03-29T01:55:22,C,156,10
2019-03-29T02:05:22,C,156,8
2019-03-29T02:15:23,C,156,8
2019-03-29T02:25:23,C,156,8
2019-03-29T02:35:53,C,156,8
2019-03-29T02:45:54,C,156,9
2019-03-29T02:55:54,C,156,8
2019-03-29T03:05:24,C,156,8
2019-03-29T03:15:24,C,156,7
2019-03-29T03:25:25,C,156,8
2019-03-29T03:35:25,C,156,8
2019-03-29T03:46:55,C,156,8
2019-03-29T03:56:56,C,156,8
2019-03-29T04:06:56,C,156,8
2019-03-29T04:14:59,C,156,7
2019-03-29T04:26:32,C,156,7
2019-03-29T04:35:27,C,156,8
2019-03-29T04:45:27,C,156,7
2019-03-29T04:56:58,C,156,9
2019-03-29T05:06:48,C,156,9
2019-03-29T05:16:49,C,156,10
2019-03-29T05:26:19,C,156,10
2019-03-29T05:35:19,C,156,8
2019-03-29T05:46:20,C,156,8
2019-03-29T05:56:20,C,156,11
2019-03-29T06:06:50,C,156,8
2019-03-29T06:15:50,C,156,10
2019-03-29T06:25:51,C,156,13
2019-03-29T06:37:21,C,156,15
2019-03-29T06:46:21,C,156,25
2019-03-29T06:56:22,C,156,35
2019-03-29T07:06:22,C,156,38
2019-03-29T07:16:52,C,156,41
2019-03-29T07:26:52,C,156,34
2019-03-29T07:36:53,C,156,27
2019-03-29T07:46:53,C,156,26
2019-03-29T07:56:23,C,156,27
2019-03-29T08:06:23,C,156,35
2019-03-29T08:16:24,C,156,37
2019-03-29T08:26:24,C,156,42
2019-03-29T08:36:54,C,156,56
2019-03-29T08:46:57,C,156,58
2019-03-29T08:57:55,C,156,55
2019-03-29T09:06:25,C,156,54
2019-03-29T09:17:25,C,156,59
2019-03-29T09:26:26,C,156,60
2019-03-29T09:36:26,C,156,59
2019-03-29T09:46:56,C,156,58
2019-03-29T09:57:57,C,156,46
2019-03-29T10:06:57,C,156,46
2019-03-29T10:16:57,C,156,44
2019-03-29T10:26:27,C,156,38
2019-03-29T10:37:28,C,156,33
2019-03-29T10:47:28,C,156,30
2019-03-29T10:56:28,C,156,31
2019-03-29T11:06:58,C,156,39
2019-03-29T11:17:59,C,156,37
2019-03-29T11:26:59,C,156,29
2019-03-29T11:36:29,C,156,35
2019-03-29T11:46:30,C,156,35
2019-03-29T11:57:30,C,156,31
2019-03-29T12:07:30,C,156,27
2019-03-29T12:17:00,C,156,27
2019-03-29T12:28:01,C,156,18
2019-03-29T12:37:01,C,156,1
2019-03-29T12:47:01,C,156,1
2019-03-29T12:57:31,C,156,5
2019-03-29T13:07:32,C,156,27
2019-03-29T13:16:32,C,156,27
2019-03-29T13:27:32,C,156,42
2019-03-29T13:38:06,C,156,60
2019-03-29T13:47:03,C,156,65
2019-03-29T13:57:03,C,156,72
2019-03-29T14:07:34,C,156,75
2019-03-29T14:17:33,C,156,72
2019-03-29T14:27:34,C,156,76
2019-03-29T14:37:34,C,156,75
2019-03-29T14:48:04,C,156,78
2019-03-29T14:58:05,C,156,79
2019-03-29T15:08:05,C,156,82
2019-03-29T15:17:05,C,156,79
2019-03-29T15:27:35,C,156,79
2019-03-29T15:38:36,C,156,82
2019-03-29T15:48:36,C,156,81
2019-03-29T15:58:07,C,156,82
2019-03-29T16:09:07,C,156,83
2019-03-29T16:18:07,C,156,85
2019-03-29T16:28:07,C,156,83
2019-03-29T16:37:37,C,156,82
2019-03-29T16:48:38,C,156,85
2019-03-29T16:58:38,C,156,83
2019-03-29T17:08:38,C,156,84
2019-03-29T17:19:09,C,156,80
2019-03-29T17:29:09,C,156,78
2019-03-29T17:38:09,C,156,74
2019-03-29T17:48:09,C,156,70
2019-03-29T17:58:40,C,156,70
2019-03-29T18:08:40,C,156,69
2019-03-29T18:18:40,C,156,70
2019-03-29T18:29:10,C,156,65
2019-03-29T18:39:11,C,156,62
2019-03-29T18:48:11,C,156,58
2019-03-29T18:58:11,C,156,61
2019-03-29T19:08:41,C,156,57
2019-03-29T19:18:42,C,156,53
2019-03-29T19:28:42,C,156,47
2019-03-29T19:38:42,C,156,47
2019-03-29T19:50:13,C,156,48
2019-03-29T19:58:13,C,156,45
2019-03-29T20:09:13,C,156,45
2019-03-29T20:18:13,C,156,51
2019-03-29T20:28:44,C,156,45
2019-03-29T20:39:44,C,156,44
2019-03-29T20:48:44,C,156,44
2019-03-29T20:59:15,C,156,41
2019-03-29T21:09:15,C,156,39
2019-03-29T21:18:15,C,156,35
2019-03-29T21:29:15,C,156,32
2019-03-29T21:38:46,C,156,31
2019-03-29T21:49:46,C,156,29
2019-03-29T21:58:46,C,156,22
2019-03-29T22:08:46,C,156,21
2019-03-29T22:19:17,C,156,20
2019-03-29T22:29:17,C,156,20
2019-03-29T22:39:17,C,156,17
2019-03-29T22:49:48,C,156,18
2019-03-29T22:58:48,C,156,18
2019-03-29T23:09:48,C,156,16
2019-03-29T23:19:48,C,156,14
2019-03-29T23:30:19,C,156,10
2019-03-29T23:39:19,C,156,6
2019-03-29T23:49:19,C,156,5
2019-03-29T23:59:20,C,156,2
2019-03-30T00:09:50,C,156,2
2019-03-30T00:19:50,C,156,0
2019-03-30T00:29:50,C,156,3
2019-03-30T00:39:51,C,156,2
2019-03-30T00:49:21,C,156,3
2019-03-30T01:00:21,C,156,3
2019-03-30T01:09:21,C,156,0
2019-03-30T01:20:52,C,156,0
2019-03-30T01:30:52,C,156,0
2019-03-30T01:40:52,C,156,0
2019-03-30T01:49:53,C,156,0
2019-03-30T01:59:23,C,156,0
2019-03-30T02:09:23,C,156,0
2019-03-30T02:19:23,C,156,0
2019-03-30T02:29:24,C,156,0
2019-03-30T02:39:54,C,156,0
2019-03-30T02:50:54,C,156,0
2019-03-30T03:00:55,C,156,0
2019-03-30T03:09:55,C,156,0
2019-03-30T03:19:25,C,156,0
2019-03-30T03:29:25,C,156,0
2019-03-30T03:40:26,C,156,0
2019-03-30T03:49:56,C,156,0
2019-03-30T04:00:56,C,156,0
2019-03-30T04:10:56,C,156,0
2019-03-30T04:20:00,C,156,0
2019-03-30T04:30:27,C,156,0
2019-03-30T04:40:27,C,156,0
2019-03-30T04:50:27,C,156,0
2019-03-30T05:00:41,C,156,0
2019-03-30T05:10:41,C,156,0
2019-03-30T05:21:12,C,156,0
2019-03-30T05:31:12,C,156,0
2019-03-30T05:40:13,C,156,0
2019-03-30T05:50:12,C,156,0
2019-03-30T06:01:43,C,156,0
2019-03-30T06:10:43,C,156,0
2019-03-30T06:20:43,C,156,0
2019-03-30T06:31:44,C,156,0
2019-03-30T06:41:14,C,156,0
2019-03-30T06:51:14,C,156,0
2019-03-30T07:00:14,C,156,0
2019-03-30T07:11:15,C,156,0
2019-03-30T07:20:45,C,156,0
2019-03-30T07:31:45,C,156,0
2019-03-30T07:40:45,C,156,0
2019-03-30T07:51:16,C,156,0
2019-03-30T08:01:16,C,156,0
2019-03-30T08:10:16,C,156,0
2019-03-30T08:20:17,C,156,0
2019-03-30T08:31:47,C,156,0
2019-03-30T08:41:47,C,156,0
2019-03-30T08:50:47,C,156,0
2019-03-30T09:01:48,C,156,0
2019-03-30T09:11:18,C,156,0
2019-03-30T09:21:18,C,156,0
2019-03-30T09:31:18,C,156,0
2019-03-30T09:41:19,C,156,0
2019-03-30T09:51:49,C,156,0
2019-03-30T10:00:49,C,156,0
2019-03-30T10:11:50,C,156,0
2019-03-30T10:21:20,C,156,0
2019-03-30T10:31:20,C,156,0
2019-03-30T10:42:20,C,156,0
2019-03-30T10:51:21,C,156,0
2019-03-30T11:02:51,C,156,2
2019-03-30T11:12:51,C,156,7
2019-03-30T11:21:52,C,156,10
2019-03-30T11:32:52,C,156,10
2019-03-30T11:42:22,C,156,7
2019-03-30T11:52:22,C,156,8
2019-03-30T12:02:23,C,156,5
2019-03-30T12:11:23,C,156,1
2019-03-30T12:21:53,C,156,2
2019-03-30T12:31:53,C,156,8
2019-03-30T12:42:54,C,156,3
2019-03-30T12:52:24,C,156,13
2019-03-30T13:02:24,C,156,17
2019-03-30T13:12:25,C,156,16
2019-03-30T13:22:25,C,156,16
2019-03-30T13:32:55,C,156,23
2019-03-30T13:42:55,C,156,27
2019-03-30T13:52:56,C,156,32
2019-03-30T14:01:56,C,156,32
2019-03-30T14:12:26,C,156,22
2019-03-30T14:22:27,C,156,28
2019-03-30T14:32:27,C,156,29
2019-03-30T14:42:57,C,156,31
2019-03-30T14:52:57,C,156,37
2019-03-30T15:02:58,C,156,39
2019-03-30T15:11:58,C,156,42
2019-03-30T15:22:28,C,156,43
2019-03-30T15:32:28,C,156,44
2019-03-30T15:42:29,C,156,43
2019-03-30T15:53:29,C,156,44
2019-03-30T16:03:59,C,156,48
2019-03-30T16:13:00,C,156,47
2019-03-30T16:23:00,C,156,52
2019-03-30T16:32:00,C,156,58
2019-03-30T16:43:31,C,156,59
2019-03-30T16:52:31,C,156,58
2019-03-30T17:02:31,C,156,61
2019-03-30T17:14:01,C,156,61
2019-03-30T17:24:01,C,156,60
2019-03-30T17:33:02,C,156,59
2019-03-30T17:42:02,C,156,61
2019-03-30T17:52:32,C,156,61
2019-03-30T18:03:33,C,156,64
2019-03-30T18:13:33,C,156,65
