date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:32,C,376,307
2019-03-26T13:08:32,C,376,304
2019-03-26T13:18:33,C,376,304
2019-03-26T13:28:33,C,376,306
2019-03-26T13:38:33,C,376,306
2019-03-26T13:48:33,C,376,307
2019-03-26T13:58:34,C,376,306
2019-03-26T14:08:34,C,376,306
2019-03-26T14:18:34,C,376,308
2019-03-26T14:28:35,C,376,308
2019-03-26T14:38:35,C,376,307
2019-03-26T14:48:35,C,376,307
2019-03-26T14:58:35,C,376,308
2019-03-26T15:08:36,C,376,308
2019-03-26T15:18:36,C,376,307
2019-03-26T15:28:36,C,376,305
2019-03-26T15:38:37,C,376,306
2019-03-26T15:48:37,C,376,306
2019-03-26T15:58:37,C,376,306
2019-03-26T16:08:37,C,376,307
2019-03-26T16:18:38,C,376,307
2019-03-26T16:28:38,C,376,305
2019-03-26T16:38:38,C,376,304
2019-03-26T16:48:39,C,376,305
2019-03-26T16:58:39,C,376,304
2019-03-26T17:08:39,C,376,307
2019-03-26T17:18:39,C,376,302
2019-03-26T17:28:40,C,376,300
2019-03-26T17:38:40,C,376,301
2019-03-26T17:48:40,C,376,303
2019-03-26T18:10:41,C,376,299
2019-03-26T18:30:41,C,376,287
2019-03-26T18:40:42,C,376,285
2019-03-26T18:50:42,C,376,285
2019-03-26T19:00:42,C,376,284
2019-03-26T19:10:43,C,376,283
2019-03-26T19:20:43,C,376,279
2019-03-26T19:30:43,C,376,277
2019-03-26T19:40:43,C,376,277
2019-03-26T19:50:44,C,376,276
2019-03-26T20:00:44,C,376,275
2019-03-26T20:10:44,C,376,272
2019-03-26T20:20:45,C,376,273
2019-03-26T20:30:45,C,376,273
2019-03-26T20:40:45,C,376,272
2019-03-26T20:50:45,C,376,268
2019-03-26T21:00:46,C,376,266
2019-03-26T21:10:46,C,376,268
2019-03-26T21:20:46,C,376,267
2019-03-26T21:30:47,C,376,264
2019-03-26T21:40:47,C,376,263
2019-03-26T21:50:47,C,376,260
2019-03-26T22:00:47,C,376,259
2019-03-26T22:10:48,C,376,256
2019-03-26T22:20:48,C,376,254
2019-03-26T22:30:48,C,376,253
2019-03-26T22:40:48,C,376,251
2019-03-26T22:50:49,C,376,252
2019-03-26T23:00:49,C,376,252
2019-03-26T23:12:49,C,376,251
2019-03-26T23:22:50,C,376,250
2019-03-26T23:32:50,C,376,249
2019-03-26T23:42:50,C,376,249
2019-03-26T23:52:51,C,376,248
2019-03-27T00:02:51,C,376,248
2019-03-27T00:10:51,C,376,247
2019-03-27T00:20:51,C,376,247
2019-03-27T00:26:51,C,376,246
2019-03-27T00:40:52,C,376,246
2019-03-27T00:52:52,C,376,246
2019-03-27T01:02:52,C,376,246
2019-03-27T01:12:53,C,376,246
2019-03-27T01:22:53,C,376,246
2019-03-27T01:32:53,C,376,246
2019-03-27T01:42:54,C,376,244
2019-03-27T01:52:54,C,376,244
2019-03-27T02:02:54,C,376,244
2019-03-27T02:12:54,C,376,244
2019-03-27T02:22:55,C,376,244
2019-03-27T02:32:55,C,376,243
2019-03-27T02:42:55,C,376,244
2019-03-27T02:53:12,C,376,244
2019-03-27T03:13:12,C,376,243
2019-03-27T03:23:12,C,376,243
2019-03-27T03:33:13,C,376,243
2019-03-27T03:43:13,C,376,243
2019-03-27T03:53:13,C,376,243
2019-03-27T04:03:14,C,376,243
2019-03-27T04:13:14,C,376,243
2019-03-27T04:23:14,C,376,243
2019-03-27T04:33:14,C,376,243
2019-03-27T04:43:15,C,376,243
2019-03-27T04:53:15,C,376,243
2019-03-27T05:03:15,C,376,243
2019-03-27T05:13:16,C,376,242
