date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:00:01,C,496,0,Y,162,0,H,0,0
2019-03-26T13:10:01,C,496,0,Y,162,0,H,0,0
2019-03-26T13:20:01,C,496,0,Y,162,0,H,0,0
2019-03-26T13:30:01,C,496,0,Y,162,0,H,0,0
2019-03-26T13:40:01,C,496,0,Y,162,0,H,0,0
2019-03-26T13:50:01,C,496,0,Y,162,0,H,0,0
2019-03-26T14:00:01,C,496,0,Y,162,0,H,0,0
2019-03-26T14:10:01,C,496,0,Y,162,0,H,0,0
2019-03-26T14:20:02,C,496,0,Y,162,0,H,0,0
2019-03-26T14:30:01,C,496,0,Y,162,0,H,0,0
2019-03-26T14:40:01,C,496,0,Y,162,0,H,0,0
2019-03-26T14:50:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:00:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:12:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:20:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:30:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:40:01,C,496,0,Y,162,0,H,0,0
2019-03-26T15:50:01,C,496,0,Y,162,0,H,0,0
2019-03-26T16:00:01,C,496,0,Y,162,0,H,0,0
2019-03-26T16:10:01,C,496,0,Y,162,0,H,0,0
2019-03-26T16:20:01,C,496,0,Y,162,0,H,0,0
2019-03-26T16:30:02,C,496,0,Y,162,0,H,0,0
2019-03-26T16:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T16:52:01,C,496,0,Y,162,0,H,0,0
2019-03-26T17:02:01,C,496,0,Y,162,0,H,0,0
2019-03-26T17:10:02,C,496,0,Y,162,0,H,0,0
2019-03-26T17:20:01,C,496,0,Y,162,0,H,0,0
2019-03-26T17:32:01,C,496,0,Y,162,0,H,0,0
2019-03-26T17:42:02,C,496,0,Y,162,0,H,0,0
2019-03-26T17:50:01,C,496,0,Y,162,0,H,0,0
2019-03-26T18:12:01,C,496,0,Y,162,0,H,0,0
2019-03-26T18:32:01,C,496,0,Y,162,0,H,0,0
2019-03-26T18:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T18:52:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:02:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:12:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:22:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:32:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T19:52:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:02:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:12:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:22:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:32:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T20:54:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:02:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:14:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:22:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:32:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T21:54:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:02:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:12:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:22:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:34:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:42:01,C,496,0,Y,162,0,H,0,0
2019-03-26T22:52:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:04:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:14:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:24:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:34:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:44:01,C,496,0,Y,162,0,H,0,0
2019-03-26T23:54:02,C,496,0,Y,162,0,H,0,0
2019-03-27T00:04:01,C,496,0,Y,162,0,H,0,0
2019-03-27T00:14:01,C,496,0,Y,162,0,H,0,0
2019-03-27T00:22:01,C,496,0,Y,162,0,H,0,0
2019-03-27T00:30:01,C,496,0,Y,162,0,H,0,0
2019-03-27T00:44:01,C,496,0,Y,162,0,H,0,0
2019-03-27T00:54:01,C,496,0,Y,162,0,H,0,0
2019-03-27T01:04:13,C,496,0,Y,162,0,H,0,0
2019-03-27T01:14:12,C,496,0,Y,162,0,H,0,0
2019-03-27T01:24:20,C,496,0,Y,162,0,H,0,0
2019-03-27T01:32:42,C,496,0,Y,162,0,H,0,0
2019-03-27T01:44:51,C,496,0,Y,162,0,H,0,0
2019-03-27T01:52:38,C,496,0,Y,162,0,H,0,0
2019-03-27T02:02:37,C,496,0,Y,162,0,H,0,0
2019-03-27T02:14:49,C,496,0,Y,162,0,H,0,0
2019-03-27T02:24:01,C,496,0,Y,162,0,H,0,0
2019-03-27T02:34:01,C,496,0,Y,162,0,H,0,0
2019-03-27T02:44:01,C,496,0,Y,162,0,H,0,0
2019-03-27T02:56:01,C,496,0,Y,162,0,H,0,0
2019-03-27T03:14:01,C,496,0,Y,162,0,H,0,0
2019-03-27T03:26:01,C,496,0,Y,162,0,H,0,0
2019-03-27T03:34:01,C,496,0,Y,162,0,H,0,0
2019-03-27T03:44:01,C,496,0,Y,162,0,H,0,0
2019-03-27T03:54:01,C,496,0,Y,162,0,H,0,0
2019-03-27T04:04:01,C,496,0,Y,162,0,H,0,0
2019-03-27T04:14:01,C,496,0,Y,162,0,H,0,0
2019-03-27T04:24:01,C,496,0,Y,162,0,H,0,0
2019-03-27T04:36:02,C,496,0,Y,162,0,H,0,0
