date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:01:04,C,228,54
2019-03-26T13:10:05,C,228,63
2019-03-26T13:20:06,C,228,73
2019-03-26T13:30:36,C,228,84
2019-03-26T13:40:36,C,228,99
2019-03-26T13:50:36,C,228,114
2019-03-26T14:01:07,C,228,116
2019-03-26T14:10:07,C,228,115
2019-03-26T14:20:07,C,228,125
2019-03-26T14:30:38,C,228,133
2019-03-26T14:40:37,C,228,144
2019-03-26T14:51:38,C,228,150
2019-03-26T15:00:38,C,228,150
2019-03-26T15:11:08,C,228,142
2019-03-26T15:20:08,C,228,141
2019-03-26T15:31:38,C,228,132
2019-03-26T15:40:39,C,228,128
2019-03-26T15:51:39,C,228,129
2019-03-26T15:59:39,C,228,132
2019-03-26T16:10:10,C,228,141
2019-03-26T16:21:09,C,228,149
2019-03-26T16:31:10,C,228,140
2019-03-26T16:41:40,C,228,139
2019-03-26T16:51:40,C,228,148
2019-03-26T17:01:41,C,228,148
2019-03-26T17:11:41,C,228,156
2019-03-26T17:21:12,C,228,159
2019-03-26T17:31:12,C,228,157
2019-03-26T17:41:12,C,228,161
2019-03-26T17:51:42,C,228,167
2019-03-26T18:11:42,C,228,162
2019-03-26T18:32:14,C,228,163
2019-03-26T18:42:14,C,228,161
2019-03-26T18:52:44,C,228,154
2019-03-26T19:02:48,C,228,149
2019-03-26T19:12:45,C,228,152
2019-03-26T19:22:15,C,228,161
2019-03-26T19:33:16,C,228,158
2019-03-26T19:42:15,C,228,165
2019-03-26T19:53:46,C,228,162
2019-03-26T20:01:47,C,228,157
2019-03-26T20:12:46,C,228,162
2019-03-26T20:22:17,C,228,160
2019-03-26T20:33:17,C,228,160
2019-03-26T20:43:47,C,228,159
2019-03-26T20:53:47,C,228,160
2019-03-26T21:02:48,C,228,160
2019-03-26T21:13:19,C,228,162
2019-03-26T21:22:19,C,228,163
2019-03-26T21:33:18,C,228,164
2019-03-26T21:43:49,C,228,162
2019-03-26T21:53:48,C,228,163
2019-03-26T22:02:48,C,228,164
2019-03-26T22:12:48,C,228,166
2019-03-26T22:23:19,C,228,165
2019-03-26T22:33:19,C,228,168
2019-03-26T22:43:19,C,228,167
2019-03-26T22:52:53,C,228,165
2019-03-26T23:02:49,C,228,166
2019-03-26T23:14:20,C,228,165
2019-03-26T23:24:20,C,228,162
2019-03-26T23:34:51,C,228,162
2019-03-26T23:44:20,C,228,163
2019-03-26T23:53:51,C,228,161
2019-03-27T00:04:51,C,228,162
2019-03-27T00:13:21,C,228,163
2019-03-27T00:22:22,C,228,164
2019-03-27T00:29:22,C,228,164
2019-03-27T00:43:22,C,228,164
2019-03-27T00:54:52,C,228,164
2019-03-27T01:04:52,C,228,163
2019-03-27T01:14:52,C,228,166
2019-03-27T01:24:23,C,228,165
2019-03-27T01:34:23,C,228,164
2019-03-27T01:44:23,C,228,165
2019-03-27T01:54:23,C,228,165
