date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:37,C,607,484
2019-03-26T13:10:37,C,607,481
2019-03-26T13:20:38,C,607,482
2019-03-26T13:30:08,C,607,492
2019-03-26T13:40:09,C,607,494
2019-03-26T13:50:11,C,607,489
2019-03-26T14:00:39,C,607,483
2019-03-26T14:10:39,C,607,483
2019-03-26T14:20:40,C,607,479
2019-03-26T14:30:13,C,607,489
2019-03-26T14:40:10,C,607,494
2019-03-26T14:51:13,C,607,493
2019-03-26T15:00:40,C,607,493
2019-03-26T15:11:41,C,607,492
2019-03-26T15:20:42,C,607,487
2019-03-26T15:30:42,C,607,485
2019-03-26T15:40:12,C,607,487
2019-03-26T15:51:13,C,607,483
2019-03-26T16:00:43,C,607,483
2019-03-26T16:10:46,C,607,482
2019-03-26T16:21:43,C,607,487
2019-03-26T16:30:44,C,607,480
2019-03-26T16:41:14,C,607,481
2019-03-26T16:51:14,C,607,479
2019-03-26T17:01:15,C,607,480
2019-03-26T17:11:45,C,607,480
2019-03-26T17:21:45,C,607,479
2019-03-26T17:30:45,C,607,469
2019-03-26T17:41:16,C,607,468
2019-03-26T17:51:16,C,607,461
2019-03-26T18:12:47,C,607,453
2019-03-26T18:32:47,C,607,440
2019-03-26T18:41:48,C,607,432
2019-03-26T18:52:19,C,607,429
2019-03-26T19:02:18,C,607,421
2019-03-26T19:13:20,C,607,413
2019-03-26T19:22:49,C,607,404
2019-03-26T19:32:49,C,607,413
2019-03-26T19:41:50,C,607,408
2019-03-26T19:53:20,C,607,402
2019-03-26T20:02:21,C,607,407
2019-03-26T20:12:50,C,607,397
2019-03-26T20:21:54,C,607,397
2019-03-26T20:32:51,C,607,390
2019-03-26T20:43:22,C,607,382
2019-03-26T20:53:23,C,607,379
2019-03-26T21:03:22,C,607,377
2019-03-26T21:12:53,C,607,373
2019-03-26T21:21:53,C,607,367
2019-03-26T21:32:53,C,607,368
2019-03-26T21:43:24,C,607,364
2019-03-26T21:53:23,C,607,359
2019-03-26T22:02:23,C,607,355
2019-03-26T22:12:53,C,607,354
2019-03-26T22:23:54,C,607,345
2019-03-26T22:32:54,C,607,343
2019-03-26T22:43:24,C,607,339
2019-03-26T22:53:24,C,607,337
2019-03-26T23:03:54,C,607,334
2019-03-26T23:13:55,C,607,327
2019-03-26T23:23:56,C,607,323
2019-03-26T23:34:25,C,607,322
2019-03-26T23:44:29,C,607,320
2019-03-26T23:54:26,C,607,320
2019-03-27T00:04:56,C,607,317
2019-03-27T00:13:56,C,607,309
2019-03-27T00:22:57,C,607,310
2019-03-27T00:29:57,C,607,309
2019-03-27T00:43:28,C,607,308
2019-03-27T00:54:28,C,607,309
2019-03-27T01:04:28,C,607,309
2019-03-27T01:14:28,C,607,309
2019-03-27T01:24:59,C,607,309
2019-03-27T01:35:02,C,607,309
2019-03-27T01:44:59,C,607,309
2019-03-27T01:54:30,C,607,309
2019-03-27T02:04:30,C,607,307
2019-03-27T02:14:30,C,607,307
2019-03-27T02:24:31,C,607,306
2019-03-27T02:35:01,C,607,306
2019-03-27T02:45:01,C,607,306
2019-03-27T02:56:02,C,607,305
2019-03-27T03:15:32,C,607,306
2019-03-27T03:25:33,C,607,306
2019-03-27T03:34:33,C,607,306
2019-03-27T03:45:33,C,607,306
2019-03-27T03:56:04,C,607,303
2019-03-27T04:06:04,C,607,292
2019-03-27T04:14:04,C,607,292
2019-03-27T04:24:35,C,607,292
2019-03-27T04:35:35,C,607,292
2019-03-27T04:44:35,C,607,295
2019-03-27T04:55:36,C,607,296
2019-03-27T05:05:45,C,607,296
2019-03-27T05:16:15,C,607,297
2019-03-27T05:25:15,C,607,300
2019-03-27T05:35:16,C,607,301
2019-03-27T05:45:16,C,607,302
2019-03-27T05:55:47,C,607,307
2019-03-27T06:05:47,C,607,306
2019-03-27T06:15:47,C,607,305
2019-03-27T06:25:47,C,607,311
2019-03-27T06:35:18,C,607,324
2019-03-27T06:45:18,C,607,326
2019-03-27T06:55:18,C,607,349
2019-03-27T07:05:48,C,607,369
2019-03-27T07:16:48,C,607,377
2019-03-27T07:25:48,C,607,380
2019-03-27T07:35:49,C,607,379
2019-03-27T07:45:19,C,607,390
2019-03-27T07:55:19,C,607,395
2019-03-27T08:06:20,C,607,400
2019-03-27T08:15:50,C,607,404
2019-03-27T08:25:50,C,607,406
2019-03-27T08:36:50,C,607,412
2019-03-27T08:44:50,C,607,412
2019-03-27T08:55:21,C,607,409
2019-03-27T09:06:21,C,607,410
2019-03-27T09:16:22,C,607,409
2019-03-27T09:25:52,C,607,415
2019-03-27T09:36:52,C,607,411
2019-03-27T09:45:52,C,607,418
2019-03-27T09:55:52,C,607,415
2019-03-27T10:06:23,C,607,415
2019-03-27T10:16:23,C,607,419
2019-03-27T10:26:24,C,607,418
2019-03-27T10:35:53,C,607,428
2019-03-27T10:46:55,C,607,435
2019-03-27T10:56:54,C,607,436
2019-03-27T11:05:54,C,607,437
2019-03-27T11:16:24,C,607,439
2019-03-27T11:26:25,C,607,442
2019-03-27T11:36:25,C,607,442
2019-03-27T11:46:26,C,607,442
2019-03-27T11:57:56,C,607,462
2019-03-27T12:06:56,C,607,484
2019-03-27T12:16:56,C,607,482
2019-03-27T12:26:59,C,607,477
2019-03-27T12:36:27,C,607,469
2019-03-27T12:47:27,C,607,478
2019-03-27T12:56:30,C,607,474
2019-03-27T13:07:58,C,607,476
2019-03-27T13:16:58,C,607,477
2019-03-27T13:27:59,C,607,476
2019-03-27T13:35:58,C,607,483
2019-03-27T13:47:29,C,607,488
2019-03-27T13:56:29,C,607,483
2019-03-27T14:07:32,C,607,487
2019-03-27T14:16:30,C,607,477
2019-03-27T14:28:00,C,607,480
2019-03-27T14:38:00,C,607,478
2019-03-27T14:47:00,C,607,481
2019-03-27T14:56:01,C,607,481
2019-03-27T15:07:31,C,607,482
2019-03-27T15:17:31,C,607,474
2019-03-27T15:26:32,C,607,472
2019-03-27T15:38:02,C,607,469
2019-03-27T15:48:02,C,607,472
2019-03-27T15:57:02,C,607,473
2019-03-27T16:07:03,C,607,479
2019-03-27T16:17:34,C,607,476
2019-03-27T16:28:34,C,607,474
2019-03-27T16:38:35,C,607,475
2019-03-27T16:48:35,C,607,473
2019-03-27T16:59:05,C,607,468
2019-03-27T17:08:06,C,607,474
2019-03-27T17:18:06,C,607,471
2019-03-27T17:27:36,C,607,467
2019-03-27T17:38:37,C,607,461
2019-03-27T17:47:40,C,607,461
2019-03-27T17:57:37,C,607,458
