date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:48,C,183,109
2019-03-26T13:10:48,C,183,102
2019-03-26T13:20:49,C,183,105
2019-03-26T13:29:48,C,183,105
2019-03-26T13:40:19,C,183,112
2019-03-26T13:50:19,C,183,114
2019-03-26T14:00:19,C,183,114
2019-03-26T14:10:20,C,183,119
2019-03-26T14:20:50,C,183,129
2019-03-26T14:30:50,C,183,128
2019-03-26T14:40:50,C,183,132
2019-03-26T14:51:21,C,183,135
2019-03-26T15:00:21,C,183,136
2019-03-26T15:11:21,C,183,133
2019-03-26T15:20:22,C,183,133
2019-03-26T15:31:52,C,183,133
2019-03-26T15:40:52,C,183,136
2019-03-26T15:51:53,C,183,142
2019-03-26T15:59:53,C,183,141
2019-03-26T16:10:23,C,183,139
2019-03-26T16:21:24,C,183,140
2019-03-26T16:31:23,C,183,136
2019-03-26T16:41:54,C,183,139
2019-03-26T16:51:54,C,183,136
2019-03-26T17:01:54,C,183,135
2019-03-26T17:10:54,C,183,137
2019-03-26T17:21:25,C,183,140
2019-03-26T17:31:26,C,183,141
2019-03-26T17:41:26,C,183,143
2019-03-26T17:51:28,C,183,138
2019-03-26T18:12:56,C,183,143
2019-03-26T18:31:58,C,183,148
2019-03-26T18:42:28,C,183,143
2019-03-26T18:52:28,C,183,141
2019-03-26T19:02:28,C,183,133
2019-03-26T19:13:59,C,183,129
2019-03-26T19:22:59,C,183,131
2019-03-26T19:33:00,C,183,130
2019-03-26T19:42:00,C,183,130
2019-03-26T19:53:30,C,183,135
2019-03-26T20:02:30,C,183,134
2019-03-26T20:13:30,C,183,139
2019-03-26T20:22:31,C,183,144
2019-03-26T20:34:01,C,183,145
2019-03-26T20:43:01,C,183,147
2019-03-26T20:53:02,C,183,147
2019-03-26T21:03:31,C,183,147
2019-03-26T21:13:32,C,183,148
2019-03-26T21:22:32,C,183,152
2019-03-26T21:33:32,C,183,151
2019-03-26T21:44:03,C,183,151
2019-03-26T21:54:03,C,183,154
2019-03-26T22:02:03,C,183,155
2019-03-26T22:13:03,C,183,156
2019-03-26T22:23:34,C,183,157
2019-03-26T22:33:34,C,183,156
2019-03-26T22:43:34,C,183,157
2019-03-26T22:54:05,C,183,159
2019-03-26T23:03:05,C,183,158
2019-03-26T23:14:05,C,183,159
2019-03-26T23:24:05,C,183,160
2019-03-26T23:34:36,C,183,160
2019-03-26T23:44:37,C,183,157
2019-03-26T23:54:36,C,183,158
2019-03-27T00:04:36,C,183,158
2019-03-27T00:14:07,C,183,158
2019-03-27T00:23:08,C,183,158
2019-03-27T00:30:09,C,183,158
2019-03-27T00:43:07,C,183,158
2019-03-27T00:54:38,C,183,158
2019-03-27T01:04:38,C,183,157
2019-03-27T01:14:38,C,183,155
2019-03-27T01:25:09,C,183,156
