date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:40,C,474,205
2019-03-26T13:10:37,C,474,208
2019-03-26T13:21:08,C,474,221
2019-03-26T13:30:08,C,474,222
2019-03-26T13:40:08,C,474,227
2019-03-26T13:50:08,C,474,237
2019-03-26T14:00:38,C,474,242
2019-03-26T14:10:39,C,474,232
2019-03-26T14:20:39,C,474,228
2019-03-26T14:31:10,C,474,234
2019-03-26T14:41:10,C,474,246
2019-03-26T14:51:10,C,474,233
2019-03-26T15:00:10,C,474,228
2019-03-26T15:11:40,C,474,218
2019-03-26T15:20:41,C,474,222
2019-03-26T15:31:44,C,474,218
2019-03-26T15:40:41,C,474,220
2019-03-26T15:51:11,C,474,213
2019-03-26T16:00:12,C,474,211
2019-03-26T16:10:12,C,474,210
2019-03-26T16:21:42,C,474,202
2019-03-26T16:31:43,C,474,204
2019-03-26T16:41:43,C,474,196
2019-03-26T16:51:43,C,474,186
2019-03-26T17:01:16,C,474,186
2019-03-26T17:11:14,C,474,188
2019-03-26T17:21:14,C,474,196
2019-03-26T17:31:14,C,474,203
2019-03-26T17:41:45,C,474,181
2019-03-26T17:51:45,C,474,179
2019-03-26T18:12:16,C,474,174
2019-03-26T18:32:16,C,474,151
2019-03-26T18:42:16,C,474,140
2019-03-26T18:52:47,C,474,128
2019-03-26T19:02:47,C,474,121
2019-03-26T19:13:47,C,474,129
2019-03-26T19:21:50,C,474,121
2019-03-26T19:33:18,C,474,110
2019-03-26T19:42:19,C,474,109
2019-03-26T19:53:19,C,474,110
2019-03-26T20:02:49,C,474,107
2019-03-26T20:13:49,C,474,95
2019-03-26T20:22:50,C,474,93
2019-03-26T20:32:49,C,474,87
2019-03-26T20:43:20,C,474,89
2019-03-26T20:53:20,C,474,84
2019-03-26T21:03:20,C,474,83
2019-03-26T21:13:21,C,474,81
2019-03-26T21:22:51,C,474,79
2019-03-26T21:33:51,C,474,75
2019-03-26T21:42:51,C,474,66
2019-03-26T21:53:22,C,474,55
2019-03-26T22:02:22,C,474,53
2019-03-26T22:13:22,C,474,54
2019-03-26T22:23:23,C,474,51
2019-03-26T22:33:53,C,474,42
2019-03-26T22:43:53,C,474,32
2019-03-26T22:53:53,C,474,28
2019-03-26T23:02:54,C,474,24
2019-03-26T23:14:25,C,474,19
2019-03-26T23:24:24,C,474,17
2019-03-26T23:34:24,C,474,15
2019-03-26T23:44:55,C,474,13
2019-03-26T23:54:55,C,474,9
2019-03-27T00:04:55,C,474,6
2019-03-27T00:13:56,C,474,5
2019-03-27T00:22:26,C,474,6
2019-03-27T00:29:27,C,474,6
2019-03-27T00:43:26,C,474,4
2019-03-27T00:54:27,C,474,2
2019-03-27T01:04:57,C,474,0
2019-03-27T01:14:57,C,474,1
2019-03-27T01:24:58,C,474,0
2019-03-27T01:33:58,C,474,0
2019-03-27T01:44:28,C,474,0
2019-03-27T01:54:30,C,474,0
2019-03-27T02:04:29,C,474,0
2019-03-27T02:14:59,C,474,0
2019-03-27T02:24:59,C,474,0
2019-03-27T02:35:00,C,474,0
2019-03-27T02:44:00,C,474,0
2019-03-27T02:55:30,C,474,0
2019-03-27T03:15:31,C,474,0
2019-03-27T03:25:31,C,474,0
2019-03-27T03:35:01,C,474,0
2019-03-27T03:46:02,C,474,0
2019-03-27T03:55:02,C,474,0
2019-03-27T04:05:02,C,474,125
2019-03-27T04:14:32,C,474,124
2019-03-27T04:24:33,C,474,122
2019-03-27T04:35:33,C,474,124
2019-03-27T04:45:03,C,474,126
2019-03-27T04:56:03,C,474,126
2019-03-27T05:06:01,C,474,126
2019-03-27T05:15:01,C,474,126
2019-03-27T05:25:32,C,474,129
2019-03-27T05:35:32,C,474,127
2019-03-27T05:45:32,C,474,126
2019-03-27T05:56:03,C,474,127
2019-03-27T06:06:03,C,474,132
2019-03-27T06:16:03,C,474,137
2019-03-27T06:25:03,C,474,138
2019-03-27T06:35:34,C,474,141
2019-03-27T06:45:34,C,474,150
2019-03-27T06:55:34,C,474,156
2019-03-27T07:05:35,C,474,169
2019-03-27T07:17:05,C,474,182
2019-03-27T07:26:05,C,474,177
2019-03-27T07:35:06,C,474,186
2019-03-27T07:45:36,C,474,190
2019-03-27T07:55:36,C,474,201
2019-03-27T08:06:36,C,474,204
2019-03-27T08:15:37,C,474,221
2019-03-27T08:26:07,C,474,234
2019-03-27T08:37:07,C,474,246
2019-03-27T08:45:07,C,474,251
2019-03-27T08:55:08,C,474,264
2019-03-27T09:06:39,C,474,272
2019-03-27T09:16:38,C,474,278
2019-03-27T09:25:38,C,474,276
2019-03-27T09:36:39,C,474,276
2019-03-27T09:46:09,C,474,280
2019-03-27T09:56:09,C,474,274
2019-03-27T10:06:09,C,474,277
2019-03-27T10:16:40,C,474,274
2019-03-27T10:26:40,C,474,269
2019-03-27T10:35:40,C,474,274
2019-03-27T10:46:41,C,474,273
2019-03-27T10:57:11,C,474,265
2019-03-27T11:06:11,C,474,270
