date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:01:06,C,6,1,Y,0,0,H,0,0
2019-03-26T13:10:58,C,6,0,Y,0,0,H,0,0
2019-03-26T13:20:30,C,853,507,Y,0,0,H,0,0
2019-03-26T13:30:28,C,853,503,Y,0,0,H,0,0
2019-03-26T13:39:00,C,6,2,Y,0,0,H,0,0
2019-03-26T13:48:58,C,6,0,Y,0,0,H,0,0
2019-03-26T14:01:00,C,6,0,Y,0,0,H,0,0
2019-03-26T14:10:33,C,853,495,Y,0,0,H,0,0
2019-03-26T14:20:30,C,853,491,Y,0,0,H,0,0
2019-03-26T14:30:29,C,853,492,Y,0,0,H,0,0
2019-03-26T14:40:30,C,853,487,Y,0,0,H,0,0
2019-03-26T14:50:59,C,6,5,Y,0,0,H,0,0
2019-03-26T15:00:59,C,6,4,Y,0,0,H,0,0
2019-03-26T15:10:57,C,6,3,Y,0,0,H,0,0
2019-03-26T15:20:29,Y,0,0,H,0,0
2019-03-26T15:20:59,C,6,3
2019-03-26T15:30:58,C,6,2,Y,0,0,H,0,0
2019-03-26T15:40:29,C,853,488,Y,0,0,H,0,0
2019-03-26T15:50:59,C,6,4,Y,0,0,H,0,0
2019-03-26T16:01:00,C,6,3,Y,0,0,H,0,0
2019-03-26T16:10:59,C,6,2,Y,0,0,H,0,0
2019-03-26T16:20:59,C,6,5,Y,0,0,H,0,0
2019-03-26T16:30:59,C,6,3,Y,0,0,H,0,0
2019-03-26T16:41:01,C,6,3,Y,0,0,H,0,0
2019-03-26T16:51:02,C,6,5,Y,0,0,H,0,0
2019-03-26T17:00:58,C,6,4,Y,0,0,H,0,0
2019-03-26T17:11:03,C,6,3,Y,0,0,H,0,0
2019-03-26T17:20:58,C,6,3,Y,0,0,H,0,0
2019-03-26T17:30:59,C,6,5,Y,0,0,H,0,0
2019-03-26T17:40:59,C,6,5,Y,0,0,H,0,0
2019-03-26T17:50:59,C,6,4,Y,0,0,H,0,0
2019-03-26T18:13:00,C,6,3,Y,0,0,H,0,0
