date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T12:59:17,C,78,9,Y,18,0,H,0,0
2019-03-26T13:09:29,C,78,14,Y,18,0,H,0,0
2019-03-26T13:19:50,C,78,20,Y,18,0,H,0,0
2019-03-26T13:29:38,C,78,23,Y,18,0,H,0,0
2019-03-26T13:39:24,C,78,26,Y,18,0,H,0,0
2019-03-26T13:49:26,C,78,38,Y,18,0,H,0,0
2019-03-26T14:01:16,C,78,43,Y,18,0,H,0,0
2019-03-26T14:09:47,C,78,45,Y,18,0,H,0,0
2019-03-26T14:19:39,C,78,45,Y,18,0,H,0,0
2019-03-26T14:29:43,C,78,46,Y,18,0,H,0,0
2019-03-26T14:39:40,C,78,44,Y,18,0,H,0,0
2019-03-26T14:49:44,C,78,50,Y,18,0,H,0,0
2019-03-26T14:59:29,C,78,48,Y,18,0,H,0,0
2019-03-26T15:11:32,C,78,45,Y,18,0,H,0,0
2019-03-26T15:19:30,C,78,45,Y,18,0,H,0,0
2019-03-26T15:31:34,C,78,54,Y,18,0,H,0,0
2019-03-26T15:39:32,C,78,55,Y,18,0,H,0,0
2019-03-26T15:51:20,C,78,55,Y,18,0,H,0,0
2019-03-26T15:59:25,C,78,55,Y,18,0,H,0,0
2019-03-26T16:09:32,C,78,56,Y,18,0,H,0,0
2019-03-26T16:21:29,C,78,55,Y,18,0,H,0,0
2019-03-26T16:31:29,C,78,56,Y,18,0,H,0,0
2019-03-26T16:41:32,C,78,56,Y,18,0,H,0,0
2019-03-26T16:51:34,C,78,59,Y,18,0,H,0,0
2019-03-26T17:01:32,C,78,60,Y,18,0,H,0,0
2019-03-26T17:11:34,C,78,60,Y,18,0,H,0,0
2019-03-26T17:21:28,C,78,60,Y,18,0,H,0,0
2019-03-26T17:31:42,C,78,59,Y,18,0,H,0,0
2019-03-26T17:41:02,C,78,60,Y,18,0,H,0,0
2019-03-26T17:49:01,Y,18,0,H,0,0
2019-03-26T17:51:46,C,78,56
2019-03-26T18:10:59,C,78,58,Y,18,0,H,0,0
2019-03-26T18:31:38,C,78,48,Y,18,0,H,0,0
2019-03-26T18:40:59,C,78,45,Y,18,0,H,0,0
2019-03-26T18:51:35,C,78,46,Y,18,0,H,0,0
2019-03-26T19:01:33,C,78,41,Y,18,0,H,0,0
2019-03-26T19:13:01,C,78,40,Y,18,0,H,0,0
2019-03-26T19:21:15,C,78,40,Y,18,0,H,0,0
2019-03-26T19:33:41,C,78,39,Y,18,0,H,0,0
2019-03-26T19:41:31,C,78,34,Y,18,0,H,0,0
2019-03-26T19:51:31,C,78,35,Y,18,0,H,0,0
2019-03-26T20:01:34,C,78,34,Y,18,0,H,0,0
2019-03-26T20:13:00,C,78,37,Y,18,0,H,0,0
2019-03-26T20:21:28,C,78,38,Y,18,0,H,0,0
2019-03-26T20:33:41,C,78,33,Y,18,0,H,0,0
2019-03-26T20:43:01,C,78,37,Y,18,0,H,0,0
2019-03-26T20:53:32,C,78,40,Y,18,0,H,0,0
2019-03-26T21:03:15,C,78,41,Y,18,0,H,0,0
2019-03-26T21:13:32,C,78,42,Y,18,0,H,0,0
2019-03-26T21:21:31,C,78,43,Y,18,0,H,0,0
2019-03-26T21:33:30,C,78,38,Y,18,0,H,0,0
2019-03-26T21:43:30,C,78,48,Y,18,0,H,0,0
2019-03-26T21:53:02,C,78,54,Y,18,0,H,0,0
2019-03-26T22:01:35,C,78,56,Y,18,0,H,0,0
2019-03-26T22:13:52,C,78,60,Y,18,0,H,0,0
2019-03-26T22:21:31,C,78,61,Y,18,0,H,0,0
2019-03-26T22:33:44,C,78,61,Y,18,0,H,0,0
2019-03-26T22:43:32,C,78,58,Y,18,0,H,0,0
2019-03-26T22:51:35,C,78,60,Y,18,0,H,0,0
2019-03-26T23:03:35,C,78,61,Y,18,0,H,0,0
2019-03-26T23:13:32,C,78,60,Y,18,0,H,0,0
2019-03-26T23:23:32,C,78,59,Y,18,0,H,0,0
2019-03-26T23:33:34,C,78,60,Y,18,0,H,0,0
2019-03-26T23:43:35,C,78,59,Y,18,0,H,0,0
2019-03-26T23:53:31,C,78,59,Y,18,0,H,0,0
2019-03-27T00:03:30,C,78,58,Y,18,0,H,0,0
2019-03-27T00:13:34,C,78,58,Y,18,0,H,0,0
2019-03-27T00:21:27,C,78,60,Y,18,0,H,0,0
2019-03-27T00:29:28,C,78,60,Y,18,0,H,0,0
2019-03-27T00:43:29,C,78,60,Y,18,0,H,0,0
2019-03-27T00:53:24,C,78,60,Y,18,0,H,0,0
2019-03-27T01:00:31,C,78,59,Y,18,0,H,0,0
2019-03-27T01:14:59,C,78,59,Y,18,0,H,0,0
2019-03-27T01:22:08,C,78,59,Y,18,0,H,0,0
2019-03-27T01:33:00,C,78,59,Y,18,0,H,0,0
2019-03-27T01:45:02,C,78,59,Y,18,0,H,0,0
2019-03-27T01:53:57,C,78,58,Y,18,0,H,0,0
2019-03-27T02:02:56,C,78,58,Y,18,0,H,0,0
2019-03-27T02:12:11,C,78,58,Y,18,0,H,0,0
2019-03-27T02:22:59,C,78,58,Y,18,0,H,0,0
2019-03-27T02:33:18,C,78,58,Y,18,0,H,0,0
2019-03-27T02:43:00,C,78,59,Y,18,0,H,0,0
2019-03-27T02:55:48,C,78,58,Y,18,0,H,0,0
2019-03-27T03:12:56,C,78,58,Y,18,0,H,0,0
2019-03-27T03:24:55,C,78,58,Y,18,0,H,0,0
2019-03-27T03:34:18,C,78,58,Y,18,0,H,0,0
2019-03-27T03:43:00,C,78,58,Y,18,0,H,0,0
2019-03-27T03:54:58,C,78,56,Y,18,0,H,0,0
2019-03-27T04:05:20,C,78,57,Y,18,0,H,0,0
2019-03-27T04:12:19,C,78,57,Y,18,0,H,0,0
2019-03-27T04:23:27,C,78,57,Y,18,0,H,0,0
2019-03-27T04:34:56,C,78,57,Y,18,0,H,0,0
2019-03-27T04:42:45,C,78,57,Y,18,0,H,0,0
2019-03-27T04:54:58,C,78,57,Y,18,0,H,0,0
2019-03-27T05:05:00,C,78,56,Y,18,0,H,0,0
2019-03-27T05:14:57,C,78,56,Y,18,0,H,0,0
2019-03-27T05:22:14,C,78,53,Y,18,0,H,0,0
2019-03-27T05:35:54,C,78,53,Y,18,0,H,0,0
2019-03-27T05:44:17,C,78,52,Y,18,0,H,0,0
2019-03-27T05:54:17,C,78,50,Y,18,0,H,0,0
