date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:14,C,156,37
2019-03-26T13:09:24,C,156,39
2019-03-26T13:20:40,C,156,39
2019-03-26T13:29:24,C,156,40
2019-03-26T13:40:07,C,156,42
2019-03-26T13:49:24,C,156,45
2019-03-26T13:57:24,C,156,44
2019-03-26T14:10:12,C,156,46
2019-03-26T14:21:16,C,156,46
2019-03-26T14:29:42,C,156,49
2019-03-26T14:38:41,C,156,51
2019-03-26T14:49:25,C,156,49
2019-03-26T14:58:39,C,156,46
2019-03-26T15:10:03,C,156,47
2019-03-26T15:19:17,C,156,47
2019-03-26T15:30:03,C,156,47
2019-03-26T15:40:51,C,156,49
2019-03-26T15:50:26,C,156,47
2019-03-26T16:00:17,C,156,49
2019-03-26T16:09:26,C,156,48
2019-03-26T16:20:55,C,156,45
2019-03-26T16:30:45,C,156,49
2019-03-26T16:41:27,C,156,45
2019-03-26T16:49:53,C,156,44
2019-03-26T17:00:24,C,156,45
2019-03-26T17:11:04,C,156,47
2019-03-26T17:21:27,C,156,49
2019-03-26T17:31:34,C,156,54
2019-03-26T17:40:00,C,156,51
2019-03-26T17:49:42,C,156,45
2019-03-26T18:12:36,C,156,46
2019-03-26T18:32:34,C,156,45
2019-03-26T18:42:21,C,156,44
2019-03-26T18:51:42,C,156,47
2019-03-26T19:02:48,C,156,47
2019-03-26T19:11:39,C,156,43
2019-03-26T19:21:43,C,156,41
2019-03-26T19:33:19,C,156,42
2019-03-26T19:42:41,C,156,47
2019-03-26T19:53:33,C,156,44
2019-03-26T20:01:57,C,156,47
2019-03-26T20:12:34,C,156,47
2019-03-26T20:21:30,C,156,51
2019-03-26T20:33:41,C,156,51
2019-03-26T20:43:13,C,156,46
2019-03-26T20:52:20,C,156,46
2019-03-26T21:02:57,C,156,50
2019-03-26T21:13:30,C,156,54
2019-03-26T21:22:51,C,156,58
2019-03-26T21:33:31,C,156,58
2019-03-26T21:42:39,C,156,52
2019-03-26T21:52:29,C,156,60
2019-03-26T22:01:58,C,156,62
2019-03-26T22:10:32,C,156,62
2019-03-26T22:23:25,C,156,61
2019-03-26T22:33:32,C,156,63
2019-03-26T22:42:15,C,156,60
2019-03-26T22:51:36,C,156,58
2019-03-26T23:01:40,C,156,53
2019-03-26T23:13:32,C,156,55
2019-03-26T23:23:52,C,156,53
2019-03-26T23:33:59,C,156,50
2019-03-26T23:44:30,C,156,50
2019-03-26T23:53:33,C,156,47
2019-03-27T00:01:33,C,156,47
2019-03-27T00:14:17,C,156,46
2019-03-27T00:21:33,C,156,47
2019-03-27T00:28:50,C,156,46
2019-03-27T00:42:43,C,156,47
2019-03-27T00:53:33,C,156,48
2019-03-27T01:02:51,C,156,48
2019-03-27T01:13:56,C,156,48
2019-03-27T01:23:10,C,156,45
2019-03-27T01:33:34,C,156,46
2019-03-27T01:42:29,C,156,46
2019-03-27T01:53:34,C,156,47
2019-03-27T02:03:58,C,156,47
2019-03-27T02:13:35,C,156,47
2019-03-27T02:21:35,C,156,47
2019-03-27T02:33:35,C,156,47
2019-03-27T02:43:40,C,156,45
2019-03-27T02:53:35,C,156,46
2019-03-27T03:13:35,C,156,47
2019-03-27T03:21:36,C,156,47
2019-03-27T03:33:36,C,156,46
2019-03-27T03:45:36,C,156,47
2019-03-27T03:53:36,C,156,47
2019-03-27T04:05:36,C,156,44
2019-03-27T04:09:36,C,156,45
2019-03-27T04:21:36,C,156,45
2019-03-27T04:33:36,C,156,45
2019-03-27T04:41:37,C,156,45
2019-03-27T04:53:37,C,156,45
2019-03-27T05:05:37,C,156,44
2019-03-27T05:14:48,C,156,46
2019-03-27T05:25:37,C,156,48
2019-03-27T05:33:37,C,156,48
2019-03-27T05:45:37,C,156,47
2019-03-27T05:53:38,C,156,47
2019-03-27T06:04:05,C,156,48
2019-03-27T06:13:38,C,156,49
2019-03-27T06:21:38,C,156,48
2019-03-27T06:35:22,C,156,50
2019-03-27T06:45:38,C,156,54
2019-03-27T06:55:05,C,156,52
2019-03-27T07:03:06,C,156,60
2019-03-27T07:16:43,C,156,60
2019-03-27T07:25:39,C,156,64
2019-03-27T07:35:12,C,156,55
2019-03-27T07:44:08,C,156,53
2019-03-27T07:54:35,C,156,47
2019-03-27T08:06:02,C,156,50
2019-03-27T08:15:26,C,156,48
2019-03-27T08:24:55,C,156,47
2019-03-27T08:36:47,C,156,51
2019-03-27T08:44:49,C,156,51
2019-03-27T08:55:18,C,156,51
2019-03-27T09:06:18,C,156,53
2019-03-27T09:15:50,C,156,36
2019-03-27T09:25:40,C,156,33
2019-03-27T09:35:36,C,156,31
2019-03-27T09:44:55,C,156,28
2019-03-27T09:55:28,C,156,27
2019-03-27T10:06:57,C,156,27
2019-03-27T10:15:54,C,156,29
2019-03-27T10:25:41,C,156,27
2019-03-27T10:34:57,C,156,24
2019-03-27T10:45:42,C,156,23
2019-03-27T10:55:18,C,156,21
2019-03-27T11:05:42,C,156,17
2019-03-27T11:15:48,C,156,18
2019-03-27T11:25:42,C,156,18
2019-03-27T11:36:12,C,156,19
2019-03-27T11:45:42,C,156,19
2019-03-27T11:56:58,C,156,19
2019-03-27T12:04:51,C,156,19
2019-03-27T12:18:05,C,156,16
2019-03-27T12:27:13,C,156,13
2019-03-27T12:35:12,C,156,12
2019-03-27T12:46:20,C,156,9
2019-03-27T12:54:08,C,156,8
2019-03-27T13:07:58,C,156,8
2019-03-27T13:15:39,C,156,9
2019-03-27T13:25:54,C,156,9
2019-03-27T13:35:32,C,156,10
2019-03-27T13:46:24,C,156,10
2019-03-27T13:55:47,C,156,10
2019-03-27T14:07:30,C,156,11
2019-03-27T14:15:28,C,156,13
2019-03-27T14:26:14,C,156,14
2019-03-27T14:37:05,C,156,14
2019-03-27T14:47:14,C,156,17
2019-03-27T14:56:22,C,156,18
2019-03-27T15:06:41,C,156,19
2019-03-27T15:16:19,C,156,17
2019-03-27T15:26:24,C,156,16
2019-03-27T15:37:46,C,156,12
2019-03-27T15:47:05,C,156,7
2019-03-27T15:56:38,C,156,10
2019-03-27T16:06:37,C,156,13
2019-03-27T16:17:07,C,156,12
2019-03-27T16:27:25,C,156,11
2019-03-27T16:38:35,C,156,9
2019-03-27T16:47:57,C,156,12
2019-03-27T16:58:29,C,156,14
2019-03-27T17:07:38,C,156,16
2019-03-27T17:17:52,C,156,16
2019-03-27T17:26:16,C,156,17
2019-03-27T17:37:47,C,156,14
2019-03-27T17:47:17,C,156,15
2019-03-27T17:55:33,C,156,18
2019-03-27T18:08:32,C,156,19
2019-03-27T18:17:48,C,156,17
2019-03-27T18:26:54,C,156,20
2019-03-27T18:37:33,C,156,19
2019-03-27T18:48:01,C,156,17
2019-03-27T18:58:51,C,156,16
2019-03-27T19:08:32,C,156,14
2019-03-27T19:15:54,C,156,11
2019-03-27T19:28:00,C,156,11
2019-03-27T19:37:49,C,156,12
2019-03-27T19:48:20,C,156,12
2019-03-27T19:58:44,C,156,12
2019-03-27T20:06:43,C,156,12
2019-03-27T20:18:30,C,156,8
2019-03-27T20:28:58,C,156,11
2019-03-27T20:37:50,C,156,10
2019-03-27T20:48:07,C,156,11
2019-03-27T20:56:48,C,156,17
2019-03-27T21:07:57,C,156,24
2019-03-27T21:17:50,C,156,21
2019-03-27T21:28:19,C,156,24
2019-03-27T21:38:55,C,156,23
2019-03-27T21:48:11,C,156,22
2019-03-27T21:58:16,C,156,21
2019-03-27T22:08:00,C,156,25
2019-03-27T22:18:25,C,156,24
2019-03-27T22:27:22,C,156,24
2019-03-27T22:39:41,C,156,23
2019-03-27T22:46:05,C,156,21
2019-03-27T22:57:52,C,156,24
2019-03-27T23:08:28,C,156,23
2019-03-27T23:17:52,C,156,22
2019-03-27T23:28:53,C,156,27
2019-03-27T23:38:11,C,156,25
2019-03-27T23:49:18,C,156,23
2019-03-27T23:59:42,C,156,21
2019-03-28T00:09:39,C,156,21
2019-03-28T00:17:53,C,156,21
2019-03-28T00:28:24,C,156,21
2019-03-28T00:38:04,C,156,21
2019-03-28T00:48:19,C,156,22
2019-03-28T00:57:53,C,156,21
2019-03-28T01:09:53,C,156,21
2019-03-28T01:17:57,C,156,21
2019-03-28T01:29:54,C,156,20
2019-03-28T01:37:54,C,156,21
