date,lot_type_0,lots_total_0,lots_available_0,lot_type_1,lots_total_1,lots_available_1,lot_type_2,lots_total_2,lots_available_2
2019-03-26T13:00:57,C,363,252,Y,0,0,H,0,0
2019-03-26T13:10:57,C,363,251,Y,0,0,H,0,0
2019-03-26T13:20:26,C,354,41,Y,0,0,H,0,0
2019-03-26T13:30:26,C,354,40,Y,0,0,H,0,0
2019-03-26T13:40:26,C,354,38,Y,0,0,H,0,0
2019-03-26T13:50:26,C,354,41,Y,0,0,H,0,0
2019-03-26T14:00:59,C,363,260,Y,0,0,H,0,0
2019-03-26T14:10:27,C,354,39,Y,0,0,H,0,0
2019-03-26T14:20:26,C,354,36,Y,0,0,H,0,0
2019-03-26T14:30:26,C,354,40,Y,0,0,H,0,0
2019-03-26T14:40:26,C,354,40,Y,0,0,H,0,0
2019-03-26T14:50:56,C,363,255,Y,0,0,H,0,0
2019-03-26T15:00:57,C,363,256,Y,0,0,H,0,0
2019-03-26T15:10:56,C,363,255,Y,0,0,H,0,0
2019-03-26T15:20:58,C,363,257,Y,0,0,H,0,0
2019-03-26T15:30:56,C,363,258,Y,0,0,H,0,0
2019-03-26T15:40:27,C,354,39,Y,0,0,H,0,0
2019-03-26T15:50:57,C,363,252,Y,0,0,H,0,0
2019-03-26T16:00:57,C,363,255,Y,0,0,H,0,0
2019-03-26T16:10:57,C,363,252,Y,0,0,H,0,0
2019-03-26T16:20:57,C,363,250,Y,0,0,H,0,0
2019-03-26T16:30:58,C,363,250,Y,0,0,H,0,0
2019-03-26T16:40:57,C,363,246,Y,0,0,H,0,0
2019-03-26T16:50:57,C,363,247,Y,0,0,H,0,0
2019-03-26T17:00:57,C,363,244,Y,0,0,H,0,0
2019-03-26T17:11:01,C,363,238,Y,0,0,H,0,0
2019-03-26T17:20:56,C,363,233,Y,0,0,H,0,0
2019-03-26T17:30:56,C,363,231,Y,0,0,H,0,0
2019-03-26T17:40:58,C,363,229,Y,0,0,H,0,0
2019-03-26T17:50:58,C,363,220,Y,0,0,H,0,0
2019-03-26T18:12:59,C,363,219,Y,0,0,H,0,0
2019-03-26T18:32:25,C,354,37,Y,0,0,H,0,0
2019-03-26T18:42:58,C,363,194,Y,0,0,H,0,0
2019-03-26T18:52:26,C,354,33,Y,0,0,H,0,0
2019-03-26T19:02:26,C,354,37,Y,0,0,H,0,0
2019-03-26T19:12:59,C,363,168,Y,0,0,H,0,0
2019-03-26T19:22:56,C,363,165,Y,0,0,H,0,0
2019-03-26T19:33:00,C,363,156,Y,0,0,H,0,0
2019-03-26T19:42:27,C,354,34,Y,0,0,H,0,0
2019-03-26T19:53:00,C,363,136,Y,0,0,H,0,0
2019-03-26T20:02:56,C,363,121,Y,0,0,H,0,0
2019-03-26T20:12:58,C,363,122,Y,0,0,H,0,0
2019-03-26T20:22:56,C,363,118,Y,0,0,H,0,0
2019-03-26T20:32:58,C,363,105,Y,0,0,H,0,0
2019-03-26T20:42:59,C,363,99,Y,0,0,H,0,0
2019-03-26T20:52:57,C,363,100,Y,0,0,H,0,0
2019-03-26T21:02:59,C,363,97,Y,0,0,H,0,0
2019-03-26T21:13:01,C,363,87,Y,0,0,H,0,0
2019-03-26T21:22:26,C,354,38,Y,0,0,H,0,0
2019-03-26T21:32:57,C,363,68,Y,0,0,H,0,0
2019-03-26T21:42:57,C,363,61,Y,0,0,H,0,0
2019-03-26T21:52:57,C,363,58,Y,0,0,H,0,0
2019-03-26T22:02:57,C,363,53,Y,0,0,H,0,0
2019-03-26T22:13:00,C,363,49,Y,0,0,H,0,0
2019-03-26T22:22:59,C,363,49,Y,0,0,H,0,0
2019-03-26T22:33:01,C,363,43,Y,0,0,H,0,0
2019-03-26T22:42:58,C,363,37,Y,0,0,H,0,0
2019-03-26T22:52:58,C,363,32,Y,0,0,H,0,0
2019-03-26T23:02:59,C,363,32,Y,0,0,H,0,0
2019-03-26T23:15:00,C,363,26,Y,0,0,H,0,0
2019-03-26T23:24:27,C,354,41,Y,0,0,H,0,0
2019-03-26T23:34:26,C,354,41,Y,0,0,H,0,0
2019-03-26T23:44:58,C,363,25,Y,0,0,H,0,0
2019-03-26T23:54:27,C,354,40,Y,0,0,H,0,0
2019-03-27T00:04:28,C,354,40,Y,0,0,H,0,0
2019-03-27T00:13:09,C,363,16,Y,0,0,H,0,0
2019-03-27T00:22:27,C,354,40,Y,0,0,H,0,0
2019-03-27T00:29:01,C,363,14,Y,0,0,H,0,0
2019-03-27T00:43:00,C,363,13,Y,0,0,H,0,0
2019-03-27T00:54:27,C,354,39,Y,0,0,H,0,0
2019-03-27T01:03:21,C,354,38,Y,0,0,H,0,0
2019-03-27T01:14:21,C,354,38,Y,0,0,H,0,0
2019-03-27T01:22:21,C,354,39,Y,0,0,H,0,0
2019-03-27T01:32:19,C,363,10,Y,0,0,H,0,0
2019-03-27T01:42:07,C,354,40,Y,0,0,H,0,0
2019-03-27T01:54:31,C,354,39,Y,0,0,H,0,0
2019-03-27T02:03:51,C,363,6,Y,0,0,H,0,0
2019-03-27T02:14:59,C,363,5,Y,0,0,H,0,0
2019-03-27T02:24:26,C,354,39,Y,0,0,H,0,0
2019-03-27T02:34:28,C,354,38,Y,0,0,H,0,0
2019-03-27T02:43:00,C,363,5,Y,0,0,H,0,0
2019-03-27T02:54:59,C,363,4,Y,0,0,H,0,0
2019-03-27T03:15:01,C,363,3,Y,0,0,H,0,0
2019-03-27T03:24:59,C,363,3,Y,0,0,H,0,0
2019-03-27T03:34:27,C,354,39,Y,0,0,H,0,0
2019-03-27T03:45:00,C,363,2,Y,0,0,H,0,0
2019-03-27T03:54:59,C,363,2,Y,0,0,H,0,0
2019-03-27T04:05:04,C,363,2,Y,0,0,H,0,0
2019-03-27T04:14:27,C,354,39,Y,0,0,H,0,0
2019-03-27T04:24:27,C,354,39,Y,0,0,H,0,0
2019-03-27T04:34:59,C,363,0,Y,0,0,H,0,0
2019-03-27T04:44:27,C,354,39,Y,0,0,H,0,0
2019-03-27T04:54:58,C,363,1,Y,0,0,H,0,0
2019-03-27T05:04:58,C,363,1,Y,0,0,H,0,0
2019-03-27T05:14:59,C,363,1,Y,0,0,H,0,0
2019-03-27T05:25:01,C,363,2,Y,0,0,H,0,0
2019-03-27T05:34:59,C,363,2,Y,0,0,H,0,0
2019-03-27T05:44:59,C,363,3,Y,0,0,H,0,0
2019-03-27T05:55:00,C,363,4,Y,0,0,H,0,0
2019-03-27T06:05:00,C,363,4,Y,0,0,H,0,0
2019-03-27T06:15:01,C,363,8,Y,0,0,H,0,0
2019-03-27T06:24:59,C,363,13,Y,0,0,H,0,0
2019-03-27T06:35:04,C,363,17,Y,0,0,H,0,0
2019-03-27T06:45:01,C,363,27,Y,0,0,H,0,0
2019-03-27T06:54:57,C,363,41,Y,0,0,H,0,0
2019-03-27T07:05:20,C,363,56,Y,0,0,H,0,0
2019-03-27T07:16:26,C,354,38,Y,0,0,H,0,0
2019-03-27T07:24:57,C,363,87,Y,0,0,H,0,0
2019-03-27T07:34:56,C,363,98,Y,0,0,H,0,0
2019-03-27T07:44:56,C,363,111,Y,0,0,H,0,0
2019-03-27T07:54:57,C,363,120,Y,0,0,H,0,0
2019-03-27T08:06:26,C,354,33,Y,0,0,H,0,0
2019-03-27T08:14:56,C,363,165,Y,0,0,H,0,0
2019-03-27T08:24:56,C,363,179,Y,0,0,H,0,0
2019-03-27T08:36:56,C,363,196,Y,0,0,H,0,0
2019-03-27T08:44:56,C,363,206,Y,0,0,H,0,0
2019-03-27T08:54:58,C,363,220,Y,0,0,H,0,0
2019-03-27T09:06:57,C,363,220,Y,0,0,H,0,0
2019-03-27T09:16:25,C,354,34,Y,0,0,H,0,0
2019-03-27T09:24:55,C,363,233,Y,0,0,H,0,0
2019-03-27T09:36:57,C,363,235,Y,0,0,H,0,0
2019-03-27T09:44:58,C,363,235,Y,0,0,H,0,0
2019-03-27T09:56:26,C,354,37,Y,0,0,H,0,0
2019-03-27T10:04:56,C,363,231,Y,0,0,H,0,0
2019-03-27T10:16:58,C,363,234,Y,0,0,H,0,0
2019-03-27T10:26:58,C,363,235,Y,0,0,H,0,0
2019-03-27T10:34:58,C,363,236,Y,0,0,H,0,0
2019-03-27T10:46:59,C,363,238,Y,0,0,H,0,0
2019-03-27T10:56:56,C,363,238,Y,0,0,H,0,0
2019-03-27T11:06:57,C,363,236,Y,0,0,H,0,0
2019-03-27T11:16:26,C,354,40,Y,0,0,H,0,0
2019-03-27T11:26:25,C,354,37,Y,0,0,H,0,0
2019-03-27T11:34:58,C,363,240,Y,0,0,H,0,0
2019-03-27T11:46:57,C,363,247,Y,0,0,H,0,0
2019-03-27T11:56:56,C,363,248,Y,0,0,H,0,0
2019-03-27T12:06:26,C,354,39,Y,0,0,H,0,0
2019-03-27T12:16:57,C,363,251,Y,0,0,H,0,0
2019-03-27T12:26:57,C,363,247,Y,0,0,H,0,0
2019-03-27T12:36:56,C,363,242,Y,0,0,H,0,0
2019-03-27T12:46:55,C,363,242,Y,0,0,H,0,0
2019-03-27T12:56:56,C,363,244,Y,0,0,H,0,0
2019-03-27T13:06:56,C,363,236,Y,0,0,H,0,0
2019-03-27T13:16:26,C,354,39,Y,0,0,H,0,0
2019-03-27T13:26:56,C,363,243,Y,0,0,H,0,0
2019-03-27T13:36:57,C,363,241,Y,0,0,H,0,0
2019-03-27T13:46:55,C,363,243,Y,0,0,H,0,0
2019-03-27T13:56:57,C,363,241,Y,0,0,H,0,0
2019-03-27T14:06:56,C,363,243,Y,0,0,H,0,0
