2019-03-26T13:01:01,C,587,432
2019-03-26T13:10:02,C,587,437
2019-03-26T13:19:32,C,587,439
2019-03-26T13:30:33,C,587,446
2019-03-26T13:40:32,C,587,445
2019-03-26T13:50:32,C,587,454
2019-03-26T14:01:02,C,587,467
2019-03-26T14:10:03,C,587,466
2019-03-26T14:20:03,C,587,464
2019-03-26T14:30:37,C,587,467
2019-03-26T14:40:34,C,587,470
2019-03-26T14:51:35,C,587,476
2019-03-26T15:01:04,C,587,475
2019-03-26T15:11:05,C,587,474
2019-03-26T15:20:04,C,587,474
2019-03-26T15:31:35,C,587,468
2019-03-26T15:40:36,C,587,469
2019-03-26T15:51:35,C,587,468
2019-03-26T16:00:05,C,587,464
2019-03-26T16:10:06,C,587,461
2019-03-26T16:21:07,C,587,453
2019-03-26T16:31:39,C,587,456
2019-03-26T16:41:36,C,587,455
2019-03-26T16:51:37,C,587,454
2019-03-26T17:01:38,C,587,458
2019-03-26T17:12:08,C,587,456
2019-03-26T17:21:08,C,587,454
2019-03-26T17:31:09,C,587,458
2019-03-26T17:41:09,C,587,453
2019-03-26T17:51:39,C,587,451
2019-03-26T18:11:39,C,587,435
2019-03-26T18:32:11,C,587,410
2019-03-26T18:42:10,C,587,394
2019-03-26T18:52:40,C,587,386
2019-03-26T19:02:43,C,587,381
2019-03-26T19:12:42,C,587,376
2019-03-26T19:22:11,C,587,372
2019-03-26T19:32:43,C,587,367
2019-03-26T19:42:12,C,587,366
2019-03-26T19:53:42,C,587,354
2019-03-26T20:00:14,C,587,352
2019-03-26T20:13:13,C,587,349
2019-03-26T20:22:14,C,587,347
2019-03-26T20:33:13,C,587,343
2019-03-26T20:43:13,C,587,334
2019-03-26T20:53:44,C,587,335
2019-03-26T21:02:44,C,587,323
2019-03-26T21:13:15,C,587,327
2019-03-26T21:22:15,C,587,322
2019-03-26T21:33:16,C,587,320
2019-03-26T21:43:45,C,587,312
2019-03-26T21:53:44,C,587,310
2019-03-26T22:02:45,C,587,307
2019-03-26T22:13:14,C,587,305
2019-03-26T22:23:15,C,587,301
2019-03-26T22:33:16,C,587,298
2019-03-26T22:43:46,C,587,295
2019-03-26T22:52:46,C,587,291
2019-03-26T23:03:16,C,587,285
2019-03-26T23:14:17,C,587,282
2019-03-26T23:24:16,C,587,282
2019-03-26T23:34:48,C,587,281
2019-03-26T23:44:17,C,587,282
2019-03-26T23:53:48,C,587,279
2019-03-27T00:05:17,C,587,276
2019-03-27T00:13:18,C,587,274
2019-03-27T00:22:18,C,587,273
2019-03-27T00:29:18,C,587,273
2019-03-27T00:43:48,C,587,273
2019-03-27T00:54:49,C,587,271
2019-03-27T01:04:49,C,587,272
2019-03-27T01:14:49,C,587,272
2019-03-27T01:24:20,C,587,272
2019-03-27T01:34:20,C,587,272
2019-03-27T01:44:20,C,587,272
2019-03-27T01:54:50,C,587,272
2019-03-27T02:04:51,C,587,270
2019-03-27T02:14:51,C,587,267
2019-03-27T02:24:51,C,587,265
2019-03-27T02:34:22,C,587,265
2019-03-27T02:44:22,C,587,266
2019-03-27T02:55:22,C,587,264
2019-03-27T03:15:52,C,587,266
2019-03-27T03:25:53,C,587,266
2019-03-27T03:34:53,C,587,266
2019-03-27T03:46:23,C,587,266
2019-03-27T03:55:23,C,587,266
2019-03-27T04:05:23,C,587,269
2019-03-27T04:14:24,C,587,268
2019-03-27T04:24:54,C,587,270
2019-03-27T04:35:54,C,587,271
2019-03-27T04:44:54,C,587,271
2019-03-27T04:55:54,C,587,272
2019-03-27T05:05:15,C,587,272
2019-03-27T05:15:15,C,587,274
2019-03-27T05:25:45,C,587,274
2019-03-27T05:35:45,C,587,275
2019-03-27T05:45:45,C,587,275
2019-03-27T05:55:46,C,587,276
2019-03-27T06:06:16,C,587,281
2019-03-27T06:15:16,C,587,286
2019-03-27T06:25:16,C,587,290
2019-03-27T06:35:17,C,587,300
2019-03-27T06:45:47,C,587,306
2019-03-27T06:55:47,C,587,314
2019-03-27T07:05:47,C,587,332
2019-03-27T07:16:17,C,587,350
2019-03-27T07:25:17,C,587,353
2019-03-27T07:35:17,C,587,355
2019-03-27T07:45:18,C,587,372
2019-03-27T07:55:48,C,587,377
2019-03-27T08:06:48,C,587,400
2019-03-27T08:15:48,C,587,407
2019-03-27T08:26:18,C,587,417
2019-03-27T08:36:18,C,587,431
2019-03-27T08:45:19,C,587,435
2019-03-27T08:55:19,C,587,443
2019-03-27T09:06:49,C,587,457
2019-03-27T09:16:49,C,587,468
2019-03-27T09:25:50,C,587,472
2019-03-27T09:36:20,C,587,471
2019-03-27T09:45:20,C,587,476
2019-03-27T09:56:21,C,587,474
2019-03-27T10:06:21,C,587,477
2019-03-27T10:16:51,C,587,478
2019-03-27T10:26:51,C,587,476
2019-03-27T10:35:52,C,587,475
2019-03-27T10:46:21,C,587,476
2019-03-27T10:56:21,C,587,474
2019-03-27T11:06:22,C,587,472
2019-03-27T11:16:22,C,587,466
2019-03-27T11:26:53,C,587,471
2019-03-27T11:36:52,C,587,464
2019-03-27T11:46:53,C,587,464
2019-03-27T11:57:53,C,587,463
2019-03-27T12:06:23,C,587,459
2019-03-27T12:17:24,C,587,452
2019-03-27T12:27:24,C,587,447
2019-03-27T12:36:24,C,587,440
2019-03-27T12:47:54,C,587,432
2019-03-27T12:56:54,C,587,434
2019-03-27T13:07:54,C,587,442
2019-03-27T13:16:25,C,587,450
2019-03-27T13:27:25,C,587,450
2019-03-27T13:36:25,C,587,454
2019-03-27T13:47:25,C,587,455
2019-03-27T13:56:56,C,587,463
2019-03-27T14:07:56,C,587,474
2019-03-27T14:16:56,C,587,479
2019-03-27T14:26:56,C,587,482
2019-03-27T14:37:27,C,587,483
2019-03-27T14:47:27,C,587,482
2019-03-27T14:56:27,C,587,482
2019-03-27T15:07:57,C,587,482
2019-03-27T15:17:57,C,587,483
2019-03-27T15:26:58,C,587,484
2019-03-27T15:36:58,C,587,480
2019-03-27T15:47:28,C,587,481
2019-03-27T15:57:28,C,587,485
2019-03-27T16:07:29,C,587,480
2019-03-27T16:17:30,C,587,474
2019-03-27T16:29:00,C,587,472
2019-03-27T16:39:00,C,587,475
2019-03-27T16:48:00,C,587,480
2019-03-27T16:58:31,C,587,478
2019-03-27T17:08:31,C,587,473
2019-03-27T17:18:31,C,587,468
2019-03-27T17:27:31,C,587,464
2019-03-27T17:39:02,C,587,461
2019-03-27T17:48:02,C,587,458
2019-03-27T17:57:02,C,587,455
2019-03-27T18:08:02,C,587,448
2019-03-27T18:17:32,C,587,442
2019-03-27T18:27:33,C,587,436
2019-03-27T18:37:33,C,587,425
2019-03-27T18:49:03,C,587,420
2019-03-27T18:59:03,C,587,411
2019-03-27T19:08:04,C,587,404
2019-03-27T19:18:04,C,587,400
2019-03-27T19:28:34,C,587,390
2019-03-27T19:38:34,C,587,384
2019-03-27T19:48:35,C,587,378
2019-03-27T19:58:34,C,587,367
2019-03-27T20:09:04,C,587,355
2019-03-27T20:20:05,C,587,346
2019-03-27T20:29:05,C,587,339
2019-03-27T20:38:35,C,587,337
2019-03-27T20:48:35,C,587,336
2019-03-27T20:58:35,C,587,335
2019-03-27T21:08:35,C,587,332
2019-03-27T21:19:05,C,587,332
2019-03-27T21:29:05,C,587,324
2019-03-27T21:38:05,C,587,319
2019-03-27T21:48:05,C,587,321
2019-03-27T21:59:35,C,587,314
2019-03-27T22:08:35,C,587,312
2019-03-27T22:18:35,C,587,307
2019-03-27T22:30:05,C,587,301
2019-03-27T22:40:05,C,587,298
2019-03-27T22:48:05,C,587,296
2019-03-27T22:59:05,C,587,289
2019-03-27T23:09:35,C,587,288
2019-03-27T23:19:35,C,587,283
2019-03-27T23:28:35,C,587,282
2019-03-27T23:40:05,C,587,280
2019-03-27T23:50:05,C,587,278
2019-03-28T00:00:05,C,587,279
2019-03-28T00:09:05,C,587,279
2019-03-28T00:19:35,C,587,278
2019-03-28T00:29:35,C,587,278
2019-03-28T00:39:35,C,587,276
2019-03-28T00:50:05,C,587,276
2019-03-28T01:00:05,C,587,274
2019-03-28T01:11:06,C,587,274
2019-03-28T01:20:05,C,587,274
2019-03-28T01:30:35,C,587,273
2019-03-28T01:39:35,C,587,272
2019-03-28T01:49:35,C,587,271
2019-03-28T02:00:35,C,587,272
2019-03-28T02:09:35,C,587,273
2019-03-28T02:21:05,C,587,273
2019-03-28T02:30:05,C,587,271
2019-03-28T02:40:36,C,587,273
2019-03-28T02:50:35,C,587,273
2019-03-28T02:59:36,C,587,271
2019-03-28T03:10:35,C,587,272
2019-03-28T03:20:08,C,587,272
2019-03-28T03:31:05,C,587,272
2019-03-28T03:40:05,C,587,271
2019-03-28T03:50:06,C,587,270
2019-03-28T04:00:35,C,587,269
2019-03-28T04:10:35,C,587,270
2019-03-28T04:21:36,C,587,271
2019-03-28T04:31:06,C,587,270
2019-03-28T04:42:05,C,587,270
2019-03-28T04:48:08,C,587,270
2019-03-28T05:01:06,C,587,269
2019-03-28T05:11:01,C,587,270
2019-03-28T05:21:32,C,587,269
2019-03-28T05:31:32,C,587,271
2019-03-28T05:40:32,C,587,271
2019-03-28T05:51:32,C,587,270
2019-03-28T06:00:32,C,587,272
2019-03-28T06:12:02,C,587,275
2019-03-28T06:21:02,C,587,282
2019-03-28T06:30:02,C,587,288
2019-03-28T06:40:33,C,587,296
2019-03-28T06:51:33,C,587,306
2019-03-28T07:00:33,C,587,310
2019-03-28T07:11:33,C,587,336
2019-03-28T07:22:04,C,587,352
2019-03-28T07:31:04,C,587,352
2019-03-28T07:41:04,C,587,356
2019-03-28T07:51:04,C,587,367
2019-03-28T08:01:35,C,587,375
2019-03-28T08:11:35,C,587,391
2019-03-28T08:21:35,C,587,404
2019-03-28T08:31:36,C,587,412
2019-03-28T08:42:05,C,587,419
2019-03-28T08:51:06,C,587,434
2019-03-28T09:01:07,C,587,446
2019-03-28T09:12:36,C,587,455
2019-03-28T09:21:36,C,587,459
2019-03-28T09:31:37,C,587,464
2019-03-28T09:42:37,C,587,465
2019-03-28T09:53:07,C,587,467
2019-03-28T10:01:08,C,587,466
2019-03-28T10:11:07,C,587,467
2019-03-28T10:22:38,C,587,467
2019-03-28T10:32:38,C,587,467
2019-03-28T10:42:38,C,587,471
2019-03-28T10:51:39,C,587,475
2019-03-28T11:03:12,C,587,475
2019-03-28T11:11:09,C,587,475
2019-03-28T11:22:09,C,587,473
2019-03-28T11:32:09,C,587,473
2019-03-28T11:42:40,C,587,471
2019-03-28T11:52:40,C,587,465
2019-03-28T12:01:41,C,587,465
2019-03-28T12:12:14,C,587,464
2019-03-28T12:22:14,C,587,464
2019-03-28T12:32:41,C,587,458
2019-03-28T12:42:41,C,587,456
2019-03-28T12:52:41,C,587,456
2019-03-28T13:03:11,C,587,450
2019-03-28T13:12:11,C,587,454
2019-03-28T13:22:14,C,587,456
2019-03-28T13:32:11,C,587,460
2019-03-28T13:42:41,C,587,466
2019-03-28T13:52:41,C,587,456
2019-03-28T14:02:41,C,587,458
2019-03-28T14:14:12,C,587,465
