2019-03-26T12:11:52,C,310,293
2019-03-26T12:21:42,C,310,290
2019-03-26T12:31:31,C,310,290
2019-03-26T13:18:38,C,310,279
2019-03-26T13:28:36,C,310,281
2019-03-26T13:38:51,C,310,283
2019-03-26T13:48:49,C,310,281
2019-03-26T13:57:48,C,310,276
2019-03-26T14:08:36,C,310,273
2019-03-26T14:17:59,C,310,275
2019-03-26T14:28:21,C,310,276
2019-03-26T14:38:39,C,310,271
2019-03-26T14:48:58,C,310,273
2019-03-26T14:58:49,C,310,271
2019-03-26T15:08:59,C,310,272
2019-03-26T15:18:40,C,310,271
2019-03-26T15:28:21,C,310,268
2019-03-26T15:38:45,C,310,263
2019-03-26T15:47:43,C,310,263
2019-03-26T15:57:57,C,310,261
2019-03-26T16:07:06,C,310,264
2019-03-26T16:17:33,C,310,266
2019-03-26T16:26:54,C,310,264
2019-03-26T16:37:33,C,310,265
2019-03-26T16:46:56,C,310,264
2019-03-26T16:56:38,C,310,260
2019-03-26T17:05:51,C,310,255
2019-03-26T17:15:51,C,310,255
2019-03-26T17:24:45,C,310,255
2019-03-26T17:33:56,C,310,253
2019-03-26T17:50:47,C,310,248
2019-03-26T18:11:54,C,310,242
2019-03-26T18:21:59,C,310,241
2019-03-26T18:29:51,C,310,239
2019-03-26T18:39:51,C,310,237
2019-03-26T18:49:59,C,310,238
2019-03-26T18:57:50,C,310,236
2019-03-26T19:07:53,C,310,232
2019-03-26T19:15:58,C,310,229
2019-03-26T19:25:57,C,310,227
2019-03-26T19:33:48,C,310,226
2019-03-26T19:43:53,C,310,227
2019-03-26T19:51:55,C,310,224
2019-03-26T20:02:55,C,310,217
2019-03-26T20:11:56,C,310,213
2019-03-26T20:20:57,C,310,211
2019-03-26T20:30:51,C,310,204
2019-03-26T20:39:51,C,310,198
2019-03-26T20:48:57,C,310,193
2019-03-26T20:57:32,C,310,188
2019-03-26T21:07:59,C,310,187
2019-03-26T21:16:34,C,310,187
2019-03-26T21:24:37,C,310,185
2019-03-26T21:35:57,C,310,185
2019-03-26T21:44:57,C,310,181
2019-03-26T21:54:37,C,310,176
2019-03-26T22:04:44,C,310,175
2019-03-26T22:14:45,C,310,168
2019-03-26T22:23:51,C,310,169
2019-03-26T22:34:42,C,310,168
2019-03-26T22:44:26,C,310,168
2019-03-26T22:54:28,C,310,166
2019-03-26T23:04:58,C,310,160
2019-03-26T23:15:52,C,310,160
2019-03-27T00:03:52,C,310,148
2019-03-27T00:11:53,C,310,147
2019-03-27T00:21:28,C,310,146
2019-03-27T00:27:53,C,310,146
2019-03-27T00:41:47,C,310,143
2019-03-27T00:53:53,C,310,142
2019-03-27T01:03:03,C,310,141
2019-03-27T01:12:18,C,310,142
2019-03-27T01:24:12,C,310,143
2019-03-27T01:32:54,C,310,142
2019-03-27T01:43:54,C,310,141
2019-03-27T01:52:50,C,310,140
2019-03-27T02:02:32,C,310,139
2019-03-27T02:11:54,C,310,138
2019-03-27T02:22:48,C,310,137
2019-03-27T02:31:55,C,310,135
2019-03-27T02:43:55,C,310,136
2019-03-27T02:53:36,C,310,137
2019-03-27T03:11:55,C,310,136
2019-03-27T03:24:59,C,310,136
2019-03-27T03:32:52,C,310,136
2019-03-27T03:43:56,C,310,136
2019-03-27T03:54:20,C,310,137
2019-03-27T04:04:12,C,310,136
2019-03-27T04:13:18,C,310,137
2019-03-27T04:23:09,C,310,137
2019-03-27T04:34:38,C,310,138
2019-03-27T04:40:32,C,310,140
2019-03-27T04:54:23,C,310,141
2019-03-27T05:04:39,C,310,143
2019-03-27T05:13:34,C,310,144
2019-03-27T05:24:32,C,310,144
2019-03-27T05:34:46,C,310,147
2019-03-27T05:44:21,C,310,151
2019-03-27T05:54:29,C,310,150
2019-03-27T06:03:52,C,310,154
2019-03-27T06:14:52,C,310,155
2019-03-27T06:24:52,C,310,161
2019-03-27T06:32:52,C,310,163
2019-03-27T06:40:57,C,310,167
2019-03-27T06:49:58,C,310,168
2019-03-27T06:59:00,C,310,176
2019-03-27T07:08:55,C,310,182
2019-03-27T07:16:56,C,310,194
2019-03-27T07:26:56,C,310,198
2019-03-27T07:34:58,C,310,201
2019-03-27T07:44:57,C,310,208
2019-03-27T07:53:59,C,310,216
2019-03-27T08:02:55,C,310,217
2019-03-27T08:23:41,C,310,235
2019-03-27T08:34:56,C,310,241
2019-03-27T08:43:59,C,310,245
2019-03-27T08:52:53,C,310,247
2019-03-27T09:03:21,C,310,251
2019-03-27T09:12:43,C,310,258
2019-03-27T09:21:54,C,310,264
2019-03-27T09:32:59,C,310,272
