date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:08,C,96,1
2019-03-26T13:10:19,C,96,3
2019-03-26T13:20:03,C,96,1
2019-03-26T13:30:45,C,96,5
2019-03-26T13:39:19,C,96,8
2019-03-26T13:49:45,C,96,14
2019-03-26T14:00:25,C,96,15
2019-03-26T14:10:35,C,96,10
2019-03-26T14:20:31,C,96,12
2019-03-26T14:30:04,C,96,18
2019-03-26T14:40:02,C,96,15
2019-03-26T14:49:46,C,96,12
2019-03-26T15:00:13,C,96,11
2019-03-26T15:10:11,C,96,4
2019-03-26T15:19:59,C,96,2
2019-03-26T15:30:11,C,96,5
2019-03-26T15:40:30,C,96,9
2019-03-26T15:51:29,C,96,4
2019-03-26T16:00:47,C,96,3
2019-03-26T16:09:50,C,96,8
2019-03-26T16:21:24,C,96,13
2019-03-26T16:30:51,C,96,15
2019-03-26T16:41:15,C,96,18
2019-03-26T16:51:58,C,96,17
2019-03-26T17:01:07,C,96,20
2019-03-26T17:11:08,C,96,27
2019-03-26T17:21:15,C,96,30
2019-03-26T17:31:30,C,96,27
2019-03-26T17:41:01,C,96,29
2019-03-26T17:51:30,C,96,31
2019-03-26T18:12:20,C,96,31
2019-03-26T18:32:10,C,96,33
2019-03-26T18:42:04,C,96,35
2019-03-26T18:52:20,C,96,35
2019-03-26T19:01:50,C,96,36
2019-03-26T19:11:39,C,96,37
2019-03-26T19:22:09,C,96,38
2019-03-26T19:32:46,C,96,38
2019-03-26T19:41:50,C,96,39
2019-03-26T19:51:57,C,96,40
2019-03-26T20:02:06,C,96,43
2019-03-26T20:11:58,C,96,45
2019-03-26T20:21:58,C,96,43
2019-03-26T20:32:19,C,96,46
2019-03-26T20:43:39,C,96,50
2019-03-26T20:52:36,C,96,50
2019-03-26T21:02:08,C,96,53
2019-03-26T21:13:24,C,96,55
2019-03-26T21:22:11,C,96,55
2019-03-26T21:33:52,C,96,55
2019-03-26T21:42:37,C,96,57
2019-03-26T21:52:05,C,96,59
2019-03-26T22:01:53,C,96,60
2019-03-26T22:11:35,C,96,59
2019-03-26T22:22:59,C,96,60
2019-03-26T22:31:11,C,96,58
2019-03-26T22:43:02,C,96,58
2019-03-26T22:52:34,C,96,56
2019-03-26T23:03:00,C,96,56
2019-03-26T23:13:54,C,96,55
2019-03-26T23:23:10,C,96,55
2019-03-26T23:33:54,C,96,55
2019-03-26T23:41:54,C,96,55
2019-03-26T23:54:24,C,96,55
