date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:55,C,292,254
2019-03-26T13:10:07,C,292,252
2019-03-26T13:19:58,C,292,252
2019-03-26T13:30:30,C,292,256
2019-03-26T13:40:51,C,292,254
2019-03-26T13:49:53,C,292,254
2019-03-26T13:59:50,C,292,255
2019-03-26T14:10:29,C,292,255
2019-03-26T14:20:17,C,292,257
2019-03-26T14:30:53,C,292,257
2019-03-26T14:40:08,C,292,258
2019-03-26T14:51:45,C,292,260
2019-03-26T15:00:49,C,292,257
2019-03-26T15:11:32,C,292,258
2019-03-26T15:20:15,C,292,258
2019-03-26T15:31:41,C,292,256
2019-03-26T15:40:49,C,292,257
2019-03-26T15:50:58,C,292,257
2019-03-26T16:00:14,C,292,257
2019-03-26T16:10:06,C,292,253
2019-03-26T16:20:54,C,292,251
2019-03-26T16:30:57,C,292,248
2019-03-26T16:40:58,C,292,247
2019-03-26T16:51:30,C,292,244
2019-03-26T17:01:39,C,292,242
2019-03-26T17:10:58,C,292,242
2019-03-26T17:20:47,C,292,238
2019-03-26T17:31:47,C,292,239
2019-03-26T17:41:52,C,292,236
2019-03-26T17:51:50,C,292,234
2019-03-26T18:12:36,C,292,232
2019-03-26T18:32:58,C,292,228
2019-03-26T18:41:57,C,292,227
2019-03-26T18:51:59,C,292,223
2019-03-26T19:00:58,C,292,220
2019-03-26T19:13:43,C,292,212
2019-03-26T19:20:49,C,292,211
2019-03-26T19:33:06,C,292,208
2019-03-26T19:41:07,C,292,204
2019-03-26T19:53:25,C,292,202
2019-03-26T20:03:06,C,292,206
2019-03-26T20:13:24,C,292,201
2019-03-26T20:21:50,C,292,201
2019-03-26T20:32:57,C,292,203
2019-03-26T20:43:51,C,292,201
2019-03-26T20:54:08,C,292,198
2019-03-26T21:03:14,C,292,200
2019-03-26T21:12:39,C,292,197
2019-03-26T21:21:52,C,292,192
2019-03-26T21:33:56,C,292,191
2019-03-26T21:41:33,C,292,187
2019-03-26T21:53:13,C,292,180
2019-03-26T22:02:17,C,292,178
2019-03-26T22:13:43,C,292,174
2019-03-26T22:23:25,C,292,168
2019-03-26T22:32:57,C,292,166
2019-03-26T22:42:28,C,292,169
2019-03-26T22:53:26,C,292,168
2019-03-26T23:03:24,C,292,169
2019-03-26T23:14:48,C,292,164
2019-03-26T23:23:52,C,292,163
2019-03-26T23:33:57,C,292,162
2019-03-26T23:43:01,C,292,161
2019-03-26T23:54:26,C,292,158
2019-03-27T00:04:03,C,292,157
2019-03-27T00:14:04,C,292,155
2019-03-27T00:22:04,C,292,154
2019-03-27T00:29:14,C,292,154
2019-03-27T00:42:27,C,292,152
2019-03-27T00:54:13,C,292,152
2019-03-27T01:04:09,C,292,152
2019-03-27T01:14:04,C,292,151
2019-03-27T01:23:20,C,292,152
2019-03-27T01:34:04,C,292,151
2019-03-27T01:44:41,C,292,151
2019-03-27T01:54:04,C,292,151
2019-03-27T02:03:21,C,292,151
2019-03-27T02:14:32,C,292,150
2019-03-27T02:24:05,C,292,150
2019-03-27T02:34:04,C,292,150
2019-03-27T02:44:14,C,292,148
2019-03-27T02:54:04,C,292,148
2019-03-27T03:15:23,C,292,148
2019-03-27T03:25:38,C,292,148
2019-03-27T03:34:34,C,292,148
2019-03-27T03:43:33,C,292,148
2019-03-27T03:54:41,C,292,148
2019-03-27T04:03:56,C,292,148
2019-03-27T04:14:05,C,292,148
2019-03-27T04:23:25,C,292,149
2019-03-27T04:35:20,C,292,149
2019-03-27T04:42:39,C,292,149
2019-03-27T04:54:05,C,292,148
2019-03-27T05:02:38,C,292,149
2019-03-27T05:15:24,C,292,149
2019-03-27T05:26:05,C,292,150
2019-03-27T05:35:24,C,292,150
2019-03-27T05:44:49,C,292,149
2019-03-27T05:55:16,C,292,148
2019-03-27T06:05:30,C,292,150
2019-03-27T06:15:42,C,292,153
2019-03-27T06:24:53,C,292,154
2019-03-27T06:34:45,C,292,157
2019-03-27T06:44:57,C,292,165
2019-03-27T06:54:39,C,292,173
2019-03-27T07:05:58,C,292,184
2019-03-27T07:16:18,C,292,190
2019-03-27T07:25:41,C,292,194
2019-03-27T07:34:57,C,292,195
2019-03-27T07:44:47,C,292,201
2019-03-27T07:56:06,C,292,212
2019-03-27T08:05:59,C,292,216
2019-03-27T08:15:30,C,292,227
2019-03-27T08:25:45,C,292,234
2019-03-27T08:36:35,C,292,241
2019-03-27T08:44:58,C,292,242
2019-03-27T08:55:06,C,292,242
2019-03-27T09:06:08,C,292,246
2019-03-27T09:16:19,C,292,247
2019-03-27T09:25:50,C,292,247
2019-03-27T09:35:58,C,292,251
2019-03-27T09:45:09,C,292,249
2019-03-27T09:55:44,C,292,251
2019-03-27T10:06:36,C,292,253
2019-03-27T10:16:58,C,292,256
2019-03-27T10:26:16,C,292,254
2019-03-27T10:33:51,C,292,256
2019-03-27T10:46:56,C,292,260
2019-03-27T10:56:39,C,292,262
2019-03-27T11:05:53,C,292,264
2019-03-27T11:15:51,C,292,262
