date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:15,C,283,226
2019-03-26T13:09:15,C,283,226
2019-03-26T13:19:15,C,283,235
2019-03-26T13:29:16,C,283,239
2019-03-26T13:39:16,C,283,244
2019-03-26T13:49:16,C,283,249
2019-03-26T13:59:17,C,283,247
2019-03-26T14:09:17,C,283,246
2019-03-26T14:19:17,C,283,245
2019-03-26T14:29:17,C,283,246
2019-03-26T14:39:18,C,283,245
2019-03-26T14:50:18,C,283,241
2019-03-26T14:59:18,C,283,243
2019-03-26T15:10:19,C,283,242
2019-03-26T15:19:19,C,283,240
2019-03-26T15:30:19,C,283,244
2019-03-26T15:39:20,C,283,244
2019-03-26T15:50:20,C,283,243
2019-03-26T15:59:20,C,283,248
2019-03-26T16:09:20,C,283,253
2019-03-26T16:20:21,C,283,251
2019-03-26T16:30:21,C,283,252
2019-03-26T16:40:21,C,283,254
2019-03-26T16:50:22,C,283,253
2019-03-26T17:00:22,C,283,254
2019-03-26T17:10:22,C,283,256
2019-03-26T17:20:23,C,283,258
2019-03-26T17:30:23,C,283,261
2019-03-26T17:40:23,C,283,262
2019-03-26T17:50:53,C,283,266
2019-03-26T18:11:54,C,283,268
2019-03-26T18:31:55,C,283,272
2019-03-26T18:41:55,C,283,272
2019-03-26T18:51:55,C,283,270
2019-03-26T19:01:55,C,283,271
2019-03-26T19:12:56,C,283,271
2019-03-26T19:21:56,C,283,272
2019-03-26T19:32:56,C,283,271
2019-03-26T19:41:57,C,283,267
2019-03-26T19:52:57,C,283,271
2019-03-26T20:01:57,C,283,271
2019-03-26T20:12:58,C,283,273
2019-03-26T20:21:58,C,283,274
2019-03-26T20:32:58,C,283,273
2019-03-26T20:42:58,C,283,273
2019-03-26T20:52:59,C,283,273
2019-03-26T21:02:59,C,283,274
2019-03-26T21:12:59,C,283,275
2019-03-26T21:22:00,C,283,275
2019-03-26T21:33:00,C,283,275
2019-03-26T21:43:00,C,283,275
2019-03-26T21:53:00,C,283,275
2019-03-26T22:02:01,C,283,275
2019-03-26T22:12:01,C,283,274
2019-03-26T22:22:01,C,283,274
2019-03-26T22:32:02,C,283,274
2019-03-26T22:42:02,C,283,275
2019-03-26T22:52:02,C,283,275
2019-03-26T23:02:03,C,283,275
2019-03-26T23:13:03,C,283,275
2019-03-26T23:23:03,C,283,275
2019-03-26T23:33:03,C,283,275
2019-03-26T23:43:04,C,283,275
2019-03-26T23:53:04,C,283,275
2019-03-27T00:03:04,C,283,275
2019-03-27T00:12:05,C,283,275
2019-03-27T00:21:05,C,283,275
2019-03-27T00:28:05,C,283,275
2019-03-27T00:42:05,C,283,275
2019-03-27T00:53:06,C,283,275
2019-03-27T01:03:06,C,283,274
2019-03-27T01:13:06,C,283,275
2019-03-27T01:23:07,C,283,275
2019-03-27T01:33:07,C,283,275
2019-03-27T01:43:07,C,283,275
2019-03-27T01:53:08,C,283,275
2019-03-27T02:03:08,C,283,275
2019-03-27T02:13:08,C,283,275
2019-03-27T02:23:08,C,283,275
2019-03-27T02:33:09,C,283,275
2019-03-27T02:43:09,C,283,275
2019-03-27T02:54:20,C,283,275
2019-03-27T03:14:21,C,283,274
2019-03-27T03:24:21,C,283,274
2019-03-27T03:33:21,C,283,274
2019-03-27T03:44:21,C,283,273
2019-03-27T03:54:22,C,283,273
2019-03-27T04:04:22,C,283,273
2019-03-27T04:13:22,C,283,272
2019-03-27T04:23:23,C,283,272
2019-03-27T04:34:23,C,283,272
2019-03-27T04:43:23,C,283,272
2019-03-27T04:54:23,C,283,273
2019-03-27T05:04:24,C,283,273
2019-03-27T05:14:24,C,283,273
2019-03-27T05:24:24,C,283,272
2019-03-27T05:34:25,C,283,272
2019-03-27T05:44:25,C,283,273
2019-03-27T05:54:25,C,283,273
2019-03-27T06:04:26,C,283,273
2019-03-27T06:14:26,C,283,273
2019-03-27T06:24:26,C,283,274
2019-03-27T06:34:26,C,283,275
2019-03-27T06:44:27,C,283,273
2019-03-27T06:54:27,C,283,273
2019-03-27T07:04:27,C,283,273
2019-03-27T07:15:28,C,283,274
2019-03-27T07:24:28,C,283,273
2019-03-27T07:34:28,C,283,271
2019-03-27T07:44:28,C,283,271
2019-03-27T07:54:29,C,283,267
2019-03-27T08:05:29,C,283,267
2019-03-27T08:14:29,C,283,268
2019-03-27T08:24:30,C,283,261
2019-03-27T08:35:30,C,283,257
2019-03-27T08:44:30,C,283,251
2019-03-27T08:54:31,C,283,255
2019-03-27T09:05:31,C,283,251
2019-03-27T09:15:31,C,283,247
2019-03-27T09:24:31,C,283,243
2019-03-27T09:35:32,C,283,233
2019-03-27T09:44:32,C,283,232
2019-03-27T09:55:32,C,283,234
2019-03-27T10:05:33,C,283,236
2019-03-27T10:15:33,C,283,243
2019-03-27T10:25:33,C,283,244
2019-03-27T10:34:33,C,283,242
2019-03-27T10:45:34,C,283,239
2019-03-27T10:55:34,C,283,243
2019-03-27T11:05:34,C,283,240
2019-03-27T11:15:35,C,283,242
2019-03-27T11:25:35,C,283,240
2019-03-27T11:35:35,C,283,239
2019-03-27T11:45:36,C,283,234
2019-03-27T11:56:36,C,283,234
2019-03-27T12:05:36,C,283,235
2019-03-27T12:16:36,C,283,227
2019-03-27T12:26:37,C,283,218
2019-03-27T12:35:37,C,283,221
2019-03-27T12:46:37,C,283,212
2019-03-27T12:55:38,C,283,210
2019-03-27T13:06:38,C,283,223
2019-03-27T13:15:38,C,283,219
2019-03-27T13:26:38,C,283,227
2019-03-27T13:36:09,C,283,235
2019-03-27T13:47:09,C,283,246
2019-03-27T13:55:09,C,283,250
2019-03-27T14:06:10,C,283,252
2019-03-27T14:15:10,C,283,248
2019-03-27T14:26:10,C,283,253
2019-03-27T14:36:11,C,283,248
2019-03-27T14:46:11,C,283,245
2019-03-27T14:55:11,C,283,244
2019-03-27T15:06:11,C,283,250
2019-03-27T15:16:12,C,283,253
2019-03-27T15:25:12,C,283,252
2019-03-27T15:36:12,C,283,252
2019-03-27T15:46:13,C,283,253
2019-03-27T15:56:13,C,283,255
2019-03-27T16:06:13,C,283,256
2019-03-27T16:16:13,C,283,260
2019-03-27T16:27:14,C,283,259
2019-03-27T16:37:14,C,283,260
2019-03-27T16:47:14,C,283,262
2019-03-27T16:57:15,C,283,262
2019-03-27T17:07:15,C,283,262
