date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:52,C,131,90
2019-03-26T13:10:09,C,131,81
2019-03-26T13:20:17,C,131,71
2019-03-26T13:30:25,C,131,53
2019-03-26T13:40:42,C,131,58
2019-03-26T13:49:10,C,131,88
2019-03-26T13:59:32,C,131,86
2019-03-26T14:10:07,C,131,85
2019-03-26T14:19:35,C,131,96
2019-03-26T14:30:18,C,131,96
2019-03-26T14:39:48,C,131,89
2019-03-26T14:50:02,C,131,89
2019-03-26T15:00:37,C,131,86
2019-03-26T15:11:58,C,131,87
2019-03-26T15:19:54,C,131,81
2019-03-26T15:30:49,C,131,62
2019-03-26T15:39:14,C,131,76
2019-03-26T15:49:46,C,131,78
2019-03-26T15:59:24,C,131,78
2019-03-26T16:09:56,C,131,74
2019-03-26T16:21:12,C,131,71
2019-03-26T16:29:44,C,131,65
2019-03-26T16:40:10,C,131,67
2019-03-26T16:50:02,C,131,72
2019-03-26T17:01:12,C,131,73
2019-03-26T17:11:08,C,131,72
2019-03-26T17:21:12,C,131,79
2019-03-26T17:31:17,C,131,86
2019-03-26T17:41:13,C,131,97
2019-03-26T17:50:14,C,131,93
2019-03-26T18:12:14,C,131,96
2019-03-26T18:33:19,C,131,92
2019-03-26T18:41:48,C,131,92
2019-03-26T18:52:05,C,131,89
2019-03-26T19:01:14,C,131,88
2019-03-26T19:13:14,C,131,84
2019-03-26T19:20:36,C,131,82
2019-03-26T19:32:56,C,131,82
2019-03-26T19:41:23,C,131,74
2019-03-26T19:53:14,C,131,63
2019-03-26T20:02:26,C,131,56
2019-03-26T20:12:36,C,131,53
2019-03-26T20:22:21,C,131,54
2019-03-26T20:33:15,C,131,61
2019-03-26T20:42:33,C,131,65
2019-03-26T20:53:15,C,131,68
2019-03-26T21:01:15,C,131,66
2019-03-26T21:11:34,C,131,70
2019-03-26T21:21:16,C,131,71
2019-03-26T21:33:28,C,131,85
2019-03-26T21:41:29,C,131,89
2019-03-26T21:52:41,C,131,94
2019-03-26T22:01:19,C,131,96
2019-03-26T22:13:16,C,131,97
2019-03-26T22:21:16,C,131,98
2019-03-26T22:33:17,C,131,96
2019-03-26T22:41:17,C,131,99
2019-03-26T22:53:04,C,131,98
2019-03-26T23:03:16,C,131,97
2019-03-26T23:13:17,C,131,98
2019-03-26T23:23:53,C,131,99
2019-03-26T23:33:17,C,131,101
2019-03-26T23:41:18,C,131,101
2019-03-26T23:54:19,C,131,97
2019-03-27T00:01:18,C,131,97
2019-03-27T00:13:18,C,131,99
2019-03-27T00:21:18,C,131,99
2019-03-27T00:25:18,C,131,99
2019-03-27T00:41:18,C,131,99
2019-03-27T00:53:19,C,131,99
2019-03-27T01:01:19,C,131,99
2019-03-27T01:13:19,C,131,98
2019-03-27T01:21:19,C,131,99
2019-03-27T01:33:19,C,131,98
2019-03-27T01:41:19,C,131,98
2019-03-27T01:53:19,C,131,98
2019-03-27T02:01:19,C,131,98
2019-03-27T02:13:20,C,131,98
2019-03-27T02:21:20,C,131,98
2019-03-27T02:33:20,C,131,98
2019-03-27T02:41:20,C,131,98
