date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:50,C,383,219
2019-03-26T13:09:46,C,383,225
2019-03-26T13:19:37,C,383,225
2019-03-26T13:30:20,C,383,225
2019-03-26T13:40:32,C,383,225
2019-03-26T13:49:46,C,383,232
2019-03-26T13:59:36,C,383,236
2019-03-26T14:09:36,C,383,243
2019-03-26T14:20:25,C,383,239
2019-03-26T14:30:28,C,383,241
2019-03-26T14:39:53,C,383,234
2019-03-26T14:51:00,C,383,232
2019-03-26T15:00:05,C,383,237
2019-03-26T15:11:45,C,383,227
2019-03-26T15:19:51,C,383,229
2019-03-26T15:30:59,C,383,238
2019-03-26T15:40:14,C,383,233
2019-03-26T15:50:10,C,383,241
2019-03-26T15:59:27,C,383,239
2019-03-26T16:09:54,C,383,237
2019-03-26T16:20:59,C,383,241
2019-03-26T16:31:08,C,383,236
2019-03-26T16:40:37,C,383,239
2019-03-26T16:50:56,C,383,229
2019-03-26T17:01:01,C,383,232
2019-03-26T17:10:44,C,383,245
2019-03-26T17:20:58,C,383,249
2019-03-26T17:30:55,C,383,245
2019-03-26T17:41:24,C,383,248
2019-03-26T17:51:10,C,383,257
2019-03-26T18:11:57,C,383,240
2019-03-26T18:32:26,C,383,222
2019-03-26T18:41:52,C,383,226
2019-03-26T18:51:57,C,383,216
2019-03-26T19:00:58,C,383,213
2019-03-26T19:13:22,C,383,194
2019-03-26T19:20:30,C,383,201
2019-03-26T19:32:35,C,383,184
2019-03-26T19:40:51,C,383,188
2019-03-26T19:53:23,C,383,181
2019-03-26T20:02:46,C,383,182
2019-03-26T20:12:39,C,383,181
2019-03-26T20:21:44,C,383,180
2019-03-26T20:32:46,C,383,172
2019-03-26T20:43:26,C,383,166
2019-03-26T20:53:43,C,383,166
2019-03-26T21:02:16,C,383,172
2019-03-26T21:13:05,C,383,168
2019-03-26T21:21:16,C,383,166
2019-03-26T21:33:06,C,383,170
2019-03-26T21:41:45,C,383,165
2019-03-26T21:52:24,C,383,168
2019-03-26T22:02:16,C,383,167
2019-03-26T22:12:30,C,383,164
2019-03-26T22:23:38,C,383,166
2019-03-26T22:32:29,C,383,167
2019-03-26T22:43:08,C,383,164
2019-03-26T22:52:47,C,383,163
2019-03-26T23:02:16,C,383,167
2019-03-26T23:14:16,C,383,171
2019-03-26T23:23:23,C,383,172
2019-03-26T23:33:07,C,383,172
2019-03-26T23:42:37,C,383,172
2019-03-26T23:54:36,C,383,168
2019-03-27T00:04:09,C,383,171
2019-03-27T00:11:23,C,383,172
2019-03-27T00:21:49,C,383,169
2019-03-27T00:27:05,C,383,168
2019-03-27T00:42:16,C,383,171
2019-03-27T00:54:16,C,383,168
2019-03-27T01:02:16,C,383,166
2019-03-27T01:13:21,C,383,166
2019-03-27T01:22:26,C,383,164
2019-03-27T01:30:57,C,383,161
2019-03-27T01:42:16,C,383,159
2019-03-27T01:54:22,C,383,158
2019-03-27T02:02:41,C,383,160
2019-03-27T02:10:54,C,383,161
2019-03-27T02:22:16,C,383,159
2019-03-27T02:34:16,C,383,159
2019-03-27T02:43:30,C,383,158
2019-03-27T02:54:16,C,383,157
2019-03-27T03:14:16,C,383,161
2019-03-27T03:22:16,C,383,160
2019-03-27T03:34:16,C,383,160
2019-03-27T03:42:17,C,383,161
2019-03-27T03:54:17,C,383,162
2019-03-27T04:04:22,C,383,169
2019-03-27T04:14:17,C,383,170
2019-03-27T04:22:17,C,383,170
2019-03-27T04:34:17,C,383,171
2019-03-27T04:42:17,C,383,170
2019-03-27T04:54:17,C,383,170
2019-03-27T05:05:31,C,383,171
2019-03-27T05:14:52,C,383,170
2019-03-27T05:25:28,C,383,173
2019-03-27T05:34:17,C,383,173
2019-03-27T05:44:16,C,383,177
2019-03-27T05:54:17,C,383,178
2019-03-27T06:04:28,C,383,177
2019-03-27T06:14:19,C,383,173
2019-03-27T06:24:47,C,383,179
2019-03-27T06:34:17,C,383,183
2019-03-27T06:44:42,C,383,192
2019-03-27T06:54:17,C,383,207
2019-03-27T07:05:15,C,383,207
2019-03-27T07:15:59,C,383,214
2019-03-27T07:25:03,C,383,219
2019-03-27T07:34:54,C,383,221
2019-03-27T07:44:58,C,383,209
2019-03-27T07:55:43,C,383,206
2019-03-27T08:05:54,C,383,217
2019-03-27T08:14:57,C,383,229
