date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:49,C,78,66
2019-03-26T13:10:48,C,78,66
2019-03-26T13:20:49,C,78,65
2019-03-26T13:30:49,C,78,63
2019-03-26T13:40:19,C,78,64
2019-03-26T13:50:20,C,78,62
2019-03-26T14:00:20,C,78,65
2019-03-26T14:10:20,C,78,63
2019-03-26T14:20:50,C,78,65
2019-03-26T14:30:51,C,78,66
2019-03-26T14:40:51,C,78,64
2019-03-26T14:51:21,C,78,65
2019-03-26T15:00:21,C,78,64
2019-03-26T15:11:22,C,78,65
2019-03-26T15:20:22,C,78,67
2019-03-26T15:31:52,C,78,68
2019-03-26T15:40:53,C,78,70
2019-03-26T15:51:53,C,78,70
2019-03-26T15:59:53,C,78,66
2019-03-26T16:10:23,C,78,63
2019-03-26T16:21:24,C,78,63
2019-03-26T16:31:24,C,78,66
2019-03-26T16:41:55,C,78,65
2019-03-26T16:51:55,C,78,64
2019-03-26T17:01:55,C,78,62
2019-03-26T17:10:55,C,78,63
2019-03-26T17:21:26,C,78,64
2019-03-26T17:31:26,C,78,66
2019-03-26T17:41:26,C,78,64
2019-03-26T17:51:27,C,78,67
2019-03-26T18:12:57,C,78,64
2019-03-26T18:31:58,C,78,63
2019-03-26T18:42:28,C,78,64
2019-03-26T18:52:28,C,78,63
2019-03-26T19:02:28,C,78,60
2019-03-26T19:13:59,C,78,59
2019-03-26T19:22:59,C,78,59
2019-03-26T19:33:59,C,78,56
2019-03-26T19:42:00,C,78,54
2019-03-26T19:53:30,C,78,53
2019-03-26T20:02:30,C,78,57
2019-03-26T20:13:30,C,78,57
2019-03-26T20:22:31,C,78,58
2019-03-26T20:34:01,C,78,57
2019-03-26T20:44:01,C,78,55
2019-03-26T20:53:02,C,78,53
2019-03-26T21:03:32,C,78,51
2019-03-26T21:13:32,C,78,52
2019-03-26T21:22:35,C,78,51
2019-03-26T21:33:35,C,78,51
2019-03-26T21:44:03,C,78,51
2019-03-26T21:54:03,C,78,51
2019-03-26T22:02:03,C,78,51
2019-03-26T22:13:04,C,78,51
2019-03-26T22:23:34,C,78,53
2019-03-26T22:33:34,C,78,51
2019-03-26T22:43:35,C,78,50
2019-03-26T22:54:05,C,78,50
2019-03-26T23:04:05,C,78,47
2019-03-26T23:14:05,C,78,45
2019-03-26T23:24:06,C,78,46
2019-03-26T23:34:36,C,78,44
2019-03-26T23:44:37,C,78,45
2019-03-26T23:54:37,C,78,44
2019-03-27T00:04:37,C,78,44
2019-03-27T00:14:07,C,78,41
2019-03-27T00:23:08,C,78,42
2019-03-27T00:30:08,C,78,41
2019-03-27T00:43:08,C,78,40
2019-03-27T00:54:38,C,78,41
2019-03-27T01:04:39,C,78,41
2019-03-27T01:14:39,C,78,40
2019-03-27T01:25:09,C,78,39
2019-03-27T01:35:09,C,78,40
2019-03-27T01:44:09,C,78,38
2019-03-27T01:54:10,C,78,39
2019-03-27T02:04:40,C,78,38
2019-03-27T02:14:41,C,78,39
2019-03-27T02:24:41,C,78,39
2019-03-27T02:34:41,C,78,38
2019-03-27T02:45:11,C,78,37
2019-03-27T02:55:12,C,78,35
2019-03-27T03:15:43,C,78,36
2019-03-27T03:25:42,C,78,35
2019-03-27T03:34:43,C,78,34
2019-03-27T03:45:43,C,78,34
2019-03-27T03:56:13,C,78,34
2019-03-27T04:05:14,C,78,33
2019-03-27T04:14:14,C,78,32
2019-03-27T04:24:17,C,78,32
2019-03-27T04:35:44,C,78,32
2019-03-27T04:44:45,C,78,32
2019-03-27T04:55:45,C,78,33
2019-03-27T05:06:05,C,78,32
2019-03-27T05:16:05,C,78,32
2019-03-27T05:25:05,C,78,33
2019-03-27T05:35:36,C,78,36
2019-03-27T05:45:36,C,78,35
2019-03-27T05:55:36,C,78,36
2019-03-27T06:05:36,C,78,36
2019-03-27T06:16:07,C,78,34
2019-03-27T06:26:07,C,78,35
2019-03-27T06:35:07,C,78,35
2019-03-27T06:45:08,C,78,36
2019-03-27T06:55:38,C,78,41
2019-03-27T07:05:38,C,78,41
2019-03-27T07:16:39,C,78,43
2019-03-27T07:26:09,C,78,45
2019-03-27T07:36:10,C,78,46
2019-03-27T07:45:10,C,78,46
2019-03-27T07:55:10,C,78,46
2019-03-27T08:06:41,C,78,47
2019-03-27T08:15:41,C,78,46
2019-03-27T08:25:41,C,78,51
2019-03-27T08:37:12,C,78,53
2019-03-27T08:45:12,C,78,54
2019-03-27T08:55:12,C,78,57
2019-03-27T09:06:13,C,78,56
2019-03-27T09:16:43,C,78,54
2019-03-27T09:25:46,C,78,55
2019-03-27T09:36:43,C,78,57
2019-03-27T09:45:43,C,78,56
2019-03-27T09:57:14,C,78,58
2019-03-27T10:06:14,C,78,58
2019-03-27T10:16:14,C,78,58
2019-03-27T10:26:45,C,78,60
2019-03-27T10:35:45,C,78,60
2019-03-27T10:46:46,C,78,62
2019-03-27T10:56:45,C,78,62
2019-03-27T11:07:16,C,78,59
2019-03-27T11:16:16,C,78,60
2019-03-27T11:26:16,C,78,64
2019-03-27T11:36:16,C,78,64
2019-03-27T11:46:47,C,78,62
2019-03-27T11:57:47,C,78,62
2019-03-27T12:06:48,C,78,64
2019-03-27T12:18:18,C,78,67
2019-03-27T12:27:18,C,78,65
2019-03-27T12:36:18,C,78,64
2019-03-27T12:47:21,C,78,63
2019-03-27T12:56:49,C,78,61
2019-03-27T13:07:49,C,78,63
2019-03-27T13:16:49,C,78,64
2019-03-27T13:27:50,C,78,62
2019-03-27T13:36:20,C,78,63
2019-03-27T13:47:20,C,78,64
2019-03-27T13:56:20,C,78,60
2019-03-27T14:07:21,C,78,60
