date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:53,C,2,0
2019-03-26T13:10:53,C,2,0
2019-03-26T13:20:53,C,2,0
2019-03-26T13:29:53,C,2,0
2019-03-26T13:40:24,C,2,0
2019-03-26T13:50:24,C,2,0
2019-03-26T14:00:24,C,2,0
2019-03-26T14:10:24,C,2,0
2019-03-26T14:20:55,C,2,0
2019-03-26T14:30:55,C,2,0
2019-03-26T14:40:55,C,2,0
2019-03-26T14:51:26,C,2,0
2019-03-26T15:00:26,C,2,0
2019-03-26T15:11:26,C,2,0
2019-03-26T15:20:27,C,2,0
2019-03-26T15:31:57,C,2,1
2019-03-26T15:40:57,C,2,0
2019-03-26T15:50:58,C,2,1
2019-03-26T15:59:58,C,2,0
2019-03-26T16:10:29,C,2,0
2019-03-26T16:21:28,C,2,0
2019-03-26T16:31:29,C,2,2
2019-03-26T16:41:59,C,2,0
2019-03-26T16:51:59,C,2,0
2019-03-26T17:00:59,C,2,0
2019-03-26T17:11:00,C,2,1
2019-03-26T17:21:31,C,2,0
2019-03-26T17:31:31,C,2,0
2019-03-26T17:41:31,C,2,0
2019-03-26T17:51:31,C,2,0
2019-03-26T18:12:01,C,2,0
2019-03-26T18:32:32,C,2,0
2019-03-26T18:42:32,C,2,0
2019-03-26T18:52:33,C,2,1
2019-03-26T19:02:33,C,2,0
2019-03-26T19:14:03,C,2,1
2019-03-26T19:22:03,C,2,0
2019-03-26T19:33:04,C,2,1
2019-03-26T19:42:06,C,2,0
2019-03-26T19:53:34,C,2,0
2019-03-26T20:02:34,C,2,0
2019-03-26T20:13:35,C,2,0
2019-03-26T20:23:05,C,2,1
2019-03-26T20:33:05,C,2,0
2019-03-26T20:43:06,C,2,0
2019-03-26T20:53:06,C,2,0
2019-03-26T21:03:37,C,2,0
2019-03-26T21:13:36,C,2,1
2019-03-26T21:22:37,C,2,1
2019-03-26T21:33:37,C,2,1
2019-03-26T21:43:07,C,2,2
2019-03-26T21:53:08,C,2,1
2019-03-26T22:02:08,C,2,2
2019-03-26T22:13:38,C,2,1
2019-03-26T22:23:39,C,2,2
2019-03-26T22:33:39,C,2,1
2019-03-26T22:43:39,C,2,2
2019-03-26T22:54:09,C,2,2
2019-03-26T23:03:09,C,2,1
2019-03-26T23:14:10,C,2,2
2019-03-26T23:24:10,C,2,2
2019-03-26T23:34:40,C,2,2
2019-03-26T23:44:41,C,2,2
2019-03-26T23:54:41,C,2,2
2019-03-27T00:05:12,C,2,2
2019-03-27T00:14:12,C,2,2
2019-03-27T00:22:12,C,2,1
2019-03-27T00:29:14,C,2,2
2019-03-27T00:43:42,C,2,2
2019-03-27T00:54:43,C,2,2
2019-03-27T01:04:43,C,2,2
2019-03-27T01:14:43,C,2,1
2019-03-27T01:25:14,C,2,2
2019-03-27T01:34:14,C,2,1
2019-03-27T01:44:14,C,2,1
2019-03-27T01:54:15,C,2,1
2019-03-27T02:04:48,C,2,1
2019-03-27T02:14:45,C,2,1
2019-03-27T02:24:45,C,2,1
2019-03-27T02:35:16,C,2,1
2019-03-27T02:44:16,C,2,0
2019-03-27T02:55:16,C,2,1
2019-03-27T03:15:47,C,2,1
2019-03-27T03:25:47,C,2,1
2019-03-27T03:34:47,C,2,1
2019-03-27T03:45:48,C,2,1
2019-03-27T03:55:18,C,2,1
2019-03-27T04:05:18,C,2,2
2019-03-27T04:14:18,C,2,2
2019-03-27T04:24:19,C,2,2
2019-03-27T04:35:49,C,2,2
2019-03-27T04:44:49,C,2,2
2019-03-27T04:55:49,C,2,2
2019-03-27T05:06:07,C,2,2
2019-03-27T05:15:08,C,2,2
2019-03-27T05:25:38,C,2,2
2019-03-27T05:35:38,C,2,2
2019-03-27T05:45:39,C,2,2
2019-03-27T05:55:39,C,2,2
2019-03-27T06:06:09,C,2,2
2019-03-27T06:16:09,C,2,2
2019-03-27T06:25:10,C,2,0
2019-03-27T06:35:10,C,2,0
2019-03-27T06:45:41,C,2,0
2019-03-27T06:55:40,C,2,0
2019-03-27T07:05:41,C,2,0
2019-03-27T07:17:11,C,2,0
2019-03-27T07:26:12,C,2,1
2019-03-27T07:35:13,C,2,1
2019-03-27T07:45:12,C,2,1
2019-03-27T07:55:43,C,2,2
2019-03-27T08:06:43,C,2,2
2019-03-27T08:15:44,C,2,2
2019-03-27T08:25:43,C,2,2
2019-03-27T08:37:13,C,2,0
2019-03-27T08:45:14,C,2,0
2019-03-27T08:55:14,C,2,1
2019-03-27T09:06:15,C,2,1
2019-03-27T09:16:44,C,2,1
2019-03-27T09:25:45,C,2,0
2019-03-27T09:36:46,C,2,0
2019-03-27T09:46:15,C,2,0
2019-03-27T09:56:16,C,2,0
2019-03-27T10:06:16,C,2,1
2019-03-27T10:16:17,C,2,2
2019-03-27T10:26:47,C,2,0
2019-03-27T10:35:47,C,2,0
2019-03-27T10:46:48,C,2,0
2019-03-27T10:56:47,C,2,0
2019-03-27T11:06:18,C,2,0
2019-03-27T11:16:21,C,2,0
2019-03-27T11:26:18,C,2,0
2019-03-27T11:36:49,C,2,1
2019-03-27T11:46:49,C,2,0
2019-03-27T11:57:49,C,2,0
2019-03-27T12:06:50,C,2,0
2019-03-27T12:17:20,C,2,0
2019-03-27T12:27:22,C,2,0
2019-03-27T12:36:21,C,2,0
2019-03-27T12:47:20,C,2,0
2019-03-27T12:56:51,C,2,0
2019-03-27T13:07:51,C,2,0
2019-03-27T13:16:52,C,2,0
2019-03-27T13:27:52,C,2,0
2019-03-27T13:36:22,C,2,0
2019-03-27T13:47:22,C,2,0
2019-03-27T13:56:25,C,2,0
2019-03-27T14:07:53,C,2,0
2019-03-27T14:16:53,C,2,0
2019-03-27T14:27:54,C,2,0
2019-03-27T14:37:53,C,2,0
2019-03-27T14:47:24,C,2,0
2019-03-27T14:56:24,C,2,0
2019-03-27T15:07:24,C,2,2
2019-03-27T15:17:25,C,2,0
2019-03-27T15:26:55,C,2,0
2019-03-27T15:37:58,C,2,0
2019-03-27T15:47:55,C,2,0
2019-03-27T15:56:56,C,2,0
2019-03-27T16:07:26,C,2,2
2019-03-27T16:17:26,C,2,2
2019-03-27T16:28:27,C,2,0
2019-03-27T16:38:57,C,2,0
2019-03-27T16:48:58,C,2,0
2019-03-27T16:58:57,C,2,1
2019-03-27T17:07:58,C,2,1
2019-03-27T17:18:28,C,2,0
2019-03-27T17:27:28,C,2,0
2019-03-27T17:38:29,C,2,0
2019-03-27T17:47:29,C,2,0
2019-03-27T17:58:01,C,2,0
2019-03-27T18:08:59,C,2,0
2019-03-27T18:17:00,C,2,0
2019-03-27T18:27:00,C,2,0
2019-03-27T18:37:30,C,2,0
2019-03-27T18:48:31,C,2,0
2019-03-27T18:58:31,C,2,0
2019-03-27T19:09:01,C,2,0
2019-03-27T19:19:02,C,2,0
2019-03-27T19:28:02,C,2,0
2019-03-27T19:38:02,C,2,0
2019-03-27T19:48:32,C,2,0
2019-03-27T19:58:32,C,2,0
2019-03-27T20:08:33,C,2,0
2019-03-27T20:19:33,C,2,0
2019-03-27T20:30:04,C,2,0
2019-03-27T20:39:04,C,2,0
2019-03-27T20:48:04,C,2,0
2019-03-27T20:58:35,C,2,0
2019-03-27T21:08:35,C,2,0
2019-03-27T21:18:35,C,2,0
2019-03-27T21:28:35,C,2,0
2019-03-27T21:39:06,C,2,0
2019-03-27T21:49:07,C,2,0
2019-03-27T21:59:06,C,2,0
2019-03-27T22:08:06,C,2,0
2019-03-27T22:18:37,C,2,0
2019-03-27T22:29:37,C,2,0
2019-03-27T22:39:38,C,2,0
2019-03-27T22:49:08,C,2,0
2019-03-27T23:00:08,C,2,0
2019-03-27T23:09:08,C,2,0
2019-03-27T23:19:09,C,2,0
2019-03-27T23:28:39,C,2,0
2019-03-27T23:39:39,C,2,0
2019-03-27T23:49:39,C,2,0
2019-03-27T23:59:39,C,2,0
2019-03-28T00:10:11,C,2,0
2019-03-28T00:20:13,C,2,0
2019-03-28T00:29:10,C,2,0
2019-03-28T00:39:11,C,2,0
2019-03-28T00:49:41,C,2,0
2019-03-28T00:59:44,C,2,0
2019-03-28T01:10:41,C,2,0
2019-03-28T01:21:12,C,2,0
2019-03-28T01:31:12,C,2,0
2019-03-28T01:39:12,C,2,0
2019-03-28T01:49:14,C,2,0
2019-03-28T02:00:43,C,2,0
2019-03-28T02:09:43,C,2,0
2019-03-28T02:20:43,C,2,0
2019-03-28T02:30:44,C,2,0
2019-03-28T02:41:14,C,2,0
2019-03-28T02:50:14,C,2,0
2019-03-28T02:59:16,C,2,0
2019-03-28T03:10:15,C,2,0
2019-03-28T03:19:45,C,2,0
2019-03-28T03:30:45,C,2,0
2019-03-28T03:40:46,C,2,0
2019-03-28T03:51:16,C,2,0
2019-03-28T04:00:16,C,2,0
2019-03-28T04:10:19,C,2,0
2019-03-28T04:21:17,C,2,0
2019-03-28T04:30:47,C,2,0
2019-03-28T04:41:47,C,2,0
2019-03-28T04:50:48,C,2,0
2019-03-28T05:01:18,C,2,0
2019-03-28T05:10:15,C,2,0
2019-03-28T05:21:16,C,2,0
2019-03-28T05:31:16,C,2,1
2019-03-28T05:40:46,C,2,1
2019-03-28T05:51:46,C,2,1
2019-03-28T06:00:47,C,2,1
2019-03-28T06:11:47,C,2,1
2019-03-28T06:20:17,C,2,0
2019-03-28T06:30:17,C,2,0
2019-03-28T06:40:18,C,2,0
2019-03-28T06:51:18,C,2,0
2019-03-28T07:00:49,C,2,0
2019-03-28T07:11:50,C,2,0
2019-03-28T07:21:49,C,2,0
2019-03-28T07:31:20,C,2,0
2019-03-28T07:41:20,C,2,0
2019-03-28T07:51:20,C,2,0
