date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:28,C,102,0
2019-03-26T13:10:29,C,102,0
2019-03-26T13:20:58,C,102,8
2019-03-26T13:29:59,C,102,17
2019-03-26T13:40:29,C,102,16
2019-03-26T13:50:29,C,102,32
2019-03-26T14:00:30,C,102,34
2019-03-26T14:10:31,C,102,30
2019-03-26T14:21:01,C,102,38
2019-03-26T14:30:00,C,102,44
2019-03-26T14:40:02,C,102,48
2019-03-26T14:51:31,C,102,40
2019-03-26T15:00:32,C,102,43
2019-03-26T15:11:33,C,102,40
2019-03-26T15:21:03,C,102,44
2019-03-26T15:31:03,C,102,42
2019-03-26T15:40:03,C,102,41
2019-03-26T15:51:33,C,102,36
2019-03-26T16:00:33,C,102,47
2019-03-26T16:10:35,C,102,49
2019-03-26T16:22:04,C,102,50
2019-03-26T16:32:04,C,102,47
2019-03-26T16:41:06,C,102,47
2019-03-26T16:50:36,C,102,41
2019-03-26T17:01:36,C,102,39
2019-03-26T17:11:36,C,102,46
2019-03-26T17:21:06,C,102,52
2019-03-26T17:31:07,C,102,51
2019-03-26T17:41:08,C,102,56
2019-03-26T17:51:16,C,102,63
2019-03-26T18:12:38,C,102,62
2019-03-26T18:32:38,C,102,63
2019-03-26T18:42:08,C,102,62
2019-03-26T18:52:10,C,102,59
2019-03-26T19:02:09,C,102,52
2019-03-26T19:13:40,C,102,54
2019-03-26T19:22:41,C,102,53
2019-03-26T19:33:40,C,102,57
2019-03-26T19:42:10,C,102,52
2019-03-26T19:53:11,C,102,51
2019-03-26T20:02:12,C,102,44
2019-03-26T20:13:42,C,102,42
2019-03-26T20:22:46,C,102,42
2019-03-26T20:33:12,C,102,38
2019-03-26T20:43:12,C,102,35
2019-03-26T20:53:13,C,102,38
2019-03-26T21:03:43,C,102,46
2019-03-26T21:13:44,C,102,45
2019-03-26T21:22:45,C,102,53
2019-03-26T21:33:15,C,102,55
2019-03-26T21:43:16,C,102,54
2019-03-26T21:53:14,C,102,59
2019-03-26T22:02:43,C,102,62
2019-03-26T22:13:44,C,102,61
2019-03-26T22:23:44,C,102,58
2019-03-26T22:32:45,C,102,63
2019-03-26T22:43:16,C,102,66
2019-03-26T22:53:16,C,102,70
2019-03-26T23:03:45,C,102,71
2019-03-26T23:14:46,C,102,73
2019-03-26T23:24:15,C,102,73
2019-03-26T23:34:17,C,102,74
2019-03-26T23:44:17,C,102,76
2019-03-26T23:54:47,C,102,75
2019-03-27T00:04:47,C,102,72
2019-03-27T00:13:47,C,102,70
2019-03-27T00:22:48,C,102,70
2019-03-27T00:29:48,C,102,70
2019-03-27T00:43:18,C,102,72
2019-03-27T00:54:18,C,102,69
2019-03-27T01:04:49,C,102,69
2019-03-27T01:14:49,C,102,69
2019-03-27T01:24:49,C,102,72
2019-03-27T01:34:50,C,102,73
2019-03-27T01:45:20,C,102,73
2019-03-27T01:54:20,C,102,72
2019-03-27T02:04:21,C,102,72
2019-03-27T02:14:21,C,102,70
2019-03-27T02:24:52,C,102,70
2019-03-27T02:34:52,C,102,69
2019-03-27T02:44:52,C,102,71
2019-03-27T02:55:52,C,102,71
2019-03-27T03:15:23,C,102,68
2019-03-27T03:25:23,C,102,68
2019-03-27T03:34:24,C,102,68
2019-03-27T03:45:54,C,102,66
2019-03-27T03:55:54,C,102,69
2019-03-27T04:05:55,C,102,71
2019-03-27T04:14:25,C,102,69
2019-03-27T04:24:25,C,102,67
2019-03-27T04:35:26,C,102,65
2019-03-27T04:44:26,C,102,68
2019-03-27T04:55:56,C,102,71
2019-03-27T05:05:54,C,102,72
2019-03-27T05:15:54,C,102,72
2019-03-27T05:25:24,C,102,69
2019-03-27T05:31:24,C,102,67
2019-03-27T05:31:24,C,102,67
2019-03-27T05:55:22,C,102,72
2019-03-27T06:05:53,C,102,71
2019-03-27T06:15:53,C,102,69
2019-03-27T06:25:53,C,102,66
2019-03-27T06:35:23,C,102,64
2019-03-27T06:45:24,C,102,61
2019-03-27T06:55:24,C,102,53
2019-03-27T07:05:23,C,102,47
2019-03-27T07:16:54,C,102,44
2019-03-27T07:25:54,C,102,44
2019-03-27T07:35:55,C,102,41
2019-03-27T07:44:56,C,102,38
2019-03-27T07:55:25,C,102,33
2019-03-27T08:06:26,C,102,33
2019-03-27T08:15:26,C,102,41
2019-03-27T08:25:56,C,102,37
2019-03-27T08:36:56,C,102,37
2019-03-27T08:45:57,C,102,38
2019-03-27T08:54:57,C,102,33
2019-03-27T09:06:28,C,102,33
2019-03-27T09:16:28,C,102,30
2019-03-27T09:25:28,C,102,26
2019-03-27T09:36:58,C,102,14
