date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:37,C,357,281
2019-03-26T13:09:55,C,357,282
2019-03-26T13:19:36,C,357,287
2019-03-26T13:30:29,C,357,285
2019-03-26T13:41:18,C,357,283
2019-03-26T13:49:12,C,357,288
2019-03-26T14:00:27,C,357,283
2019-03-26T14:09:12,C,357,286
2019-03-26T14:20:25,C,357,290
2019-03-26T14:29:48,C,357,291
2019-03-26T14:38:58,C,357,293
2019-03-26T14:51:13,C,357,297
2019-03-26T15:00:34,C,357,295
2019-03-26T15:12:03,C,357,298
2019-03-26T15:17:13,C,357,296
2019-03-26T15:30:26,C,357,296
2019-03-26T15:39:58,C,357,299
2019-03-26T15:49:58,C,357,304
2019-03-26T16:00:05,C,357,307
2019-03-26T16:09:38,C,357,301
2019-03-26T16:20:40,C,357,304
2019-03-26T16:30:42,C,357,296
2019-03-26T16:40:26,C,357,291
2019-03-26T16:51:35,C,357,291
2019-03-26T17:01:25,C,357,290
2019-03-26T17:09:40,C,357,288
2019-03-26T17:20:16,C,357,290
2019-03-26T17:30:17,C,357,288
2019-03-26T17:41:24,C,357,290
2019-03-26T17:51:06,C,357,292
2019-03-26T18:11:47,C,357,300
2019-03-26T18:32:31,C,357,294
2019-03-26T18:41:16,C,357,296
2019-03-26T18:51:54,C,357,302
2019-03-26T19:00:08,C,357,302
2019-03-26T19:13:16,C,357,295
2019-03-26T19:20:47,C,357,297
2019-03-26T19:31:54,C,357,294
2019-03-26T19:40:24,C,357,292
2019-03-26T19:52:51,C,357,291
2019-03-26T20:01:17,C,357,296
2019-03-26T20:12:09,C,357,298
2019-03-26T20:21:17,C,357,297
2019-03-26T20:33:17,C,357,294
2019-03-26T20:43:31,C,357,295
2019-03-26T20:53:18,C,357,290
2019-03-26T21:02:16,C,357,290
2019-03-26T21:12:46,C,357,291
2019-03-26T21:20:58,C,357,291
2019-03-26T21:33:34,C,357,287
2019-03-26T21:41:56,C,357,285
2019-03-26T21:52:48,C,357,282
2019-03-26T22:02:17,C,357,283
2019-03-26T22:14:00,C,357,279
2019-03-26T22:23:10,C,357,277
2019-03-26T22:32:19,C,357,273
2019-03-26T22:41:19,C,357,274
2019-03-26T22:53:19,C,357,271
2019-03-26T23:01:41,C,357,274
2019-03-26T23:13:20,C,357,275
2019-03-26T23:21:20,C,357,274
2019-03-26T23:33:20,C,357,275
2019-03-26T23:42:34,C,357,271
2019-03-26T23:53:20,C,357,271
2019-03-27T00:01:20,C,357,271
2019-03-27T00:13:24,C,357,270
2019-03-27T00:21:20,C,357,270
2019-03-27T00:25:21,C,357,270
2019-03-27T00:41:41,C,357,268
2019-03-27T00:54:24,C,357,267
2019-03-27T01:03:00,C,357,269
2019-03-27T01:13:21,C,357,269
2019-03-27T01:23:37,C,357,268
2019-03-27T01:33:21,C,357,268
2019-03-27T01:41:22,C,357,268
2019-03-27T01:53:22,C,357,268
2019-03-27T02:01:22,C,357,268
2019-03-27T02:13:22,C,357,269
2019-03-27T02:21:22,C,357,269
2019-03-27T02:33:22,C,357,269
2019-03-27T02:41:22,C,357,269
2019-03-27T02:53:23,C,357,269
2019-03-27T03:13:23,C,357,269
2019-03-27T03:25:23,C,357,270
2019-03-27T03:33:23,C,357,270
2019-03-27T03:41:23,C,357,270
2019-03-27T03:53:55,C,357,269
2019-03-27T04:02:47,C,357,271
2019-03-27T04:13:24,C,357,272
2019-03-27T04:21:24,C,357,272
2019-03-27T04:33:24,C,357,272
2019-03-27T04:41:24,C,357,273
2019-03-27T04:55:05,C,357,273
2019-03-27T05:05:24,C,357,272
2019-03-27T05:13:24,C,357,272
2019-03-27T05:25:25,C,357,272
2019-03-27T05:33:25,C,357,272
2019-03-27T05:44:45,C,357,272
2019-03-27T05:53:25,C,357,272
2019-03-27T06:05:25,C,357,272
2019-03-27T06:13:25,C,357,273
2019-03-27T06:21:25,C,357,273
2019-03-27T06:34:59,C,357,275
2019-03-27T06:42:39,C,357,278
2019-03-27T06:54:30,C,357,281
2019-03-27T07:05:33,C,357,283
2019-03-27T07:14:36,C,357,289
2019-03-27T07:25:26,C,357,290
2019-03-27T07:34:42,C,357,292
2019-03-27T07:43:38,C,357,291
2019-03-27T07:55:23,C,357,295
2019-03-27T08:05:27,C,357,296
2019-03-27T08:14:41,C,357,300
2019-03-27T08:23:45,C,357,304
2019-03-27T08:36:15,C,357,308
2019-03-27T08:43:48,C,357,309
2019-03-27T08:53:40,C,357,308
2019-03-27T09:05:28,C,357,305
2019-03-27T09:16:12,C,357,305
2019-03-27T09:25:28,C,357,311
2019-03-27T09:34:15,C,357,313
2019-03-27T09:43:57,C,357,310
2019-03-27T09:55:29,C,357,312
2019-03-27T10:06:48,C,357,311
2019-03-27T10:16:03,C,357,307
2019-03-27T10:25:29,C,357,306
2019-03-27T10:33:39,C,357,300
2019-03-27T10:45:54,C,357,304
2019-03-27T10:55:38,C,357,304
2019-03-27T11:05:55,C,357,308
2019-03-27T11:15:56,C,357,308
2019-03-27T11:25:30,C,357,308
2019-03-27T11:36:13,C,357,305
2019-03-27T11:45:30,C,357,307
2019-03-27T11:57:44,C,357,306
2019-03-27T12:06:39,C,357,310
2019-03-27T12:17:30,C,357,309
2019-03-27T12:26:55,C,357,309
2019-03-27T12:36:24,C,357,308
2019-03-27T12:46:15,C,357,313
2019-03-27T12:54:11,C,357,312
2019-03-27T13:06:35,C,357,310
2019-03-27T13:13:31,C,357,306
2019-03-27T13:26:55,C,357,308
2019-03-27T13:35:32,C,357,308
2019-03-27T13:47:36,C,357,301
2019-03-27T13:56:02,C,357,306
2019-03-27T14:06:57,C,357,305
2019-03-27T14:15:36,C,357,306
2019-03-27T14:27:37,C,357,306
2019-03-27T14:38:12,C,357,302
2019-03-27T14:47:06,C,357,303
2019-03-27T14:56:43,C,357,302
2019-03-27T15:07:21,C,357,302
2019-03-27T15:16:23,C,357,299
2019-03-27T15:25:33,C,357,294
2019-03-27T15:37:33,C,357,291
2019-03-27T15:47:31,C,357,291
2019-03-27T15:57:33,C,357,291
2019-03-27T16:07:16,C,357,291
2019-03-27T16:17:34,C,357,302
2019-03-27T16:27:42,C,357,305
2019-03-27T16:37:34,C,357,310
2019-03-27T16:47:51,C,357,308
2019-03-27T16:57:59,C,357,308
2019-03-27T17:07:27,C,357,305
2019-03-27T17:18:25,C,357,307
2019-03-27T17:27:01,C,357,300
2019-03-27T17:37:46,C,357,301
2019-03-27T17:46:00,C,357,303
2019-03-27T17:56:39,C,357,300
2019-03-27T18:07:38,C,357,306
2019-03-27T18:17:43,C,357,302
2019-03-27T18:26:18,C,357,309
2019-03-27T18:36:51,C,357,302
2019-03-27T18:47:31,C,357,301
2019-03-27T18:57:53,C,357,297
2019-03-27T19:06:54,C,357,296
2019-03-27T19:17:36,C,357,296
2019-03-27T19:25:36,C,357,296
2019-03-27T19:38:49,C,357,299
2019-03-27T19:48:18,C,357,295
2019-03-27T19:57:58,C,357,295
2019-03-27T20:06:16,C,357,296
2019-03-27T20:18:03,C,357,294
2019-03-27T20:28:53,C,357,293
2019-03-27T20:37:37,C,357,293
2019-03-27T20:48:43,C,357,291
2019-03-27T20:57:37,C,357,289
2019-03-27T21:05:37,C,357,288
2019-03-27T21:18:55,C,357,286
2019-03-27T21:28:34,C,357,287
2019-03-27T21:38:33,C,357,285
2019-03-27T21:47:49,C,357,288
2019-03-27T21:58:41,C,357,288
2019-03-27T22:07:06,C,357,286
2019-03-27T22:18:21,C,357,285
2019-03-27T22:28:45,C,357,284
2019-03-27T22:37:39,C,357,283
2019-03-27T22:47:28,C,357,283
2019-03-27T22:58:07,C,357,286
2019-03-27T23:09:39,C,357,283
2019-03-27T23:18:13,C,357,282
2019-03-27T23:25:54,C,357,282
2019-03-27T23:37:39,C,357,280
2019-03-27T23:48:52,C,357,278
2019-03-27T23:57:40,C,357,278
2019-03-28T00:09:40,C,357,276
2019-03-28T00:18:28,C,357,276
2019-03-28T00:25:40,C,357,276
2019-03-28T00:37:53,C,357,276
2019-03-28T00:49:40,C,357,276
2019-03-28T00:57:41,C,357,275
2019-03-28T01:09:41,C,357,275
2019-03-28T01:17:41,C,357,275
2019-03-28T01:29:41,C,357,275
2019-03-28T01:37:41,C,357,275
2019-03-28T01:49:41,C,357,274
2019-03-28T01:57:41,C,357,274
2019-03-28T02:07:45,C,357,273
2019-03-28T02:17:42,C,357,273
2019-03-28T02:29:42,C,357,272
2019-03-28T02:37:42,C,357,272
2019-03-28T02:49:42,C,357,272
2019-03-28T02:57:42,C,357,272
2019-03-28T03:09:42,C,357,272
2019-03-28T03:17:42,C,357,272
2019-03-28T03:29:43,C,357,272
2019-03-28T03:37:43,C,357,272
2019-03-28T03:49:43,C,357,272
2019-03-28T03:58:13,C,357,272
2019-03-28T04:09:43,C,357,275
2019-03-28T04:21:43,C,357,275
2019-03-28T04:29:43,C,357,274
2019-03-28T04:37:44,C,357,274
2019-03-28T04:49:44,C,357,273
2019-03-28T04:57:44,C,357,273
2019-03-28T05:09:44,C,357,274
2019-03-28T05:21:44,C,357,274
2019-03-28T05:29:44,C,357,274
2019-03-28T05:37:44,C,357,274
2019-03-28T05:49:45,C,357,274
2019-03-28T05:59:57,C,357,274
2019-03-28T06:11:43,C,357,275
2019-03-28T06:20:24,C,357,275
2019-03-28T06:29:45,C,357,276
2019-03-28T06:39:05,C,357,280
2019-03-28T06:51:00,C,357,283
2019-03-28T06:59:22,C,357,283
2019-03-28T07:10:00,C,357,286
2019-03-28T07:17:46,C,357,291
2019-03-28T07:30:08,C,357,292
2019-03-28T07:41:46,C,357,296
2019-03-28T07:49:46,C,357,296
2019-03-28T08:00:58,C,357,297
2019-03-28T08:10:56,C,357,300
2019-03-28T08:20:53,C,357,301
2019-03-28T08:29:47,C,357,306
2019-03-28T08:41:56,C,357,308
2019-03-28T08:50:32,C,357,303
2019-03-28T09:01:10,C,357,304
2019-03-28T09:11:55,C,357,303
2019-03-28T09:20:44,C,357,304
2019-03-28T09:31:39,C,357,302
2019-03-28T09:41:48,C,357,305
2019-03-28T09:50:58,C,357,299
2019-03-28T10:01:48,C,357,301
2019-03-28T10:09:48,C,357,303
2019-03-28T10:21:48,C,357,299
2019-03-28T10:30:59,C,357,300
2019-03-28T10:41:49,C,357,296
2019-03-28T10:50:55,C,357,295
2019-03-28T11:02:23,C,357,298
2019-03-28T11:11:27,C,357,293
2019-03-28T11:21:49,C,357,294
2019-03-28T11:31:38,C,357,296
2019-03-28T11:41:53,C,357,295
2019-03-28T11:51:57,C,357,293
2019-03-28T12:01:50,C,357,289
2019-03-28T12:11:26,C,357,284
2019-03-28T12:21:50,C,357,284
2019-03-28T12:31:44,C,357,287
2019-03-28T12:42:37,C,357,288
2019-03-28T12:52:28,C,357,292
2019-03-28T13:01:59,C,357,293
2019-03-28T13:11:45,C,357,292
2019-03-28T13:21:51,C,357,291
2019-03-28T13:32:10,C,357,294
2019-03-28T13:41:51,C,357,298
2019-03-28T13:51:10,C,357,303
2019-03-28T14:01:51,C,357,299
2019-03-28T14:12:32,C,357,299
