date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:07,C,175,134
2019-03-26T13:09:29,C,175,134
2019-03-26T13:20:17,C,175,117
2019-03-26T13:30:32,C,175,111
2019-03-26T13:41:11,C,175,115
2019-03-26T13:50:03,C,175,136
2019-03-26T14:00:18,C,175,140
2019-03-26T14:10:04,C,175,142
2019-03-26T14:20:43,C,175,145
2019-03-26T14:31:15,C,175,139
2019-03-26T14:39:17,C,175,141
2019-03-26T14:50:54,C,175,141
2019-03-26T15:00:56,C,175,141
2019-03-26T15:11:33,C,175,139
2019-03-26T15:19:55,C,175,141
2019-03-26T15:31:07,C,175,140
2019-03-26T15:40:22,C,175,142
2019-03-26T15:50:29,C,175,138
2019-03-26T16:00:09,C,175,133
2019-03-26T16:10:31,C,175,120
2019-03-26T16:21:44,C,175,110
2019-03-26T16:30:48,C,175,131
2019-03-26T16:40:50,C,175,130
2019-03-26T16:51:37,C,175,126
2019-03-26T17:01:58,C,175,125
2019-03-26T17:11:03,C,175,126
2019-03-26T17:20:45,C,175,130
2019-03-26T17:31:27,C,175,135
2019-03-26T17:41:54,C,175,136
2019-03-26T17:51:59,C,175,134
2019-03-26T18:12:02,C,175,127
2019-03-26T18:32:40,C,175,122
2019-03-26T18:42:13,C,175,112
2019-03-26T18:52:24,C,175,105
2019-03-26T19:01:10,C,175,98
2019-03-26T19:13:49,C,175,81
2019-03-26T19:20:41,C,175,80
2019-03-26T19:32:41,C,175,71
2019-03-26T19:41:25,C,175,62
2019-03-26T19:53:41,C,175,55
2019-03-26T20:02:33,C,175,57
2019-03-26T20:13:20,C,175,60
2019-03-26T20:22:12,C,175,60
2019-03-26T20:33:39,C,175,59
2019-03-26T20:43:01,C,175,53
2019-03-26T20:54:01,C,175,47
2019-03-26T21:03:11,C,175,37
2019-03-26T21:13:37,C,175,40
2019-03-26T21:21:23,C,175,33
2019-03-26T21:33:41,C,175,36
2019-03-26T21:42:30,C,175,42
2019-03-26T21:53:15,C,175,43
2019-03-26T22:02:19,C,175,42
2019-03-26T22:13:30,C,175,41
2019-03-26T22:23:51,C,175,37
2019-03-26T22:33:10,C,175,38
2019-03-26T22:43:07,C,175,34
