date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:06,C,21,0
2019-03-26T13:10:36,C,21,0
2019-03-26T13:20:37,C,21,0
2019-03-26T13:30:37,C,21,0
2019-03-26T13:41:07,C,21,0
2019-03-26T13:51:08,C,21,0
2019-03-26T14:01:08,C,21,0
2019-03-26T14:10:08,C,21,0
2019-03-26T14:20:38,C,21,0
2019-03-26T14:30:39,C,21,0
2019-03-26T14:40:39,C,21,0
2019-03-26T14:51:39,C,21,0
2019-03-26T15:01:10,C,21,0
2019-03-26T15:12:10,C,21,0
2019-03-26T15:20:10,C,21,0
2019-03-26T15:31:11,C,21,0
2019-03-26T15:40:41,C,21,0
2019-03-26T15:51:41,C,21,0
2019-03-26T16:00:42,C,21,0
2019-03-26T16:11:12,C,21,0
2019-03-26T16:22:12,C,21,0
2019-03-26T16:31:12,C,21,0
2019-03-26T16:41:13,C,21,0
2019-03-26T16:51:43,C,21,0
2019-03-26T17:01:43,C,21,0
2019-03-26T17:11:44,C,21,0
2019-03-26T17:21:44,C,21,0
2019-03-26T17:32:14,C,21,0
2019-03-26T17:41:15,C,21,0
2019-03-26T17:51:15,C,21,0
2019-03-26T18:12:46,C,21,0
2019-03-26T18:32:46,C,21,0
2019-03-26T18:43:17,C,21,0
2019-03-26T18:52:17,C,21,0
2019-03-26T19:02:17,C,21,0
2019-03-26T19:13:18,C,21,0
2019-03-26T19:22:48,C,21,0
2019-03-26T19:33:48,C,21,0
2019-03-26T19:42:48,C,21,0
2019-03-26T19:53:49,C,21,0
2019-03-26T20:03:19,C,21,0
2019-03-26T20:13:19,C,21,0
2019-03-26T20:22:20,C,21,0
2019-03-26T20:33:20,C,21,0
2019-03-26T20:43:50,C,21,0
2019-03-26T20:53:51,C,21,0
2019-03-26T21:03:51,C,21,0
2019-03-26T21:14:21,C,21,0
2019-03-26T21:22:21,C,21,0
2019-03-26T21:33:22,C,21,0
2019-03-26T21:43:22,C,21,0
2019-03-26T21:53:52,C,21,0
2019-03-26T22:02:53,C,21,0
2019-03-26T22:13:53,C,21,0
2019-03-26T22:23:53,C,21,0
2019-03-26T22:33:24,C,21,0
2019-03-26T22:43:24,C,21,0
2019-03-26T22:53:24,C,21,0
2019-03-26T23:03:25,C,21,0
2019-03-26T23:14:55,C,21,0
2019-03-26T23:24:55,C,21,0
2019-03-26T23:34:56,C,21,0
2019-03-26T23:44:26,C,21,0
2019-03-26T23:54:26,C,21,0
2019-03-27T00:04:27,C,21,0
2019-03-27T00:13:27,C,21,0
2019-03-27T00:22:57,C,21,0
2019-03-27T00:29:57,C,21,0
2019-03-27T00:43:58,C,21,0
2019-03-27T00:53:58,C,21,0
2019-03-27T01:04:28,C,21,0
2019-03-27T01:14:29,C,21,0
2019-03-27T01:24:29,C,21,0
2019-03-27T01:34:59,C,21,0
2019-03-27T01:45:00,C,21,0
2019-03-27T01:55:00,C,21,0
2019-03-27T02:05:00,C,21,0
2019-03-27T02:14:31,C,21,0
2019-03-27T02:24:31,C,21,0
2019-03-27T02:34:31,C,21,0
2019-03-27T02:44:31,C,21,0
2019-03-27T02:56:02,C,21,0
