date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T13:00:51,C,99,0
2019-03-26T13:09:51,C,99,0
2019-03-26T13:20:21,C,99,4
2019-03-26T13:30:20,C,99,8
2019-03-26T13:40:50,C,99,11
2019-03-26T13:50:50,C,99,21
2019-03-26T14:00:51,C,99,24
2019-03-26T14:09:51,C,99,25
2019-03-26T14:20:21,C,99,26
2019-03-26T14:30:21,C,99,22
2019-03-26T14:40:20,C,99,27
2019-03-26T14:51:52,C,99,33
2019-03-26T15:00:50,C,99,37
2019-03-26T15:10:51,C,99,32
2019-03-26T15:20:20,C,99,28
2019-03-26T15:31:21,C,99,32
2019-03-26T15:40:21,C,99,36
2019-03-26T15:51:50,C,99,42
2019-03-26T15:59:50,C,99,40
2019-03-26T16:09:54,C,99,34
2019-03-26T16:21:21,C,99,31
2019-03-26T16:31:23,C,99,28
2019-03-26T16:41:21,C,99,24
2019-03-26T16:51:51,C,99,21
2019-03-26T17:01:23,C,99,28
2019-03-26T17:11:51,C,99,25
2019-03-26T17:20:51,C,99,23
2019-03-26T17:31:21,C,99,27
2019-03-26T17:41:21,C,99,24
2019-03-26T17:51:21,C,99,19
2019-03-26T18:11:52,C,99,22
2019-03-26T18:31:52,C,99,0
2019-03-26T18:42:22,C,99,0
2019-03-26T18:52:21,C,99,0
2019-03-26T19:02:52,C,99,0
2019-03-26T19:12:51,C,99,0
2019-03-26T19:21:53,C,99,4
2019-03-26T19:33:21,C,99,14
2019-03-26T19:42:23,C,99,13
2019-03-26T19:53:22,C,99,21
2019-03-26T20:01:52,C,99,17
2019-03-26T20:12:51,C,99,15
2019-03-26T20:22:25,C,99,11
2019-03-26T20:33:22,C,99,11
2019-03-26T20:43:22,C,99,10
2019-03-26T20:53:52,C,99,15
2019-03-26T21:02:52,C,99,24
2019-03-26T21:12:52,C,99,29
2019-03-26T21:22:22,C,99,22
2019-03-26T21:33:24,C,99,27
2019-03-26T21:43:52,C,99,34
2019-03-26T21:53:52,C,99,40
2019-03-26T22:02:51,C,99,44
2019-03-26T22:12:51,C,99,43
2019-03-26T22:23:22,C,99,41
2019-03-26T22:33:21,C,99,49
2019-03-26T22:43:21,C,99,51
2019-03-26T22:52:51,C,99,53
2019-03-26T23:02:54,C,99,56
2019-03-26T23:14:23,C,99,59
2019-03-26T23:24:21,C,99,60
2019-03-26T23:34:51,C,99,60
2019-03-26T23:44:51,C,99,58
2019-03-26T23:53:52,C,99,57
2019-03-27T00:04:51,C,99,64
2019-03-27T00:13:21,C,99,67
2019-03-27T00:22:24,C,99,69
2019-03-27T00:29:20,C,99,69
2019-03-27T00:43:51,C,99,69
2019-03-27T00:54:51,C,99,70
2019-03-27T01:04:51,C,99,71
2019-03-27T01:14:51,C,99,73
2019-03-27T01:24:21,C,99,73
2019-03-27T01:34:21,C,99,73
2019-03-27T01:44:21,C,99,72
2019-03-27T01:54:21,C,99,72
2019-03-27T02:04:21,C,99,71
2019-03-27T02:14:51,C,99,69
2019-03-27T02:24:52,C,99,72
2019-03-27T02:34:21,C,99,72
2019-03-27T02:44:21,C,99,72
2019-03-27T02:55:21,C,99,73
2019-03-27T03:15:52,C,99,71
2019-03-27T03:25:52,C,99,68
2019-03-27T03:34:52,C,99,69
2019-03-27T03:46:22,C,99,68
2019-03-27T03:55:22,C,99,67
2019-03-27T04:05:22,C,99,84
2019-03-27T04:14:22,C,99,83
2019-03-27T04:24:52,C,99,83
2019-03-27T04:35:53,C,99,82
2019-03-27T04:44:52,C,99,79
2019-03-27T04:55:52,C,99,79
2019-03-27T05:05:03,C,99,77
2019-03-27T05:15:33,C,99,76
2019-03-27T05:25:34,C,99,72
2019-03-27T05:35:34,C,99,72
2019-03-27T05:45:34,C,99,72
2019-03-27T05:56:04,C,99,70
2019-03-27T06:06:05,C,99,73
2019-03-27T06:15:05,C,99,68
2019-03-27T06:25:35,C,99,67
2019-03-27T06:35:35,C,99,66
2019-03-27T06:45:37,C,99,57
2019-03-27T06:55:35,C,99,59
2019-03-27T07:06:05,C,99,43
2019-03-27T07:16:06,C,99,36
2019-03-27T07:25:06,C,99,40
2019-03-27T07:35:37,C,99,28
2019-03-27T07:45:37,C,99,21
2019-03-27T07:55:36,C,99,28
2019-03-27T08:06:36,C,99,19
2019-03-27T08:16:08,C,99,23
2019-03-27T08:26:07,C,99,22
2019-03-27T08:36:07,C,99,35
2019-03-27T08:45:08,C,99,35
2019-03-27T08:55:38,C,99,38
2019-03-27T09:06:38,C,99,35
2019-03-27T09:16:39,C,99,20
2019-03-27T09:26:08,C,99,23
2019-03-27T09:36:09,C,99,19
2019-03-27T09:45:08,C,99,17
2019-03-27T09:56:39,C,99,21
2019-03-27T10:06:39,C,99,26
2019-03-27T10:16:39,C,99,27
2019-03-27T10:26:39,C,99,27
2019-03-27T10:36:09,C,99,29
2019-03-27T10:46:10,C,99,24
2019-03-27T10:56:09,C,99,26
2019-03-27T11:06:10,C,99,22
2019-03-27T11:16:40,C,99,26
2019-03-27T11:26:40,C,99,27
2019-03-27T11:36:41,C,99,18
2019-03-27T11:47:11,C,99,11
2019-03-27T11:58:11,C,99,0
2019-03-27T12:06:11,C,99,0
2019-03-27T12:17:11,C,99,0
2019-03-27T12:27:42,C,99,0
2019-03-27T12:36:42,C,99,0
2019-03-27T12:47:42,C,99,0
2019-03-27T12:56:42,C,99,0
2019-03-27T13:08:12,C,99,0
2019-03-27T13:16:13,C,99,0
2019-03-27T13:27:13,C,99,7
2019-03-27T13:36:13,C,99,8
2019-03-27T13:47:43,C,99,9
2019-03-27T13:56:44,C,99,13
2019-03-27T14:07:44,C,99,26
2019-03-27T14:17:14,C,99,32
2019-03-27T14:27:14,C,99,29
2019-03-27T14:37:15,C,99,25
2019-03-27T14:47:14,C,99,32
2019-03-27T14:56:45,C,99,38
2019-03-27T15:07:45,C,99,37
