date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:58:34,C,104,59
2019-03-26T13:09:05,C,104,62
2019-03-26T13:19:08,C,104,66
2019-03-26T13:29:05,C,104,64
2019-03-26T13:38:05,C,104,59
2019-03-26T13:48:36,C,104,59
2019-03-26T13:58:39,C,104,56
2019-03-26T14:08:37,C,104,53
2019-03-26T14:18:36,C,104,50
2019-03-26T14:29:07,C,104,50
2019-03-26T14:39:07,C,104,53
2019-03-26T14:49:07,C,104,52
2019-03-26T14:58:07,C,104,54
2019-03-26T15:09:38,C,104,54
2019-03-26T15:18:38,C,104,59
2019-03-26T15:29:39,C,104,62
2019-03-26T15:39:09,C,104,62
2019-03-26T15:50:09,C,104,62
2019-03-26T15:58:09,C,104,63
2019-03-26T16:08:09,C,104,63
2019-03-26T16:19:40,C,104,63
2019-03-26T16:29:40,C,104,60
2019-03-26T16:39:40,C,104,56
2019-03-26T16:49:41,C,104,58
2019-03-26T17:00:11,C,104,59
2019-03-26T17:10:11,C,104,61
2019-03-26T17:19:12,C,104,64
2019-03-26T17:29:12,C,104,67
2019-03-26T17:39:42,C,104,70
2019-03-26T17:49:42,C,104,74
2019-03-26T18:11:13,C,104,85
2019-03-26T18:30:14,C,104,88
2019-03-26T18:40:14,C,104,88
2019-03-26T18:50:44,C,104,87
2019-03-26T19:00:44,C,104,91
2019-03-26T19:11:45,C,104,95
2019-03-26T19:20:45,C,104,94
2019-03-26T19:32:15,C,104,98
2019-03-26T19:40:15,C,104,99
2019-03-26T19:51:19,C,104,99
2019-03-26T20:00:46,C,104,99
2019-03-26T20:11:46,C,104,97
2019-03-26T20:20:47,C,104,94
2019-03-26T20:31:47,C,104,94
2019-03-26T20:42:17,C,104,96
2019-03-26T20:51:18,C,104,100
2019-03-26T21:01:18,C,104,99
2019-03-26T21:11:19,C,104,100
2019-03-26T21:20:48,C,104,100
2019-03-26T21:31:49,C,104,98
2019-03-26T21:41:49,C,104,97
2019-03-26T21:52:19,C,104,94
2019-03-26T22:00:19,C,104,94
2019-03-26T22:11:20,C,104,93
2019-03-26T22:21:20,C,104,93
2019-03-26T22:31:50,C,104,90
2019-03-26T22:41:51,C,104,90
2019-03-26T22:51:51,C,104,89
2019-03-26T23:01:51,C,104,88
2019-03-26T23:12:22,C,104,88
2019-03-26T23:22:22,C,104,88
2019-03-26T23:32:22,C,104,91
2019-03-26T23:42:22,C,104,90
2019-03-26T23:52:53,C,104,88
2019-03-27T00:02:53,C,104,87
2019-03-27T00:11:53,C,104,87
2019-03-27T00:20:54,C,104,86
2019-03-27T00:27:24,C,104,85
2019-03-27T00:41:25,C,104,84
2019-03-27T00:52:25,C,104,84
2019-03-27T01:02:55,C,104,84
2019-03-27T01:12:56,C,104,84
2019-03-27T01:22:55,C,104,84
2019-03-27T01:32:55,C,104,84
2019-03-27T01:42:26,C,104,84
2019-03-27T01:52:26,C,104,84
2019-03-27T02:02:26,C,104,84
2019-03-27T02:12:27,C,104,84
2019-03-27T02:22:57,C,104,84
2019-03-27T02:32:57,C,104,84
2019-03-27T02:42:57,C,104,84
2019-03-27T02:53:28,C,104,84
2019-03-27T03:13:28,C,104,84
2019-03-27T03:23:29,C,104,84
2019-03-27T03:32:59,C,104,84
2019-03-27T03:43:59,C,104,84
2019-03-27T03:54:03,C,104,84
2019-03-27T04:03:00,C,104,104
2019-03-27T04:12:30,C,104,104
2019-03-27T04:22:33,C,104,104
2019-03-27T04:33:31,C,104,103
2019-03-27T04:42:31,C,104,103
2019-03-27T04:54:01,C,104,102
2019-03-27T05:03:50,C,104,102
2019-03-27T05:13:20,C,104,102
2019-03-27T05:23:21,C,104,103
2019-03-27T05:33:21,C,104,104
2019-03-27T05:43:21,C,104,103
2019-03-27T05:53:52,C,104,103
