date,lot_type_0,lots_total_0,lots_available_0
2019-03-26T12:59:51,C,79,17
2019-03-26T13:09:51,C,79,19
2019-03-26T13:20:23,C,79,21
2019-03-26T13:30:23,C,79,18
2019-03-26T13:40:23,C,79,16
2019-03-26T13:50:51,C,79,13
2019-03-26T13:59:53,C,79,13
2019-03-26T14:09:52,C,79,18
2019-03-26T14:20:23,C,79,14
2019-03-26T14:30:23,C,79,14
2019-03-26T14:40:23,C,79,12
2019-03-26T14:50:54,C,79,8
2019-03-26T14:59:54,C,79,12
2019-03-26T15:10:54,C,79,12
2019-03-26T15:20:24,C,79,12
2019-03-26T15:31:25,C,79,6
2019-03-26T15:40:26,C,79,5
2019-03-26T15:51:57,C,79,6
2019-03-26T15:59:57,C,79,9
2019-03-26T16:09:58,C,79,11
2019-03-26T16:20:57,C,79,11
2019-03-26T16:31:28,C,79,13
2019-03-26T16:41:31,C,79,16
2019-03-26T16:51:31,C,79,13
2019-03-26T17:00:32,C,79,17
2019-03-26T17:11:03,C,79,16
2019-03-26T17:21:09,C,79,17
2019-03-26T17:31:07,C,79,16
2019-03-26T17:41:36,C,79,21
2019-03-26T17:51:38,C,79,17
2019-03-26T18:12:06,C,79,15
2019-03-26T18:32:06,C,79,21
2019-03-26T18:42:04,C,79,24
2019-03-26T18:52:38,C,79,21
2019-03-26T19:02:35,C,79,28
2019-03-26T19:13:06,C,79,28
2019-03-26T19:22:06,C,79,26
2019-03-26T19:33:05,C,79,24
2019-03-26T19:42:36,C,79,25
2019-03-26T19:53:35,C,79,21
2019-03-26T20:01:36,C,79,23
2019-03-26T20:13:06,C,79,22
2019-03-26T20:22:06,C,79,21
2019-03-26T20:33:06,C,79,21
2019-03-26T20:43:37,C,79,18
2019-03-26T20:53:37,C,79,19
2019-03-26T21:03:06,C,79,24
2019-03-26T21:13:06,C,79,27
2019-03-26T21:22:06,C,79,31
2019-03-26T21:33:37,C,79,36
2019-03-26T21:42:36,C,79,39
2019-03-26T21:53:34,C,79,40
2019-03-26T22:01:05,C,79,39
2019-03-26T22:13:06,C,79,40
2019-03-26T22:23:05,C,79,43
2019-03-26T22:33:05,C,79,42
2019-03-26T22:42:38,C,79,45
